ts_code,signal_date,sector_pit,sector_available,latest_report_period,latest_ann_date,financial_age_days,revenue_ttm,netprofit_ttm,ocf_ttm,revenue_yoy_pct,netprofit_yoy_pct,roe,gross_margin,debt_to_asset,current_ratio,ocf_to_netprofit,loss_flag,negative_ocf_flag,profit_decline_flag,revenue_decline_flag,forecast_type,express_available_flag
603663.SH,2020-02-06,有色金属,1,20190930,20191030,99.0,721259330.6100003,75184337.16000001,27610770.17,26.959932077155322,1.5290366549273848,12.7674,32.0955,47.0165,1.29,0.3672409867927869,0.0,0.0,0.0,0.0,略增,0
300301.SZ,2020-02-06,电子,1,20190930,20191026,103.0,1625117290.3600001,-96926484.67,23973901.170000017,4.306766270461804,-520.6278189945145,2.9452,28.3924,53.9154,1.0231,-0.24734107763861005,1.0,0.0,1.0,0.0,续亏,0
600278.SH,2020-02-06,商贸零售,1,20190930,20191026,103.0,16893990404.22,141956770.48000002,394580809.03,1.1969570696178433,-9.338868427727787,2.4672,5.5516,51.9201,1.4574,2.779584289610136,0.0,0.0,1.0,0.0,预增,0
300473.SZ,2020-02-07,汽车,1,20190930,20191030,100.0,3882594467.84,42378380.620000005,255256396.93,2.2037484520255335,-61.672109877509186,2.893,25.8581,57.1015,1.5666,6.0232692518112545,0.0,0.0,1.0,0.0,预减,0
603799.SH,2020-02-07,有色金属,1,20190930,20191029,101.0,18399853705.309998,-290988207.45000005,2619883456.2200003,39.20226174931643,-95.1481373417475,1.209,10.9786,55.1649,0.9018,-9.003400787883027,1.0,0.0,1.0,0.0,预减,0
600229.SH,2020-02-13,传媒,1,20190930,20191030,106.0,2243612678.49,417393560.65,336874066.06,4.7550538060079806,36.198147575528125,9.9633,38.1662,31.972,2.1321,0.8070897536976653,0.0,0.0,0.0,0.0,略增,0
300633.SZ,2020-02-20,医药生物,1,20190930,20191029,114.0,1223829967.5900002,145758711.18,211547145.09000003,-0.38084465346458485,-62.71326658557198,4.7482,65.7068,39.1404,2.3305,1.4513516439422733,0.0,0.0,1.0,1.0,预减,0
300618.SZ,2020-02-24,有色金属,1,20190930,20191026,121.0,1866690337.0300002,-34003681.01000011,448229394.20000005,-42.41168392928578,-105.74598728972535,-2.2193,7.9277,45.9427,2.4085,-13.18179034993831,1.0,0.0,1.0,1.0,预减,0
300341.SZ,2020-02-25,机械设备,1,20190930,20191029,119.0,1080627072.0,157489010.22000003,142269186.56,14.695520160933428,10.203910653997482,11.5722,44.2294,35.6228,3.9205,0.9033594557566963,0.0,0.0,0.0,0.0,略增,0
603899.SH,2020-02-26,轻工制造,1,20190930,20191026,123.0,10358740490.030003,984005629.39,1013570677.8400002,29.782384630847748,28.35814946313897,21.827,26.7899,39.3349,1.8243,1.0300456090564523,0.0,0.0,0.0,0.0,,0
600900.SH,2020-02-26,公用事业,1,20190930,20191031,118.0,50232505256.54,22521195374.28,37870971563.97,-2.5123402899246305,-0.5007193552378442,12.4105,64.6005,50.5484,0.2211,1.6815702246080593,0.0,0.0,1.0,1.0,,0
600583.SH,2020-02-27,石油石化,1,20190930,20191029,121.0,12464649778.9,-415742367.74,1980072698.72,21.234203085690485,354.8697111426714,-2.8272,1.859,26.9239,1.9383,-4.762739745491401,1.0,0.0,0.0,0.0,预减,0
603096.SH,2020-02-27,传媒,1,20190930,20191029,121.0,943132663.25,253947578.76000002,140044477.12,2.5269120494469943,7.019699476491459,11.0537,47.8005,7.567,12.5054,0.5514700230804437,0.0,0.0,0.0,0.0,预增,0
603305.SH,2020-02-27,汽车,1,20190930,20191024,126.0,1047973434.3399998,199849960.44,366706119.53,-5.7749722879619885,-40.82224120338957,9.3005,33.7172,36.1637,2.0085,1.834907140950345,0.0,0.0,1.0,1.0,,0
600223.SH,2020-02-27,房地产,1,20190930,20191026,124.0,10990734452.39,249399887.57,-5492087657.71,44.83244970849849,89.4262526252244,7.3783,19.4894,93.6208,1.1507,-22.02121144167924,0.0,1.0,0.0,0.0,预增,0
603920.SH,2020-02-27,电子,1,20190930,20191030,120.0,2314360736.9999995,278816776.45000005,474805976.12000006,9.082462955525727,32.2567569122367,8.9786,23.8451,25.7576,2.6297,1.7029318757838325,0.0,0.0,0.0,0.0,,0
002831.SZ,2020-02-28,轻工制造,1,20190930,20191030,121.0,9469841716.369999,1011364895.5500001,1083030223.3199997,16.345634706783272,12.125430186232823,10.4446,30.4241,48.4743,1.3949,1.0708600111446687,0.0,0.0,0.0,0.0,略增,0
600011.SH,2020-02-28,公用事业,1,20190930,20191023,128.0,171104541047.0,4839033601.0,34971453050.0,0.9868918640034696,170.9547160593745,6.2068,15.7905,72.8526,0.4257,7.2269498279104845,0.0,0.0,0.0,0.0,预减,0
601006.SH,2020-02-28,交通运输,1,20190930,20191030,121.0,81355605769.0,14498500944.0,18174121521.0,5.295241474327961,-0.3762481768427528,11.0953,25.4642,18.9967,1.9808,1.2535172836969124,0.0,0.0,1.0,0.0,预增,0
601398.SH,2020-02-28,银行,1,20190930,20191026,125.0,843676000000.0,309761000000.0,1216438000000.0,12.110977289859726,5.043254725051849,10.099,,91.2227,,3.927021155019515,0.0,0.0,0.0,0.0,,0
601886.SH,2020-02-28,建筑装饰,1,20190930,20191030,121.0,17365710244.839996,631903421.47,889931222.0,12.000946358880249,5.266268030384591,5.9171,17.0522,66.1861,1.2487,1.4083342355224928,0.0,0.0,0.0,0.0,略增,0
002750.SZ,2020-02-28,医药生物,1,20190930,20191024,127.0,272511694.39,895534.6799999997,31429280.490000002,-25.215242842917295,-89.33330394978951,0.239,88.0354,16.7122,4.7,35.095548159005986,0.0,0.0,1.0,1.0,预减,0
601601.SH,2020-02-28,非银金融,1,20190930,20191031,120.0,375774000000.0,28218000000.0,105203000000.0,7.387816365612543,80.21234762092018,14.3298,,88.286,,3.72822311999433,0.0,0.0,0.0,0.0,预增,0
603790.SH,2020-02-28,基础化工,1,20190930,20191025,126.0,960017832.0800002,129686703.71000001,77977396.32000001,2.574510850572498,0.46251954370726267,10.0443,32.1686,15.2303,5.2736,0.6012751815665683,0.0,0.0,0.0,0.0,略增,0
600919.SH,2020-02-28,银行,1,20190930,20191030,121.0,42374646000.0,14687501000.0,-52804329000.0,27.429583900814535,15.81825761156268,9.3676,,93.4856,,-3.5951881126680436,0.0,1.0,0.0,0.0,,0
600015.SH,2020-02-28,银行,1,20190930,20191031,120.0,83483000000.0,21585000000.0,128550000000.0,22.23495249195029,5.036863501688149,6.3714,,91.2948,,5.95552466990966,0.0,0.0,0.0,0.0,,0
002871.SZ,2020-02-28,机械设备,1,20190930,20191023,128.0,374305854.59000003,68346397.12,58786514.519999996,11.87557470103866,-17.936890077279543,6.8475,35.2375,18.1424,3.5463,0.8601260197634832,0.0,0.0,1.0,0.0,略增,0
600738.SH,2020-02-28,商贸零售,1,20190930,20191031,120.0,1682961915.19,534981949.3799999,58696635.23,28.22870604912162,-83.79788318052543,8.3809,29.5108,57.5857,1.4975,0.10971703867396755,0.0,0.0,1.0,0.0,预减,0
000710.SZ,2020-02-28,医药生物,1,20190930,20191031,120.0,1585824976.7,342490534.54,167408279.56,14.202467104738027,31.13090859647667,15.3116,59.1269,19.3896,4.9884,0.4887968065594762,0.0,0.0,0.0,0.0,预增,0
000835.SZ,2020-02-28,传媒,1,20190930,20191031,120.0,51531302.489999995,-468147775.96,-10268984.79,-30.399004997238055,99.2827520261383,-517.1441,18.6361,102.3357,0.3228,0.021935348873423705,1.0,1.0,0.0,1.0,续亏,0
002678.SZ,2020-02-28,轻工制造,1,20190930,20191025,126.0,2022117184.3600004,185172603.1,98999125.12,3.0645185978418255,6.24344979924516,4.568,29.9664,23.876,2.8948,0.5346316002618209,0.0,0.0,0.0,0.0,略增,0
603659.SH,2020-02-28,电子,1,20190930,20191030,121.0,4521007148.799999,623552115.6200001,331064192.33000004,52.8032842428811,6.826330306180095,15.0066,28.4076,57.5007,1.2313,0.5309326743295895,0.0,0.0,0.0,0.0,,0
600025.SH,2020-02-28,公用事业,1,20190930,20191029,122.0,20518079780.52,8422773486.849999,14725660127.19,44.20768852266368,116.70870081847791,10.2778,59.6642,68.6374,0.2565,1.748314869226905,0.0,0.0,0.0,0.0,预增,0
601138.SH,2020-02-28,电子,1,20190930,20191031,120.0,411347795000.0,17331071000.0,15987045000.0,-1.4193505677159934,4.394836207880903,13.3212,7.4315,60.4863,1.5776,0.922449916684318,0.0,0.0,0.0,1.0,略增,0
000673.SZ,2020-02-28,传媒,1,20190930,20191031,120.0,563966170.6500001,-1717257936.4,-7926021.809999995,-36.800520628777974,-119.53680049752418,-3.4946,32.5842,68.457,1.2691,0.004615510368009032,1.0,1.0,1.0,1.0,续亏,0
600036.SH,2020-02-28,银行,1,20190930,20191031,120.0,268064000000.0,90419000000.0,85252000000.0,10.364943337884714,14.631938260611467,13.5919,,91.7485,,0.9428549309326579,0.0,0.0,0.0,0.0,,0
300001.SZ,2020-02-28,电力设备,1,20190930,20191026,125.0,5985644671.620001,162823120.52999997,607138499.46,2.8577089430438907,8.105518471430727,4.9974,26.1996,73.7795,0.9188,3.728822402394232,0.0,0.0,0.0,0.0,预增,0
600212.SH,2020-02-28,综合,1,20190930,20191030,121.0,263986049.32,-373406472.39,11892168.129999999,11.147975773094965,736.3882457132819,-48.752,2.5341,13.3779,2.9039,-0.0318477825354333,1.0,0.0,0.0,0.0,续亏,0
002727.SZ,2020-02-28,医药生物,1,20190930,20191025,126.0,10218518444.64,586623786.4100001,1017297500.2800002,15.74601774987816,15.662692706465208,11.3795,38.7852,45.3081,1.8321,1.734156581862495,0.0,0.0,0.0,0.0,略增,0
601689.SH,2020-02-28,汽车,1,20190930,20191025,126.0,5293467504.06,473591797.41999996,1001131061.74,-15.495738176991114,-45.326131113112964,4.6615,26.1476,32.0757,1.6605,2.113911320242224,0.0,0.0,1.0,1.0,略减,0
002640.SZ,2020-02-28,商贸零售,1,20190930,20191030,121.0,19716099051.989998,497628415.7499999,71391186.60000002,-11.511714052434508,-15.108612758793761,9.1526,39.7009,38.4368,2.2587,0.14346284163134637,0.0,0.0,1.0,1.0,首亏,0
600615.SH,2020-02-28,有色金属,1,20190930,20191030,121.0,63917316.739999995,24359259.459999997,-9196413.629999999,-31.376684258660514,90.9925085009923,5.1328,5.1971,6.3298,23.1201,-0.3775325619032591,0.0,1.0,0.0,1.0,预增,0
600309.SH,2020-02-28,基础化工,1,20190930,20191025,126.0,63237129992.829994,9488657633.569998,16859642198.56,5.696324682974474,-12.434536726296441,21.3148,29.8244,56.4984,0.5946,1.7768205840742042,0.0,0.0,1.0,0.0,预增,0
300643.SZ,2020-02-28,汽车,1,20190930,20191026,125.0,329360438.12,23610015.759999994,58641552.120000005,7.095925383867652,-31.055357463141288,4.6124,29.9709,41.0403,2.1449,2.4837574322737352,0.0,0.0,1.0,0.0,略减,0
688036.SH,2020-02-28,,0,20190930,20191030,121.0,23707741942.36,1801669829.71,3683364144.1799994,6.723425194843169,732.0326584703768,22.3099,28.6284,48.9959,2.0644,2.044416842331694,0.0,0.0,0.0,0.0,预增,0
600545.SH,2020-02-28,机械设备,1,20190930,20191029,122.0,8341566000.0,641070000.0,-1167895000.0,-13.11631076654497,-31.55151004396448,7.7672,29.1312,51.3314,1.6995,-1.8217901321228571,0.0,1.0,1.0,1.0,略增,0
300527.SZ,2020-02-28,国防军工,1,20190930,20191030,121.0,3060521176.0400004,197393889.49,10616528.339999914,32.18286494207201,-19.901128629998567,5.1074,20.3799,45.2945,1.6904,0.05378347003258046,0.0,0.0,1.0,0.0,略减,0
603885.SH,2020-02-28,交通运输,1,20190930,20191031,120.0,16257244608.94,1034413935.7799997,1938142785.4099998,17.017339349716607,-13.839111361601963,11.2692,18.0663,55.7686,0.709,1.8736626783247496,0.0,0.0,1.0,0.0,,0
002266.SZ,2020-02-28,电力设备,1,20190930,20191031,120.0,1092976689.3899999,87467158.36000001,17106879.53999999,-1.3186740417591492,-21.39470100096338,2.4984,23.2484,41.3527,0.8321,0.19558060260276172,0.0,0.0,1.0,1.0,预增,0
603579.SH,2020-02-28,家用电器,1,20190930,20191029,122.0,2166842554.46,274366287.9499999,444501769.53999996,-7.327232696756836,13.687229628476484,13.6875,29.4203,28.8878,2.5737,1.6201034495207562,0.0,0.0,0.0,1.0,,0
600702.SH,2020-02-28,食品饮料,1,20190930,20191026,125.0,2466649334.55,371612644.17999995,450358271.96000004,16.005996325387038,10.92606030200869,11.3517,75.5701,45.0463,1.7416,1.2119024446914612,0.0,0.0,0.0,0.0,预增,0
300622.SZ,2020-02-28,商贸零售,1,20190930,20191029,122.0,630640960.49,56382997.5,77875677.55,15.253687068819666,-6.623050674627762,8.1229,68.8351,18.6814,4.7262,1.3811908022449497,0.0,0.0,1.0,0.0,略增,0
300779.SZ,2020-02-28,公用事业,1,20190930,20191025,126.0,369052158.42999995,63277705.769999996,93296762.0,10.81373353738131,-1.1670074024650812,8.153,37.7463,27.1155,2.4325,1.4744017796585802,0.0,0.0,1.0,0.0,略减,0
300584.SZ,2020-02-28,医药生物,1,20190930,20191023,128.0,870879388.1800001,98388430.25999999,74856388.41,30.24434800061084,24.34360143528962,12.7467,81.4901,23.6043,1.6684,0.7608251113691465,0.0,0.0,0.0,0.0,略增,0
600548.SH,2020-02-28,交通运输,1,20190930,20191031,120.0,5852355449.479999,4070282089.42,2177930732.8099995,1.092890432851057,41.44215530616333,12.1583,49.4104,52.8302,1.0869,0.535081030003094,0.0,0.0,0.0,0.0,预增,0
000655.SZ,2020-02-28,,0,20190930,20191026,125.0,1280180153.85,200777270.94,281787883.00999993,30.62891077726193,135.85626152543676,7.0095,28.2364,9.6289,5.4225,1.4034849746224962,0.0,0.0,0.0,0.0,预增,0
002717.SZ,2020-02-28,建筑装饰,1,20190930,20191030,121.0,8401419622.679999,511416191.56000006,127216708.30999999,-7.728738636971666,-46.71351791712108,6.589,24.3749,72.7562,1.0155,0.2487537751238264,0.0,0.0,1.0,1.0,预减,0
002674.SZ,2020-02-28,纺织服饰,1,20190930,20191029,122.0,1632903372.67,154752140.56,148352946.38000003,-13.69195773616162,70.73054731964909,4.1443,16.636,19.5715,3.9811,0.9586487517597929,0.0,0.0,0.0,1.0,预增,0
002873.SZ,2020-02-28,医药生物,1,20190930,20191024,127.0,761494625.1600001,75553307.16000001,40775780.08,12.880200571545952,7.041800566965883,10.1459,79.0003,36.5815,1.9259,0.5396955025893004,0.0,0.0,0.0,0.0,略增,0
