ts_code,report_period,n_versions,ann_dates
000012.SZ,20190930,2,20191028;20191028
000012.SZ,20191231,2,20200430;20200430
000012.SZ,20200331,2,20200430;20200430
000012.SZ,20200630,2,20200824;20200824
000012.SZ,20200930,2,20201026;20201026
000012.SZ,20201231,2,20210415;20210415
000012.SZ,20210930,2,20211030;20211030
000012.SZ,20220331,2,20220429;20220429
000012.SZ,20221231,2,20230426;20230426
000012.SZ,20230630,2,20230829;20230829
000012.SZ,20230930,2,20231031;20231031
000012.SZ,20240331,2,20240429;20240429
000012.SZ,20240930,2,20241030;20241030
000014.SZ,20180930,2,20181027;20181027
000014.SZ,20181231,2,20190330;20190330
000014.SZ,20190630,2,20190829;20190829
000014.SZ,20190930,2,20191026;20191026
000014.SZ,20191231,2,20200327;20200327
000014.SZ,20200331,2,20200425;20200425
000014.SZ,20200630,2,20200829;20200829
000014.SZ,20200930,2,20201024;20201024
000014.SZ,20201231,2,20210327;20210327
000014.SZ,20211231,2,20220331;20220331
000014.SZ,20220331,2,20220423;20220423
000014.SZ,20221231,2,20230331;20230331
000016.SZ,20180930,2,20181031;20181031
000016.SZ,20181231,2,20190330;20190330
000016.SZ,20190630,2,20190807;20190807
000016.SZ,20191231,2,20200422;20200422
000016.SZ,20200331,2,20200430;20200430
000016.SZ,20200630,2,20200828;20200828
000016.SZ,20200930,2,20201031;20201031
000016.SZ,20201231,2,20210324;20210324
000016.SZ,20211231,2,20220330;20220330
000016.SZ,20220331,2,20220428;20220428
000016.SZ,20221231,2,20230328;20230328
000016.SZ,20240331,2,20240429;20240429
000017.SZ,20181231,2,20190420;20190420
000017.SZ,20190930,2,20191030;20191030
000017.SZ,20191231,2,20200428;20200428
000017.SZ,20200331,2,20200430;20200430
000017.SZ,20200630,2,20200828;20200828
000017.SZ,20200930,2,20201026;20201026
000017.SZ,20201231,2,20210427;20210427
000017.SZ,20210930,2,20211027;20211027
000017.SZ,20211231,2,20220426;20220426
000017.SZ,20220331,2,20220429;20220429
000017.SZ,20221231,2,20230425;20230425
000017.SZ,20230630,2,20230829;20230829
