ts_code,signal_date,selected_report_period,selected_ann_date,next_later_announcement,assert_selected_ann_le_signal
603956.SH,2023-08-11,20230331,20230425,,True
002009.SZ,2020-03-16,20190930,20191022,,True
688093.SH,2024-11-22,20240930,20241025,,True
002877.SZ,2020-09-28,20200630,20200821,,True
688400.SH,2022-11-25,20220930,20221026,,True
600570.SH,2020-10-26,20200630,20200827,,True
600861.SH,2022-03-15,20210930,20211030,,True
301338.SZ,2023-04-25,20220930,20221027,,True
300883.SZ,2022-09-26,20220630,20220830,,True
300275.SZ,2021-12-24,20210930,20211028,,True
600488.SH,2021-05-11,20210331,20210429,,True
688084.SH,2023-06-08,20230331,20230425,,True
002097.SZ,2023-03-14,20220930,20221031,,True
002774.SZ,2022-12-22,20220930,20221028,,True
600586.SH,2022-01-25,20210930,20211012,,True
688037.SH,2022-10-10,20220630,20220826,,True
603518.SH,2022-09-16,20220630,20220831,,True
600212.SH,2024-01-23,20230930,20231031,,True
688192.SH,2023-05-09,20230331,20230429,,True
003012.SZ,2022-10-12,20220630,20220818,,True
