date,leg_A,action,gross_A,fee_A,net_A,shares_A,px_A,amt_A,leg_B,gross_B,fee_B,net_B,shares_B,px_B,amt_B,_merge,diff_type
2020-11-18,etf,buy,12178.166,5.0,-12183.166,5500.0,2.212,-12183.166,etf,3542.7392,5.0,-3547.7392,1600.0,2.212,-3547.7392,both,SAME_DAY_DIR_DIFF_SHARES
2020-11-18,,sell,,,,,,,etf,198850.6503,49.712662575,198800.937637425,89300.0,2.229,198800.937637425,right_only,ONLY_NEW
2020-11-18,,sell,,,,,,,etf,192615.6915,48.153922875,192567.53757712495,86500.0,2.229,192567.53757712495,right_only,ONLY_NEW
2020-12-07,etf,buy,184537.35299999997,46.13433824999999,-184583.48733825,81500.0,2.262,-184583.48733825,,,,,,,,left_only,ONLY_OLD
2020-12-08,,buy,,,,,,,etf,184355.3712,46.0888428,-184401.4600428,81600.0,2.257,-184401.4600428,right_only,ONLY_NEW
2020-12-09,etf,buy,233397.9648,58.3494912,-233456.3142912,102400.0,2.277,-233456.3142912,etf,233625.8925,58.406473125,-233684.298973125,102500.0,2.277,-233684.298973125,both,SAME_DAY_DIR_DIFF_SHARES
2020-12-10,etf,buy,4305.901599999999,5.0,-4310.901599999999,1900.0,2.264,-4310.901599999999,etf,4305.901599999999,5.0,-4310.901599999999,1900.0,2.264,-4310.901599999999,both,IDENTICAL
2020-12-15,etf,sell,198543.15810000003,49.63578952500001,198493.52231047503,87900.0,2.261,198493.52231047503,etf,198769.032,49.692258,198719.339742,88000.0,2.261,198719.339742,both,SAME_DAY_DIR_DIFF_SHARES
2020-12-16,etf,buy,3181.177999999999,5.0,-3186.177999999999,1400.0,2.27,-3186.177999999999,etf,3181.177999999999,5.0,-3186.177999999999,1400.0,2.27,-3186.177999999999,both,IDENTICAL
2020-12-16,etf,sell,198843.5574,49.71088935000001,198793.84651065,87800.0,2.267,198793.84651065,etf,198617.0841,49.654271025,198567.429828975,87700.0,2.267,198567.429828975,both,SAME_DAY_DIR_DIFF_SHARES
2020-12-21,etf,buy,464240.2764999999,116.06006912499998,-464356.3365691249,203500.0,2.279,-464356.3365691249,etf,464240.2764999999,116.06006912499998,-464356.3365691249,203500.0,2.279,-464356.3365691249,both,IDENTICAL
2020-12-23,etf,buy,215593.3779999999,53.898344499999986,-215647.27634449993,95300.0,2.26,-215647.27634449993,etf,215593.3779999999,53.898344499999986,-215647.27634449993,95300.0,2.26,-215647.27634449993,both,IDENTICAL
2021-01-05,etf,buy,409672.76349999994,102.418190875,-409775.1816908749,182300.0,2.245,-409775.1816908749,,,,,,,,left_only,ONLY_OLD
2021-01-07,,buy,,,,,,,etf,409522.7136,102.3806784,-409625.09427839995,179200.0,2.283,-409625.09427839995,right_only,ONLY_NEW
2021-01-29,etf,sell,198746.65439999997,49.6866636,198696.96773639997,86800.0,2.292,198696.96773639997,etf,198746.65439999997,49.6866636,198696.96773639997,86800.0,2.292,198696.96773639997,both,IDENTICAL
2021-01-29,etf,sell,198746.65439999997,49.6866636,198696.96773639997,86800.0,2.292,198696.96773639997,etf,194396.2092,48.5990523,194347.6101477,84900.0,2.292,194347.6101477,both,SAME_DAY_DIR_DIFF_SHARES
2021-01-29,etf,sell,194396.2092,48.5990523,194347.6101477,84900.0,2.292,194347.6101477,etf,198746.65439999997,49.6866636,198696.96773639997,86800.0,2.292,198696.96773639997,both,SAME_DAY_DIR_DIFF_SHARES
2021-01-29,etf,sell,194396.2092,48.5990523,194347.6101477,84900.0,2.292,194347.6101477,etf,194396.2092,48.5990523,194347.6101477,84900.0,2.292,194347.6101477,both,IDENTICAL
2021-02-01,etf,sell,195763.5405,48.940885125,195714.599614875,86900.0,2.255,195714.599614875,etf,195763.5405,48.940885125,195714.599614875,86900.0,2.255,195714.599614875,both,IDENTICAL
2021-02-02,etf,sell,176536.48679999998,44.134121699999994,176492.3526783,77100.0,2.292,176492.3526783,etf,176307.516,44.076879000000005,176263.439121,77000.0,2.292,176263.439121,both,SAME_DAY_DIR_DIFF_SHARES
2021-02-04,etf,buy,3498.494999999999,5.0,-3503.494999999999,1500.0,2.33,-3503.494999999999,etf,3265.2619999999997,5.0,-3270.2619999999997,1400.0,2.33,-3270.2619999999997,both,SAME_DAY_DIR_DIFF_SHARES
2021-02-04,etf,sell,198930.3705,49.732592625,198880.63790737503,85500.0,2.329,198880.63790737503,etf,198930.3705,49.732592625,198880.63790737503,85500.0,2.329,198880.63790737503,both,IDENTICAL
2021-02-25,,buy,,,,,,,etf,243545.30199999997,60.88632549999999,-243606.18832549997,101800.0,2.39,-243606.18832549997,right_only,ONLY_NEW
2021-02-26,,buy,,,,,,,etf,7450.643199999999,5.0,-7455.643199999999,3200.0,2.326,-7455.643199999999,right_only,ONLY_NEW
2021-03-01,etf,buy,250951.70099999997,62.73792525,-251014.43892524997,107000.0,2.343,-251014.43892524997,,,,,,,,left_only,ONLY_OLD
2021-03-10,etf,buy,2850.4476,5.0,-2855.4476,1200.0,2.373,-2855.4476,etf,2850.4476,5.0,-2855.4476,1200.0,2.373,-2855.4476,both,IDENTICAL
2021-03-10,etf,sell,198769.032,49.692258,198719.339742,83600.0,2.38,198719.339742,etf,198769.032,49.692258,198719.339742,83600.0,2.38,198719.339742,both,IDENTICAL
2021-03-12,etf,sell,198740.5605,49.685140125,198690.875359875,81700.0,2.435,198690.875359875,etf,198740.5605,49.685140125,198690.875359875,81700.0,2.435,198690.875359875,both,IDENTICAL
2021-03-16,etf,sell,199555.8444,49.8889611,199505.9554389,81800.0,2.442,199505.9554389,etf,199555.8444,49.8889611,199505.9554389,81800.0,2.442,199505.9554389,both,IDENTICAL
2021-04-02,etf,buy,187462.27499999997,46.865568749999994,-187509.14056875,75000.0,2.497,-187509.14056875,etf,187462.27499999997,46.865568749999994,-187509.14056875,75000.0,2.497,-187509.14056875,both,IDENTICAL
2021-04-13,etf,buy,255.95569999999995,5.0,-260.9557,100.0,2.557,-260.9557,etf,511.9113999999999,5.0,-516.9114,200.0,2.557,-516.9114,both,SAME_DAY_DIR_DIFF_SHARES
2021-04-13,etf,sell,198735.6654,49.68391635,198685.98148365,77800.0,2.557,198685.98148365,etf,198735.6654,49.68391635,198685.98148365,77800.0,2.557,198685.98148365,both,IDENTICAL
2021-04-14,etf,buy,180781.30069999996,45.195325174999994,-180826.49602517497,70300.0,2.569,-180826.49602517497,etf,180524.14379999996,45.13103594999999,-180569.27483594997,70200.0,2.569,-180569.27483594997,both,SAME_DAY_DIR_DIFF_SHARES
2021-04-16,etf,sell,192899.10779999997,48.22477694999999,192850.88302304997,74900.0,2.578,192850.88302304997,etf,192899.10779999997,48.22477694999999,192850.88302304997,74900.0,2.578,192850.88302304997,both,IDENTICAL
2021-04-19,etf,buy,648485.8379999999,162.12145949999996,-648647.9594594999,251100.0,2.58,-648647.9594594999,etf,648485.8379999999,162.12145949999996,-648647.9594594999,251100.0,2.58,-648647.9594594999,both,IDENTICAL
