版本,增益总额,Top1行业,Top1增益,Top1占比,Top3行业,Top3增益占比
0.5%,610318.28,电气设备,403195.52,0.661,电气设备+半导体+白酒,1.097
0.75%,562985.21,电气设备,472071.54,0.839,电气设备+半导体+汽车整车,1.205
1.0%,647394.04,电气设备,483381.52,0.747,电气设备+汽车整车+半导体,1.185
1.5%,686225.35,电气设备,439174.7,0.64,电气设备+白酒+汽车整车,1.086
