early_exit_pct,year,year_return_pct,trades,pnl,tag
0.1,2020,35.82469613699559,14,200005.02,
0.1,2021,30.034814234404884,23,235719.3,
0.1,2022,3.165024381838899,14,215319.88,
0.1,2023,-13.901305657266382,13,-319967.66,
0.1,2024,9.920591691337721,12,70946.89,
0.1,2025,7.013559512566525,12,329286.79,
0.1,2026,-1.1694463908168862,10,-18076.7,
0.2,2020,38.552819336757295,15,232418.09,
0.2,2021,32.09661924513092,23,228842.1,
0.2,2022,2.996687160966882,14,256098.69,
0.2,2023,-12.341052471182456,13,-335429.8,
0.2,2024,22.104579130955827,13,104396.91,
0.2,2025,8.149065266409906,12,327967.76,
0.2,2026,0.0065477276961267705,10,-19891.5,
0.3,2020,33.9905640858581,15,227747.98,
0.3,2021,26.799203457808463,23,167395.27,
0.3,2022,-3.422145785436337,12,158530.47,
0.3,2023,-6.554369912369973,14,-151272.49,
0.3,2024,11.193607822414986,14,72692.42,
0.3,2025,23.888565129993133,12,295512.07,
0.3,2026,-2.10991675692358,10,-21706.31,
0.5,2020,35.20222154446313,16,251511.23,
0.5,2021,24.887464479821865,24,151660.8,
0.5,2022,-4.3908421956616595,12,148296.1,
0.5,2023,19.26351340992596,17,181849.61,
0.5,2024,19.168490913925297,15,248493.31,
0.5,2025,8.257452476680506,12,307675.52,
0.5,2026,0.804364494227694,10,-31424.18,
0.75,2020,27.877997726813074,16,231765.01,
0.75,2021,24.305458774787468,24,200578.4,
0.75,2022,2.1326093150079606,14,193681.07,
0.75,2023,23.389946841832664,19,173579.48,
0.75,2024,11.872512349613796,15,116834.24,
0.75,2025,25.199891150824193,12,297995.58,
0.75,2026,3.150233497622157,12,17600.24,
1.0,2020,27.087424534813074,16,223604.08,
1.0,2021,33.627506578723064,24,323816.61,
1.0,2022,4.525834443928489,15,205056.68,
1.0,2023,22.9430676094456,20,135676.46,
1.0,2024,10.518482702426946,15,108641.3,
1.0,2025,13.974816156336,12,293168.09,
1.0,2026,0.5780177668829767,12,-3084.3,
1.5,2020,31.790727915072093,17,246710.87,
1.5,2021,32.69170214437638,26,313624.91,
1.5,2022,8.250211072699521,18,248478.41,
1.5,2023,22.913012413083656,22,202236.1,
1.5,2024,17.831337194208974,18,119117.58,
1.5,2025,18.653463328788632,14,179352.4,
1.5,2026,4.701304336248291,13,30691.48,
2.0,2020,30.217305271100603,18,218294.08,
2.0,2021,-9.604285152867542,21,-212737.01,
2.0,2022,3.047798137862512,19,95374.29,
2.0,2023,22.319794628969692,23,164291.08,
2.0,2024,12.73857845748978,18,41507.45,
2.0,2025,14.372117492167312,14,142182.86,
2.0,2026,4.453047520780351,13,53988.42,
0.0,2020,33.3423412822959,14,202706.31,ca_base
0.0,2021,29.078030804624344,23,230700.0,ca_base
0.0,2022,2.3585839022745025,13,216130.66,ca_base
0.0,2023,-14.739599102256118,13,-311526.25,ca_base
0.0,2024,3.55930298977285,12,42025.62,ca_base
0.0,2025,26.210804997648786,12,310403.86,ca_base
0.0,2026,-0.46157741291269483,10,-16070.24,ca_base
0.0,2020,17.227945089071838,14,191763.94,ca_base_pure
0.0,2021,29.04029983294325,23,228971.01,ca_base_pure
0.0,2022,5.5371165731863625,13,229159.8,ca_base_pure
0.0,2023,-16.037615912448324,13,-280778.63,ca_base_pure
0.0,2024,2.5926666750730964,12,19139.21,ca_base_pure
0.0,2025,25.214876641533657,12,315467.23,ca_base_pure
0.0,2026,-0.6756048299377593,10,-22666.82,ca_base_pure
