ts_code,name,buy_date,sell_date,shares_sold,dividend_date,dividend_gross,holding_days,tax_rate,tax_due,cash_before,cash_after
002415.SZ,,2020-05-26,2020-06-17,7100,2020-05-29,4970.0,21,0.2,994.0,5039.45,4045.45
002352.SZ,,2021-04-13,2021-05-17,3000,2021-04-20,990.0,33,0.1,99.0,5122.55,5023.55
002352.SZ,,2021-04-15,2021-05-17,2500,2021-04-20,825.0,31,0.1,82.5,5122.55,4941.05
000651.SZ,,2021-05-26,2021-08-24,3500,2021-08-23,10500.0,89,0.1,1050.0,507.02,-542.98
000651.SZ,,2021-06-21,2021-08-24,3800,2021-08-23,11400.0,63,0.1,1140.0,507.02,-1682.98
002714.SZ,,2021-05-25,2021-09-27,3080,2021-06-03,3214.2,124,0.1,321.42,5150.29,4828.87
002415.SZ,,2022-05-16,2022-06-06,6200,2022-05-26,5580.0,20,0.2,1116.0,415585.42,414469.42
002594.SZ,,2022-07-13,2022-08-17,600,2022-07-29,63.0,34,0.1,6.3,5074.29,5067.99
600036.SH,,2022-07-14,2022-08-31,5300,2022-07-15,8066.6,47,0.1,806.66,2226.57,1419.91
000625.SZ,,2024-05-07,2024-06-18,13300,2024-05-24,4561.9,41,0.1,456.19,4549.66,4093.47
002466.SZ,,2024-04-26,2024-08-05,5200,2024-06-07,7020.0,100,0.1,702.0,5132.22,4430.22
002466.SZ,,2024-05-27,2024-08-05,5400,2024-06-07,7290.0,69,0.1,729.0,5132.22,3701.22
601138.SH,,2024-07-19,2024-09-24,8000,2024-08-15,4640.0,66,0.1,464.0,5005.75,4541.75
601138.SH,,2024-07-26,2024-09-24,8600,2024-08-15,4988.0,59,0.1,498.8,5005.75,4042.95
000063.SZ,,2025-03-04,2025-05-07,5500,2025-04-16,3393.5,63,0.1,339.35,811460.51,811121.16
000063.SZ,,2025-04-09,2025-05-07,6700,2025-04-16,4133.9,27,0.2,826.78,811460.51,810294.38
600519.SH,,2025-06-16,2025-07-04,100,2025-06-26,2767.3,17,0.2,553.46,1355807.69,1355254.23
300059.SZ,,2026-03-23,2026-04-22,10100,2026-04-21,1010.0,29,0.2,202.0,656565.61,656363.61
300059.SZ,,2026-03-27,2026-04-22,10500,2026-04-21,1050.0,25,0.2,210.0,656565.61,656153.61
