date,equity,cash,stock_val,etf_sh,etf_val
2020-01-02,1000000.0,1000000.0,0.0,0,0.0
2020-01-03,1000000.0,1000000.0,0.0,0,0.0
2020-01-06,1000000.0,1000000.0,0.0,0,0.0
2020-01-07,1000000.0,1000000.0,0.0,0,0.0
2020-01-08,1000000.0,1000000.0,0.0,0,0.0
2020-01-09,1000000.0,1000000.0,0.0,0,0.0
2020-01-10,1000000.0,1000000.0,0.0,0,0.0
2020-01-13,1000000.0,1000000.0,0.0,0,0.0
2020-01-14,1000000.0,1000000.0,0.0,0,0.0
2020-01-15,1000000.0,1000000.0,0.0,0,0.0
2020-01-16,1000000.0,1000000.0,0.0,0,0.0
2020-01-17,1000000.0,1000000.0,0.0,0,0.0
2020-01-20,1000000.0,1000000.0,0.0,0,0.0
2020-01-21,1000000.0,1000000.0,0.0,0,0.0
2020-01-22,1000000.0,1000000.0,0.0,0,0.0
2020-01-23,1000000.0,1000000.0,0.0,0,0.0
2020-02-03,1000000.0,1000000.0,0.0,0,0.0
2020-02-04,1000000.0,1000000.0,0.0,0,0.0
2020-02-05,1000000.0,1000000.0,0.0,0,0.0
2020-02-06,1000000.0,1000000.0,0.0,0,0.0
2020-02-07,1000000.0,1000000.0,0.0,0,0.0
2020-02-10,1000000.0,1000000.0,0.0,0,0.0
2020-02-11,1000000.0,1000000.0,0.0,0,0.0
2020-02-12,1000000.0,1000000.0,0.0,0,0.0
2020-02-13,1000000.0,1000000.0,0.0,0,0.0
2020-02-14,1000000.0,1000000.0,0.0,0,0.0
2020-02-17,1000000.0,1000000.0,0.0,0,0.0
2020-02-18,1000000.0,1000000.0,0.0,0,0.0
2020-02-19,1000000.0,1000000.0,0.0,0,0.0
2020-02-20,1000000.0,1000000.0,0.0,0,0.0
2020-02-21,1000000.0,1000000.0,0.0,0,0.0
2020-02-24,1000000.0,1000000.0,0.0,0,0.0
2020-02-25,1000000.0,1000000.0,0.0,0,0.0
2020-02-26,1000000.0,1000000.0,0.0,0,0.0
2020-02-27,1000000.0,1000000.0,0.0,0,0.0
2020-02-28,1000000.0,1000000.0,0.0,0,0.0
2020-03-02,1004324.3473688001,609388.3473688001,394936.0,0,0.0
2020-03-03,1012205.3473688001,609388.3473688001,402817.0,0,0.0
2020-03-04,1012018.3473688001,609388.3473688001,402630.0,0,0.0
2020-03-05,1018821.3473688001,609388.3473688001,409433.0,0,0.0
2020-03-06,1012591.3473688001,609388.3473688001,403203.0,0,0.0
2020-03-09,991568.3473688001,609388.3473688001,382180.0,0,0.0
2020-03-10,1013532.6106947601,422098.6106947601,591434.0,0,0.0
2020-03-11,1011657.6106947601,422098.6106947601,589559.0,0,0.0
2020-03-12,989483.6106947601,422098.6106947601,567385.0,0,0.0
2020-03-13,985169.9883532801,5121.188353280188,758372.0,121600,221676.8
2020-03-16,929215.5883532802,5121.188353280188,707768.0,121600,216326.4
2020-03-17,925192.8634811102,161.8634811101649,925031.0,0,0.0
2020-03-18,905423.8634811102,161.8634811101649,905262.0,0,0.0
2020-03-19,882234.8634811102,161.8634811101649,882073.0,0,0.0
2020-03-20,894101.8634811102,161.8634811101649,893940.0,0,0.0
2020-03-23,851187.8634811102,161.8634811101649,851026.0,0,0.0
2020-03-24,880761.8634811102,161.8634811101649,880600.0,0,0.0
2020-03-25,920141.8634811102,161.8634811101649,919980.0,0,0.0
2020-03-26,914737.8634811102,161.8634811101649,914576.0,0,0.0
2020-03-27,908264.8634811102,161.8634811101649,908103.0,0,0.0
2020-03-30,905504.8634811102,161.8634811101649,905343.0,0,0.0
2020-03-31,908887.8634811102,161.8634811101649,908726.0,0,0.0
2020-04-01,910129.8634811102,161.8634811101649,909968.0,0,0.0
2020-04-02,922524.8634811102,161.8634811101649,922363.0,0,0.0
2020-04-03,908301.8634811102,161.8634811101649,908140.0,0,0.0
2020-04-07,928206.8634811102,161.8634811101649,928045.0,0,0.0
2020-04-08,918524.8634811102,161.8634811101649,918363.0,0,0.0
2020-04-09,912123.8634811102,161.8634811101649,911962.0,0,0.0
2020-04-10,917502.8634811102,161.8634811101649,917341.0,0,0.0
2020-04-13,899380.8634811102,161.8634811101649,899219.0,0,0.0
2020-04-14,940851.8634811102,161.8634811101649,940690.0,0,0.0
2020-04-15,949070.2453313102,5028.045331310306,560867.0,203600,383175.19999999995
2020-04-16,943108.6453313102,5028.045331310306,557145.0,203600,380935.6
2020-04-17,960865.2919117303,570415.0919117304,1167.0,203600,389283.2
2020-04-20,960853.2919117303,570415.0919117304,1155.0,203600,389283.2
2020-04-21,952897.8919117304,570415.0919117304,1140.0,203600,381342.8
2020-04-22,947919.3072430304,5034.307243030402,1143.0,508500,941742.0
2020-04-23,957568.8072430304,5034.307243030402,1131.0,508500,951403.5
2020-04-24,951445.8072430304,5034.307243030402,1110.0,508500,945301.5
2020-04-27,971268.3072430304,5034.307243030402,1101.0,508500,965133.0
2020-04-28,980382.3072430304,5034.307243030402,1062.0,508500,974286.0
2020-04-29,990622.8471184905,3784.5471184904454,204204.0,405300,782634.3
2020-04-30,1017702.8471184905,3784.5471184904454,215072.0,405300,798846.3
2020-05-06,1011407.6471184904,3784.5471184904454,218504.0,405300,789119.1
2020-05-07,998820.4471184905,3784.5471184904454,215644.0,405300,779391.9
2020-05-08,1011263.8471184905,3784.5471184904454,220792.0,405300,786687.3
2020-05-11,1027232.7414366405,205154.74143664047,0.0,419000,822078.0
2020-05-12,1016145.8081856405,5067.6081856405,197251.0,420800,813827.2
2020-05-13,1005647.2081856405,5067.6081856405,196010.0,420800,804569.6
2020-05-14,989245.0081856406,5067.6081856405,191811.0,420800,792366.4
2020-05-15,1001754.0081856406,5067.6081856405,193800.0,420800,802886.4
2020-05-18,1022546.4081856405,5067.6081856405,202810.0,420800,814668.7999999999
2020-05-19,1039523.4081856406,5067.6081856405,198747.0,420800,835708.8
2020-05-20,1023708.0081856406,5067.6081856405,192610.0,420800,826030.4
2020-05-21,1028022.0081856406,5067.6081856405,194820.0,420800,828134.4
2020-05-22,1025479.8081856405,5067.6081856405,198169.0,420800,822243.2
2020-05-25,1044449.2081856406,5067.6081856405,203252.0,420800,836129.6000000001
2020-05-26,1053862.5797242005,4650.179724200541,599783.0,222600,449429.4
2020-05-27,1046649.5797242005,4650.179724200541,592570.0,222600,449429.4
2020-05-28,1049532.9797242004,4650.179724200541,590111.0,222600,454771.80000000005
2020-05-29,1051691.1159242005,5146.915924200542,590425.0,224800,456119.19999999995
2020-06-01,1074233.3159242005,5146.915924200542,612068.0,224800,457018.39999999997
2020-06-02,1077638.7159242006,5146.915924200542,614799.0,224800,457692.8
2020-06-03,1081063.5159242004,5146.915924200542,612379.0,224800,463537.6
2020-06-04,1084525.2809242005,5040.880924200542,613113.4,225300,466370.99999999994
2020-06-05,1081740.1809242005,5040.880924200542,606498.2,225300,470201.10000000003
