版本,分红税处理,税率口径,combo总收益,dev2020_24,y2025收益,MDD,Sharpe
A(旧版 ee46af5),"分红日按持股期即时扣税,税后净额入账",分红日-买入日 自然日,95.37,53.9,26.21,-38.8,0.5426
C(控制: 新税率+旧现金路径),"分红日按最终持股期限扣税,净额入账,卖出不结算","FIFO最终期限(需前视,非可执行)",101.02,83.32,9.22,-28.66,0.5737
B(新版 264484a),"分红税前全额入账,卖出时FIFO按最终持股期限结算",FIFO最终期限(真实A股规则),86.19,74.13,8.59,-28.24,0.5486
