round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,div_income,return_pct,hold_days
0,601318.SH,,2020-03-02,2020-04-15,TAKE_PROFIT_DYN,3,7900,-23007.77858699998,0.0,-3.93,31
1,300750.SZ,,2020-03-02,2020-04-15,TAKE_PROFIT_DYN,3,3000,-17564.68204523984,0.0,-4.33,31
2,000725.SZ,,2020-03-17,2020-05-11,TAKE_PROFIT_DYN,2,57200,25907.81683705008,0.0,12.87,35
3,002714.SZ,,2020-05-12,2020-06-02,TAKE_PROFIT_DYN,1,1700,14744.101642200054,0.0,7.5,15
4,000063.SZ,,2020-05-26,2020-06-17,TAKE_PROFIT_DYN,1,5300,14427.904402080021,0.0,7.29,16
5,002415.SZ,,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,7100,16664.862918939994,3976.0,8.37,17
6,600703.SH,,2020-06-16,2020-07-06,TAKE_PROFIT_DYN,1,8700,29076.48655866002,0.0,14.66,12
7,600030.SH,,2020-09-08,2020-10-12,TAKE_PROFIT_DYN,1,6600,5560.236970200058,0.0,2.81,18
8,002456.SZ,,2020-09-02,2020-10-13,TAKE_PROFIT_DYN,4,47500,-22555.331343360012,0.0,-2.98,23
9,300136.SZ,,2020-10-13,2020-11-09,TAKE_PROFIT_DYN,2,7800,11753.770541760023,0.0,2.97,19
10,000661.SZ,,2020-10-26,2020-12-01,TAKE_PROFIT_DYN,1,400,18415.803674160008,0.0,14.15,26
11,600745.SH,,2020-09-09,2020-12-07,TAKE_PROFIT_DYN,3,5200,14039.174742840114,0.0,2.4,57
12,300122.SZ,,2020-11-12,2020-12-07,TAKE_PROFIT_DYN,2,3000,51891.53061204002,0.0,13.59,17
13,002475.SZ,,2020-12-15,2020-12-22,TAKE_PROFIT_DYN,1,4000,15025.95113760003,0.0,7.56,5
14,000651.SZ,,2020-12-10,2021-01-05,TAKE_PROFIT_DYN,2,6300,15603.286691160058,0.0,3.99,17
15,688981.SH,,2020-12-17,2021-01-11,TAKE_PROFIT_DYN,2,7300,61781.87875212007,0.0,15.65,16
16,300750.SZ,,2021-02-01,2021-02-09,TAKE_PROFIT_DYN,1,500,29660.34374100002,0.0,16.78,6
17,601318.SH,,2021-01-29,2021-02-25,TAKE_PROFIT_DYN,3,7400,50627.78706564009,0.0,8.61,14
18,300059.SZ,,2021-02-23,2021-04-02,TAKE_PROFIT_DYN,2,12400,-41429.78362476005,0.0,-10.44,28
19,300750.SZ,,2021-02-26,2021-04-14,TAKE_PROFIT_DYN,1,600,12051.191760120011,0.0,6.21,32
20,002475.SZ,,2021-01-29,2021-04-19,TAKE_PROFIT_DYN,4,18000,-145433.5363548,0.0,-18.41,50
21,601166.SH,,2021-04-16,2021-05-12,TAKE_PROFIT_DYN,1,9500,18541.071224100015,0.0,9.3,15
22,002352.SZ,,2021-04-13,2021-05-18,TAKE_PROFIT_DYN,2,6000,5681.694047400029,1584.0,1.45,22
23,002594.SZ,,2021-05-06,2021-05-26,TAKE_PROFIT_DYN,2,2500,81905.07953790005,0.0,21.78,14
24,600031.SH,,2021-05-14,2021-06-01,TAKE_PROFIT_DYN,1,7200,26094.776758560038,0.0,13.09,12
25,002340.SZ,,2021-06-08,2021-07-06,TAKE_PROFIT_DYN,3,63100,32393.325431640027,757.2,5.42,19
26,000661.SZ,,2021-05-25,2021-07-19,TAKE_PROFIT_DYN,3,1000,-551.4154196399613,0.0,-0.14,38
27,600031.SH,,2021-06-15,2021-08-03,TAKE_PROFIT_DYN,3,22300,29806.78991808009,3360.0,5.0,35
28,002241.SZ,,2021-07-23,2021-08-05,TAKE_PROFIT_DYN,1,5200,18857.77769304003,0.0,9.44,9
29,002460.SZ,,2021-08-17,2021-08-27,TAKE_PROFIT_DYN,1,1200,43132.9020192,0.0,22.04,8
30,300750.SZ,,2021-08-17,2021-09-14,TAKE_PROFIT_DYN,1,400,17548.042302720074,0.0,9.03,20
31,000858.SZ,,2021-07-09,2021-09-27,TAKE_PROFIT_DYN,5,3500,-80070.44492663967,0.0,-9.6,54
32,600111.SH,,2021-09-30,2021-10-25,TAKE_PROFIT_DYN,1,4600,41992.654744800006,0.0,21.37,12
33,002466.SZ,,2021-09-23,2021-11-09,TAKE_PROFIT_DYN,2,3800,20545.878086640034,0.0,5.28,28
34,601919.SH,,2021-09-29,2021-11-29,TAKE_PROFIT_DYN,2,24700,5675.065042140195,0.0,1.43,38
