版本,股票段ΣPnL,删最大1笔,删最大1后优势(vs基线同删),删最小1笔,删最大3笔,删最大3后优势(vs基线同删),删最小3笔,删最大5笔,删最大5后优势(vs基线同删),删最小5笔,删最小1后优势(vs基线同删),删最小3后优势(vs基线同删),删最小5后优势(vs基线同删)
基线,697567.19,565999.54,0.0,977099.33,371654.14,0.0,1254080.76,251782.58,0.0,1483454.17,0.0,0.0,0.0
0.5%,1280010.99,1170612.54,604613.0,1423828.19,997183.4,625529.26,1669560.98,831894.88,580112.3,1836614.67,446728.86,415480.22,353160.5
0.75%,1232677.93,1124551.24,558551.7,1378111.46,935435.73,563781.59,1626248.01,791854.42,540071.84,1795274.34,401012.13,372167.25,311820.17
1.0%,1273304.15,1154587.68,588588.14,1420354.03,966951.1,595296.96,1670550.94,826627.18,574844.6,1823041.2,443254.7,416470.18,339587.03
1.5%,1355918.06,1199646.91,633647.37,1506200.62,1051485.03,679830.89,1728997.17,918919.24,667136.66,1877552.5,529101.29,474916.41,394098.33
