ts_code,name,buy_date,sell_date,shares_sold,dividend_date,dividend_gross,holding_days,tax_rate,tax_due,cash_before,cash_after
002714.SZ,,2020-05-12,2020-06-18,2890,2020-06-04,935.0,36,0.1,93.5,404174.31,404080.81
002415.SZ,,2020-05-26,2020-06-18,7100,2020-05-29,4970.0,22,0.2,994.0,828013.89,827019.89
002352.SZ,,2021-04-13,2021-05-18,2800,2021-04-20,924.0,34,0.1,92.4,178945.1,178852.7
002352.SZ,,2021-04-15,2021-05-18,3000,2021-04-20,990.0,32,0.1,99.0,178945.1,178753.7
002340.SZ,,2021-06-08,2021-07-06,20400,2021-06-18,306.0,27,0.2,61.2,2471.68,2410.48
002340.SZ,,2021-06-10,2021-07-06,21000,2021-06-18,315.0,25,0.2,63.0,2471.68,2347.48
002340.SZ,,2021-06-16,2021-07-06,21700,2021-06-18,325.5,19,0.2,65.1,2471.68,2282.38
600031.SH,,2021-06-15,2021-08-03,7000,2021-06-16,4200.0,48,0.1,420.0,5322.66,4902.66
002415.SZ,,2022-05-09,2022-06-06,5800,2022-05-26,5220.0,27,0.2,1044.0,824186.22,823142.22
002415.SZ,,2022-05-11,2022-06-06,5800,2022-05-26,5220.0,25,0.2,1044.0,824186.22,822098.22
002415.SZ,,2022-05-16,2022-06-06,6200,2022-05-26,5580.0,20,0.2,1116.0,824186.22,820982.22
600036.SH,,2022-07-14,2022-08-31,5300,2022-07-15,8066.6,47,0.1,806.66,297570.38,296763.72
002594.SZ,,2022-07-13,2022-11-04,600,2022-07-29,63.0,113,0.1,6.3,67870.36,67864.06
600809.SH,,2023-05-23,2023-07-25,900,2023-06-26,2988.0,62,0.1,298.8,3601.0,3302.2
600809.SH,,2023-05-25,2023-07-25,900,2023-06-26,2988.0,60,0.1,298.8,3601.0,3003.4
300014.SZ,,2023-02-21,2023-11-06,2600,2023-06-19,416.0,257,0.1,41.6,93517.63,93476.03
300014.SZ,,2023-02-23,2023-11-06,2700,2023-06-19,432.0,255,0.1,43.2,93517.63,93432.83
300014.SZ,,2023-03-20,2023-11-06,3200,2023-06-19,512.0,230,0.1,51.2,93517.63,93381.63
300014.SZ,,2023-04-21,2023-11-06,3000,2023-06-19,480.0,198,0.1,48.0,93517.63,93333.63
300014.SZ,,2023-04-25,2023-11-06,3200,2023-06-19,512.0,194,0.1,51.2,93517.63,93282.43
000977.SZ,,2024-05-29,2024-07-09,5400,2024-06-21,702.0,40,0.1,70.2,344301.87,344231.67
000625.SZ,,2024-05-07,2024-07-10,13300,2024-05-24,4561.9,63,0.1,456.19,552844.02,552387.83
603019.SH,,2024-03-28,2024-07-17,4200,2024-06-06,714.0,110,0.1,71.4,758481.4,758410.0
603019.SH,,2024-05-27,2024-07-17,4800,2024-06-06,816.0,50,0.1,81.6,758481.4,758328.4
601138.SH,,2024-07-19,2024-09-24,8000,2024-08-15,4640.0,66,0.1,464.0,202499.95,202035.95
601138.SH,,2024-07-26,2024-09-24,8600,2024-08-15,4988.0,59,0.1,498.8,202499.95,201537.15
601899.SH,,2024-07-24,2024-09-25,12100,2024-08-09,1210.0,62,0.1,121.0,709597.77,709476.77
601899.SH,,2024-07-26,2024-09-25,12800,2024-08-09,1280.0,60,0.1,128.0,709597.77,709348.77
000063.SZ,,2025-03-04,2025-05-07,5500,2025-04-16,3393.5,63,0.1,339.35,6269.17,5929.82
000063.SZ,,2025-04-09,2025-05-07,1700,2025-04-16,1048.9,27,0.2,209.78,6269.17,5720.04
600519.SH,,2025-06-16,2025-07-10,100,2025-06-26,2767.3,23,0.2,553.46,1431580.88,1431027.42
002475.SZ,,2026-01-09,2026-04-08,3600,2026-02-12,575.69,88,0.1,57.57,1657.02,1599.45
002475.SZ,,2026-01-14,2026-04-08,3600,2026-02-12,575.69,83,0.1,57.57,1657.02,1541.88
002475.SZ,,2026-01-30,2026-04-08,3800,2026-02-12,607.68,67,0.1,60.77,1657.02,1481.11
