ts_code,name,buy_date,sell_date,shares_sold,dividend_date,dividend_gross,holding_days,tax_rate,tax_due,cash_before,cash_after
002415.SZ,,2020-05-26,2020-06-18,7100,2020-05-29,4970.0,22,0.2,994.0,5120.36,4126.36
002352.SZ,,2021-04-13,2021-05-17,3000,2021-04-20,990.0,33,0.1,99.0,4425.81,4326.81
002352.SZ,,2021-04-15,2021-05-17,3000,2021-04-20,990.0,31,0.1,99.0,4425.81,4227.81
002340.SZ,,2021-06-08,2021-07-05,20400,2021-06-18,306.0,26,0.2,61.2,5079.87,5018.67
002340.SZ,,2021-06-10,2021-07-05,21000,2021-06-18,315.0,24,0.2,63.0,5079.87,4955.67
002340.SZ,,2021-06-16,2021-07-05,21700,2021-06-18,325.5,18,0.2,65.1,5079.87,4890.57
600031.SH,,2021-06-15,2021-08-02,7000,2021-06-16,4200.0,47,0.1,420.0,5149.15,4729.15
600036.SH,,2022-07-14,2022-08-31,5300,2022-07-15,8066.6,47,0.1,806.66,3869.39,3062.73
002594.SZ,,2022-07-13,2022-10-18,600,2022-07-29,63.0,96,0.1,6.3,5090.22,5083.92
603019.SH,,2024-03-28,2024-06-18,4200,2024-06-06,714.0,81,0.1,71.4,5056.59,4985.19
603019.SH,,2024-05-27,2024-06-18,4800,2024-06-06,816.0,21,0.2,163.2,5056.59,4821.99
000725.SZ,,2024-05-29,2024-06-28,48700,2024-06-19,1461.0,29,0.2,292.2,5136.58,4844.38
601138.SH,,2024-07-19,2024-09-24,8000,2024-08-15,4640.0,66,0.1,464.0,1009053.78,1008589.78
601138.SH,,2024-07-26,2024-09-24,8600,2024-08-15,4988.0,59,0.1,498.8,1009053.78,1008090.98
000063.SZ,,2025-03-04,2025-05-07,5500,2025-04-16,3393.5,63,0.1,339.35,811298.58,810959.23
000063.SZ,,2025-04-09,2025-05-07,6700,2025-04-16,4133.9,27,0.2,826.78,811298.58,810132.45
600519.SH,,2025-06-16,2025-07-09,100,2025-06-26,2767.3,22,0.2,553.46,1477324.32,1476770.86
300059.SZ,,2026-03-23,2026-04-30,10100,2026-04-21,1010.0,37,0.1,101.0,5160.75,5059.75
300059.SZ,,2026-03-27,2026-04-30,10500,2026-04-21,1050.0,33,0.1,105.0,5160.75,4954.75
