early_exit_pct,same_trade_delta,new_trades_pnl,displaced_trades_pnl,div_delta,etf_path_delta,stock_pnl_delta,equity_delta_total,loo0,loo_top1,loo_top3,loo_top5,top1_pct,top5_pct,n_both,n_new,n_displaced
0.5,496954.0,208566.0,121828.0,-20835.0,-52103.0,583692.0,531589.0,1258062.0,1148664.0,976566.0,818664.0,8.7,34.9,88,18,9
0.75,408421.0,372241.0,222998.0,-15125.0,342663.0,557664.0,900327.0,1232034.0,1123907.0,934792.0,791211.0,8.8,35.8,86,26,11
1.0,235247.0,558278.0,181016.0,-24153.0,155565.0,612509.0,768074.0,1286879.0,1166260.0,978623.0,838300.0,9.4,34.9,83,31,14
1.5,112615.0,798621.0,245394.0,-22801.0,780120.0,665842.0,1445962.0,1340212.0,1191354.0,1043192.0,914161.0,11.1,31.8,81,47,16
