date,ts_code,name,event_type,shares_before,shares_change,shares_after,cash_before,cash_change,cash_after,price,fee,reason
2020-10-28,002456.SZ,,SELL,49400,-49400,0,3147.3,788121.81,791269.11,15.97401,994.29,TAKE_PROFIT_DYN
2020-11-09,300136.SZ,,SELL,3900,-3900,0,791269.11,205532.7,996801.82,52.76718,259.3,TAKE_PROFIT_DYN
2020-11-12,300122.SZ,,BUY,0,1400,1400,996801.82,-188943.82,807858.0,134.92478999999997,49.11,initial entry
2020-11-16,601012.SH,,BUY,0,2900,2900,807858.0,-193644.74,614213.26,66.75668999999999,50.33,initial entry
2020-11-17,ETF,ETF,ETF_BUY,0,0,0,614213.26,-209140.15,405073.11,2.234,52.27,rebalance
2020-11-18,300122.SZ,,BUY_ADD,1400,1600,3000,405073.11,-192882.78,212190.33,120.5204,50.14,level 2
2020-11-18,601012.SH,,BUY_ADD,2900,3000,5900,212190.33,-194945.37,17244.96,64.9649,50.67,level 2
2020-11-18,ETF,ETF,ETF_BUY,0,0,0,17244.96,-12183.17,5061.8,2.212,5.0,rebalance
2020-12-07,600745.SH,,SELL,1600,-1600,0,5061.8,184526.26,189588.06,115.47441,232.8,TAKE_PROFIT_DYN
2020-12-07,ETF,ETF,ETF_BUY,0,0,0,189588.06,-184583.49,5004.57,2.262,46.13,rebalance
2020-12-09,601012.SH,,SELL,5900,-5900,0,5004.57,433553.5,438558.07,73.57635,546.97,TAKE_PROFIT_DYN
2020-12-09,ETF,ETF,ETF_BUY,0,0,0,438558.07,-233456.31,205101.75,2.277,58.35,rebalance
2020-12-10,000651.SZ,,BUY,0,3100,3100,205101.75,-195577.17,9524.58,63.07300999999999,50.84,initial entry
2020-12-10,ETF,ETF,ETF_BUY,0,0,0,9524.58,-4310.9,5213.68,2.264,5.0,rebalance
2020-12-15,ETF,ETF,ETF_SELL,0,0,0,5213.68,198493.52,203707.21,2.261,49.64,ensure_cash
2020-12-15,002475.SZ,,BUY,0,4000,4000,203707.21,-198730.14,4977.07,49.669619999999995,51.66,initial entry
2020-12-16,ETF,ETF,ETF_SELL,0,0,0,4977.07,198793.85,203770.92,2.267,49.71,ensure_cash
2020-12-16,000651.SZ,,BUY_ADD,3100,3200,6300,203770.92,-195446.0,8324.91,61.06099999999999,50.8,level 2
2020-12-16,ETF,ETF,ETF_BUY,0,0,0,8324.91,-3186.18,5138.73,2.27,5.0,rebalance
2020-12-21,300122.SZ,,SELL,3000,-3000,0,5138.73,464278.94,469417.67,154.95489,585.73,TAKE_PROFIT_DYN
2020-12-21,ETF,ETF,ETF_BUY,0,0,0,469417.67,-464356.34,5061.34,2.279,116.06,rebalance
2020-12-23,002475.SZ,,SELL,4000,-4000,0,5061.34,215671.75,220733.09,53.98596,272.09,TAKE_PROFIT_DYN
2020-12-23,ETF,ETF,ETF_BUY,0,0,0,220733.09,-215647.28,5085.81,2.26,53.9,rebalance
2021-01-05,000651.SZ,,SELL,6300,-6300,0,5085.81,409706.48,414792.3,65.11482000000001,516.88,TAKE_PROFIT_DYN
2021-01-05,ETF,ETF,ETF_BUY,0,0,0,414792.3,-409775.18,5017.12,2.245,102.42,rebalance
2021-01-29,ETF,ETF,ETF_SELL,0,0,0,5017.12,198696.97,203714.08,2.292,49.69,ensure_cash
2021-01-29,601318.SH,,BUY,0,2400,2400,203714.08,-194404.69,9309.39,80.98089999999999,50.53,initial entry
2021-01-29,ETF,ETF,ETF_SELL,0,0,0,9309.39,194347.61,203657.0,2.292,48.6,ensure_cash
2021-01-29,002475.SZ,,BUY,0,3800,3800,203657.0,-195756.39,7900.61,51.50145,50.88,initial entry
2021-02-01,ETF,ETF,ETF_SELL,0,0,0,7900.61,195714.6,203615.21,2.255,48.94,ensure_cash
2021-02-01,300750.SZ,,BUY,0,500,500,203615.21,-176722.44,26892.77,353.35299999999995,45.94,initial entry
2021-02-02,ETF,ETF,ETF_SELL,0,0,0,26892.77,176492.35,203385.12,2.292,44.13,ensure_cash
2021-02-02,601318.SH,,BUY_ADD,2400,2500,4900,203385.12,-198449.78,4935.34,79.35928,51.58,level 2
2021-02-04,ETF,ETF,ETF_SELL,0,0,0,4935.34,198880.64,203815.98,2.329,49.73,ensure_cash
2021-02-04,601318.SH,,BUY_ADD,4900,2500,7400,203815.98,-195245.75,8570.23,78.07799999999999,50.75,level 3
2021-02-04,ETF,ETF,ETF_BUY,0,0,0,8570.23,-3503.49,5066.73,2.33,5.0,rebalance
2021-02-25,601318.SH,,SELL,7400,-7400,0,5066.73,643527.15,648593.88,87.07284,811.87,TAKE_PROFIT_DYN
2021-02-26,300750.SZ,,BUY_ADD,500,600,1100,648593.88,-194044.24,454549.64,323.323,50.44,level 2
2021-02-26,300059.SZ,,BUY,0,6500,6500,454549.64,-198499.85,256049.8,30.530499999999996,51.6,initial entry
2021-03-01,ETF,ETF,ETF_BUY,0,0,0,256049.8,-251014.44,5035.36,2.343,62.74,rebalance
2021-03-10,ETF,ETF,ETF_SELL,0,0,0,5035.36,198719.34,203754.7,2.38,49.69,ensure_cash
2021-03-10,002475.SZ,,BUY_ADD,3800,4300,8100,203754.7,-195853.52,7901.18,45.535489999999996,50.91,level 2
2021-03-10,ETF,ETF,ETF_BUY,0,0,0,7901.18,-2855.45,5045.73,2.373,5.0,rebalance
2021-03-12,ETF,ETF,ETF_SELL,0,0,0,5045.73,198690.88,203736.61,2.435,49.69,ensure_cash
2021-03-12,002475.SZ,,BUY_ADD,8100,4700,12800,203736.61,-199389.97,4346.64,42.412369999999996,51.83,level 3
2021-03-16,ETF,ETF,ETF_SELL,0,0,0,4346.64,199505.96,203852.6,2.442,49.89,ensure_cash
2021-03-16,002475.SZ,,BUY_ADD,12800,5200,18000,203852.6,-198994.47,4858.13,38.258219999999994,51.73,level 4
2021-04-02,300059.SZ,,SELL,6500,-6500,0,4858.13,187685.11,192543.24,28.911060000000003,236.78,TAKE_PROFIT_DYN
2021-04-02,ETF,ETF,ETF_BUY,0,0,0,192543.24,-187509.14,5034.1,2.497,46.87,rebalance
2021-04-13,ETF,ETF,ETF_SELL,0,0,0,5034.1,198685.98,203720.08,2.557,49.68,ensure_cash
2021-04-13,002352.SZ,,BUY,0,3000,3000,203720.08,-198249.53,5470.55,66.06599999999999,51.53,initial entry
2021-04-13,ETF,ETF,ETF_BUY,0,0,0,5470.55,-260.96,5209.59,2.557,5.0,rebalance
2021-04-14,300750.SZ,,SELL,1100,-1100,0,5209.59,380695.16,385904.75,346.52313,480.28,TAKE_PROFIT_DYN
2021-04-14,ETF,ETF,ETF_BUY,0,0,0,385904.75,-180826.5,205078.26,2.569,45.2,rebalance
2021-04-15,002352.SZ,,BUY_ADD,3000,3000,6000,205078.26,-194374.65,10703.6,64.77470999999998,50.52,level 2
2021-04-16,ETF,ETF,ETF_SELL,0,0,0,10703.6,192850.88,203554.49,2.578,48.22,ensure_cash
2021-04-16,601166.SH,,BUY,0,9500,9500,203554.49,-199275.82,4278.66,20.97095,51.8,initial entry
2021-04-19,002475.SZ,,SELL,18000,-18000,0,4278.66,649409.83,653688.49,36.12384,819.29,TAKE_PROFIT_DYN
2021-04-19,ETF,ETF,ETF_BUY,0,0,0,653688.49,-648647.96,5040.53,2.58,162.12,rebalance
2021-04-20,002352.SZ,,DIVIDEND,6000,0,6000,5040.53,1584.0,6624.53,,0.0,cash_div=3.3/10 pretax=1980.0
2021-04-20,ETF,ETF,ETF_BUY,0,0,0,6624.53,-1542.54,5082.0,2.56,5.0,rebalance
2021-05-06,ETF,ETF,ETF_SELL,0,0,0,5082.0,198771.27,203853.27,2.568,49.71,ensure_cash
2021-05-06,002594.SZ,,BUY,0,1200,1200,203853.27,-188637.43,15215.84,157.15699999999998,49.03,initial entry
2021-05-06,ETF,ETF,ETF_BUY,0,0,0,15215.84,-10022.41,5193.43,2.566,5.0,rebalance
2021-05-10,ETF,ETF,ETF_SELL,0,0,0,5193.43,198557.94,203751.37,2.592,49.65,ensure_cash
2021-05-10,002594.SZ,,BUY_ADD,1200,1300,2500,203751.37,-187370.84,16380.54,144.09394999999998,48.7,level 2
2021-05-10,ETF,ETF,ETF_BUY,0,0,0,16380.54,-11131.62,5248.92,2.585,5.0,rebalance
2021-05-12,601166.SH,,SELL,9500,-9500,0,5248.92,219523.03,224771.95,23.13684,276.95,TAKE_PROFIT_DYN
2021-05-12,ETF,ETF,ETF_BUY,0,0,0,224771.95,-219617.83,5154.12,2.527,54.89,rebalance
2021-05-14,ETF,ETF,ETF_SELL,0,0,0,5154.12,198660.41,203814.53,2.502,49.68,ensure_cash
2021-05-14,600031.SH,,BUY,0,7200,7200,203814.53,-199330.89,4483.64,27.677649999999996,51.81,initial entry
2021-05-18,002352.SZ,,SELL,6000,-6000,0,4483.64,399715.1,404198.74,66.70322999999999,504.28,TAKE_PROFIT_DYN
2021-05-18,ETF,ETF,ETF_BUY,0,0,0,404198.74,-399045.28,5153.46,2.545,99.74,rebalance
2021-05-25,ETF,ETF,ETF_SELL,0,0,0,5153.46,198707.95,203861.41,2.554,49.69,ensure_cash
2021-05-25,000661.SZ,,BUY,0,400,400,203861.41,-169901.85,33959.56,424.64421999999996,44.16,initial entry
2021-05-25,ETF,ETF,ETF_BUY,0,0,0,33959.56,-28862.34,5097.22,2.551,7.21,rebalance
2021-05-28,ETF,ETF,ETF_SELL,0,0,0,5097.22,198609.48,203706.7,2.53,49.66,ensure_cash
2021-05-28,000661.SZ,,BUY_ADD,400,400,800,203706.7,-166825.98,36880.72,416.95653999999996,43.36,level 2
2021-05-28,ETF,ETF,ETF_BUY,0,0,0,36880.72,-31752.15,5128.57,2.537,7.94,rebalance
2021-06-01,600031.SH,,SELL,7200,-7200,0,5128.57,227149.77,232278.34,31.58838,286.57,TAKE_PROFIT_DYN
