股票,代码,入场,基线PnL,基线退出,x10退出,x10PnL,x15退出,x15PnL
,002352.SZ,2021-04-13,8872.92,2021-05-18,2021-05-18,4862.0,2021-05-17,1988.5
,600031.SH,2021-06-15,30226.79,2021-08-03,2021-08-03,30226.79,2021-08-02,11759.6
,002594.SZ,2022-07-13,-28411.45,2022-11-04,2022-11-04,-45758.28,2022-10-18,-19150.34
,600519.SH,2022-10-13,-3317.01,2022-12-01,2022-12-01,-3317.01,2022-11-29,13393.85
,601012.SH,2022-12-23,22382.59,2023-01-18,2023-01-18,21307.02,2023-01-17,19840.34
,601318.SH,2023-11-10,-19102.23,2024-01-25,N/A,,2023-12-28,-22612.52
,002230.SZ,2024-01-04,10792.51,2024-02-08,2024-02-08,10101.22,2024-01-30,10195.05
,000628.SZ,2024-04-01,-131429.8,2024-05-21,2024-05-21,-133600.98,2024-05-20,-142719.91
,600418.SH,2024-11-28,38096.99,2025-01-22,2025-01-22,35707.21,2025-01-20,31269.03
,300502.SZ,2025-03-03,111893.05,2025-05-08,2025-05-08,106903.85,2025-04-02,9541.87
,601138.SH,2025-11-25,38151.09,2025-12-25,2025-12-25,35775.28,2025-12-24,32665.76
