,2020-2022,2021-2023,2022-2024
基线,77.11%/-19.83%,15.25%/-26.07%,1.56%/-31.74%
0.5%,66.26%/-26.4%,44.22%/-26.4%,33.89%/-25.87%
0.75%,68.63%/-23.78%,55.53%/-23.78%,34.95%/-21.86%
1.0%,76.02%/-24.52%,57.79%/-24.52%,28.46%/-22.79%
1.5%,94.99%/-23.36%,79.08%/-23.36%,59.85%/-21.68%
