版本,涉及股票数,股票段ΣPnL,Top1贡献,Top1占比,Top3贡献,Top3占比,Top5贡献,Top5占比,Top1股票
基线,50,697567.19,162552.5,0.233,434047.49,0.622,630908.1,0.904,隆基绿能
0.5%,51,1280010.99,147756.23,0.115,436874.92,0.341,676056.1,0.528,亿纬锂能
0.75%,54,1232677.93,143471.73,0.116,378319.84,0.307,562002.9,0.456,新易盛
1.0%,56,1273304.15,130151.98,0.102,355544.37,0.279,536609.76,0.421,亿纬锂能
1.5%,58,1355918.06,153107.04,0.113,393363.77,0.29,571432.57,0.421,亿纬锂能
