ts_code,name,buy_date,sell_date,shares_sold,dividend_date,dividend_gross,holding_days,tax_rate,tax_due,cash_before,cash_after
002714.SZ,,2020-05-12,2020-06-18,2890,2020-06-04,935.0,36,0.1,93.5,5036.34,4942.84
002415.SZ,,2020-05-26,2020-06-18,7100,2020-05-29,4970.0,22,0.2,994.0,428049.19,427055.19
002352.SZ,,2021-04-13,2021-05-18,3000,2021-04-20,990.0,34,0.1,99.0,4481.75,4382.75
002352.SZ,,2021-04-15,2021-05-18,3000,2021-04-20,990.0,32,0.1,99.0,4481.75,4283.75
002340.SZ,,2021-06-08,2021-07-06,20400,2021-06-18,306.0,27,0.2,61.2,24662.82,24601.62
002340.SZ,,2021-06-10,2021-07-06,21000,2021-06-18,315.0,25,0.2,63.0,24662.82,24538.62
002340.SZ,,2021-06-16,2021-07-06,21700,2021-06-18,325.5,19,0.2,65.1,24662.82,24473.52
600031.SH,,2021-06-15,2021-08-03,7000,2021-06-16,4200.0,48,0.1,420.0,5261.88,4841.88
600036.SH,,2022-07-14,2022-08-31,5300,2022-07-15,8066.6,47,0.1,806.66,608760.04,607953.38
002594.SZ,,2022-07-13,2022-11-04,600,2022-07-29,63.0,113,0.1,6.3,5101.32,5095.02
600809.SH,,2023-05-23,2023-07-25,900,2023-06-26,2988.0,62,0.1,298.8,5018.7,4719.9
600809.SH,,2023-05-25,2023-07-25,900,2023-06-26,2988.0,60,0.1,298.8,5018.7,4421.1
300014.SZ,,2023-02-21,2023-10-27,2600,2023-06-19,416.0,247,0.1,41.6,5085.55,5043.95
300014.SZ,,2023-02-23,2023-10-27,2700,2023-06-19,432.0,245,0.1,43.2,5085.55,5000.75
300014.SZ,,2023-03-20,2023-10-27,3200,2023-06-19,512.0,220,0.1,51.2,5085.55,4949.55
300014.SZ,,2023-04-21,2023-10-27,3000,2023-06-19,480.0,188,0.1,48.0,5085.55,4901.55
300014.SZ,,2023-04-25,2023-10-27,3200,2023-06-19,512.0,184,0.1,51.2,5085.55,4850.35
000977.SZ,,2024-05-29,2024-07-09,5400,2024-06-21,702.0,40,0.1,70.2,5032.36,4962.16
000625.SZ,,2024-05-07,2024-07-10,13300,2024-05-24,4561.9,63,0.1,456.19,5099.89,4643.7
603019.SH,,2024-03-28,2024-07-16,4200,2024-06-06,714.0,109,0.1,71.4,4679.8,4608.4
603019.SH,,2024-05-27,2024-07-16,4800,2024-06-06,816.0,49,0.1,81.6,4679.8,4526.8
601138.SH,,2024-07-19,2024-09-24,8000,2024-08-15,4640.0,66,0.1,464.0,5006.22,4542.22
601138.SH,,2024-07-26,2024-09-24,8600,2024-08-15,4988.0,59,0.1,498.8,5006.22,4043.42
601899.SH,,2024-07-24,2024-09-25,12100,2024-08-09,1210.0,62,0.1,121.0,596639.07,596518.07
601899.SH,,2024-07-26,2024-09-25,12800,2024-08-09,1280.0,60,0.1,128.0,596639.07,596390.07
000063.SZ,,2025-03-04,2025-05-07,5500,2025-04-16,3393.5,63,0.1,339.35,5121.71,4782.36
000063.SZ,,2025-04-09,2025-05-07,6700,2025-04-16,4133.9,27,0.2,826.78,5121.71,3955.58
600519.SH,,2025-06-16,2025-07-09,100,2025-06-26,2767.3,22,0.2,553.46,1592398.88,1591845.42
002475.SZ,,2026-01-09,2026-04-08,3600,2026-02-12,575.69,88,0.1,57.57,5048.24,4990.67
002475.SZ,,2026-01-14,2026-04-08,3600,2026-02-12,575.69,83,0.1,57.57,5048.24,4933.1
002475.SZ,,2026-01-30,2026-04-08,3800,2026-02-12,607.68,67,0.1,60.77,5048.24,4872.33
