date,ts_code,name,event_type,shares_before,shares_change,shares_after,cash_before,cash_change,cash_after,price,fee,reason
2021-02-26,300059.SZ,,BUY,0,6500,6500,680667.79,-198499.85,482167.94,30.530499999999996,51.6,initial entry
2021-03-10,002475.SZ,,BUY_ADD,3800,4300,8100,482167.94,-195853.52,286314.43,45.535489999999996,50.91,level 2
2021-03-12,002475.SZ,,BUY_ADD,8100,4700,12800,286314.43,-199389.97,86924.46,42.412369999999996,51.83,level 3
2021-03-16,002475.SZ,,BUY_ADD,12800,2200,15000,86924.46,-84189.97,2734.49,38.258219999999994,21.88,level 4
2021-04-02,300059.SZ,,SELL,6500,-6500,0,2734.49,187685.11,190419.6,28.911060000000003,236.78,TAKE_PROFIT_DYN
2021-04-13,002352.SZ,,BUY,0,2800,2800,190419.6,-185032.9,5386.71,66.06599999999999,48.1,initial entry
2021-04-14,300750.SZ,,SELL,1100,-1100,0,5386.71,380695.16,386081.87,346.52313,480.28,TAKE_PROFIT_DYN
2021-04-15,002352.SZ,,BUY_ADD,2800,3000,5800,386081.87,-194374.65,191707.21,64.77470999999998,50.52,level 2
2021-04-16,601166.SH,,BUY,0,9100,9100,191707.21,-190885.26,821.95,20.97095,49.62,initial entry
2021-04-19,002475.SZ,,SELL,15000,-15000,0,821.95,541174.86,541996.81,36.12384,682.74,TAKE_PROFIT_DYN
2021-04-20,002352.SZ,,DIVIDEND,5800,0,5800,541996.81,1531.2,543528.01,,0.0,cash_div=3.3/10 pretax=1914.0
2021-05-06,002594.SZ,,BUY,0,1200,1200,543528.01,-188637.43,354890.58,157.15699999999998,49.03,initial entry
2021-05-10,002594.SZ,,BUY_ADD,1200,1300,2500,354890.58,-187370.84,167519.74,144.09394999999998,48.7,level 2
2021-05-12,601166.SH,,SELL,9100,-9100,0,167519.74,210279.96,377799.7,23.13684,265.29,TAKE_PROFIT_DYN
2021-05-14,600031.SH,,BUY,0,7200,7200,377799.7,-199330.89,178468.8,27.677649999999996,51.81,initial entry
2021-05-18,002352.SZ,,SELL,5800,-5800,0,178468.8,386391.27,564860.07,66.70322999999999,487.47,TAKE_PROFIT_DYN
2021-05-25,000661.SZ,,BUY,0,400,400,564860.07,-169901.85,394958.22,424.64421999999996,44.16,initial entry
2021-05-28,000661.SZ,,BUY_ADD,400,400,800,394958.22,-166825.98,228132.24,416.95653999999996,43.36,level 2
2021-06-01,600031.SH,,SELL,7200,-7200,0,228132.24,227149.77,455282.01,31.58838,286.57,TAKE_PROFIT_DYN
2021-06-08,002340.SZ,,BUY,0,20400,20400,455282.01,-199150.67,256131.34,9.759749999999999,51.77,initial entry
2021-06-08,002594.SZ,,SELL,2500,-2500,0,256131.34,507575.92,763707.26,203.28651000000002,640.35,TAKE_PROFIT_DYN
2021-06-10,002340.SZ,,BUY_ADD,20400,21000,41400,763707.26,-199330.89,564376.37,9.489479999999999,51.81,level 2
2021-06-15,600031.SH,,BUY,0,7000,7000,564376.37,-198069.3,366307.07,28.288259999999998,51.48,initial entry
2021-06-16,600031.SH,,DIVIDEND,7000,0,7000,366307.07,3360.0,369667.07,,0.0,cash_div=6.0/10 pretax=4200.0
2021-06-16,002340.SZ,,BUY_ADD,41400,21700,63100,369667.07,-199457.05,170210.01,9.189179999999999,51.85,level 3
2021-06-17,600031.SH,,BUY_ADD,7000,6300,13300,170210.01,-169809.74,400.28,26.94692,44.14,level 2
2021-06-18,002340.SZ,,DIVIDEND,63100,0,63100,400.28,757.2,1157.48,,0.0,cash_div=0.15/10 pretax=946.5
2021-07-06,002340.SZ,,SELL,63100,-63100,0,1157.48,629574.74,630732.21,9.99,794.26,TAKE_PROFIT_DYN
2021-07-07,000661.SZ,,BUY_ADD,800,500,1300,630732.21,-178729.96,452002.25,357.36700999999994,46.46,level 3
2021-07-09,600031.SH,,BUY_ADD,13300,7900,21200,452002.25,-199014.49,252987.76,25.185159999999996,51.73,level 3
2021-07-09,000858.SZ,,BUY,0,700,700,252987.76,-188852.7,64135.05,269.71944999999994,49.09,initial entry
2021-07-19,000661.SZ,,SELL,1300,-1300,0,64135.05,534234.57,598369.62,411.46812,673.98,TAKE_PROFIT_DYN
2021-07-23,002241.SZ,,BUY,0,5200,5200,598369.62,-199723.39,398646.24,38.39836,51.91,initial entry
2021-07-27,000858.SZ,,BUY_ADD,700,800,1500,398646.24,-197849.03,200797.21,247.24699999999999,51.43,level 2
2021-07-29,000858.SZ,,BUY_ADD,1500,800,2300,200797.21,-196599.45,4197.76,245.68543999999997,51.1,level 3
2021-08-03,600031.SH,,SELL,21200,-21200,0,4197.76,592259.21,596456.97,27.972,747.19,TAKE_PROFIT_DYN
2021-08-05,002241.SZ,,SELL,5200,-5200,0,596456.97,220241.41,816698.37,42.40755,277.85,TAKE_PROFIT_DYN
2021-08-17,300750.SZ,,BUY,0,400,400,816698.37,-194244.49,622453.88,485.48499999999996,50.49,initial entry
2021-08-17,002460.SZ,,BUY,0,1200,1200,622453.88,-195726.36,426727.53,163.06289999999998,50.88,initial entry
2021-08-23,000858.SZ,,BUY_ADD,2300,900,3200,426727.53,-185985.09,240742.43,206.59638999999996,48.34,level 4
2021-08-30,002460.SZ,,SELL,1200,-1200,0,240742.43,242750.45,483492.88,202.54725,306.25,TAKE_PROFIT_DYN
2021-09-14,300750.SZ,,SELL,400,-400,0,483492.88,213392.91,696885.79,534.1553100000001,269.21,TAKE_PROFIT_DYN
2021-09-17,000858.SZ,,BUY_ADD,3200,1000,4200,696885.79,-196247.01,500638.78,196.19599999999997,51.01,level 5
2021-09-23,002466.SZ,,BUY,0,1800,1800,500638.78,-195077.54,305561.24,108.34823999999999,50.71,initial entry
2021-09-27,000858.SZ,,SELL,4200,-4200,0,305561.24,911520.45,1217081.69,217.30248,1149.96,TAKE_PROFIT_DYN
2021-09-28,002466.SZ,,BUY_ADD,1800,2000,3800,1217081.69,-194304.57,1022777.13,97.12702999999999,50.51,level 2
2021-09-29,601919.SH,,BUY,0,11100,11100,1022777.13,-198940.4,823836.73,17.917899999999996,51.71,initial entry
2021-09-30,600111.SH,,BUY,0,4600,4600,823836.73,-196529.37,627307.36,42.712669999999996,51.08,initial entry
2021-10-25,600111.SH,,SELL,4600,-4600,0,627307.36,240311.97,867619.33,52.30764,303.18,TAKE_PROFIT_DYN
2021-10-28,000651.SZ,,BUY,0,5400,5400,867619.33,-197186.19,670433.13,36.50646999999999,51.26,initial entry
2021-11-09,002466.SZ,,SELL,3800,-3800,0,670433.13,409927.98,1080361.12,108.01188,517.16,TAKE_PROFIT_DYN
2021-11-16,601919.SH,,BUY_ADD,11100,13600,24700,1080361.12,-198810.24,881550.88,14.614599999999998,51.68,level 2
2021-11-17,600030.SH,,BUY,0,8300,8300,881550.88,-198703.1,682847.78,23.933909999999997,51.65,initial entry
2021-11-30,000651.SZ,,BUY_ADD,5400,5700,11100,682847.78,-197925.12,484922.66,34.714679999999994,51.45,level 2
2021-11-30,601919.SH,,SELL,24700,-24700,0,484922.66,409833.2,894755.85,16.61337,517.04,TAKE_PROFIT_DYN
2021-12-02,601012.SH,,BUY,0,2300,2300,894755.85,-191831.45,702924.4,83.38329999999999,49.86,initial entry
2021-12-06,601012.SH,,BUY_ADD,2300,2400,4700,702924.4,-197048.02,505876.38,82.082,51.22,level 2
2021-12-06,600030.SH,,SELL,8300,-8300,0,505876.38,214484.44,720360.82,25.874100000000002,270.59,TAKE_PROFIT_DYN
2021-12-09,000651.SZ,,SELL,11100,-11100,0,720360.82,409993.83,1130354.65,36.982980000000005,517.24,TAKE_PROFIT_DYN
2021-12-17,002594.SZ,,BUY,0,700,700,1130354.65,-199050.54,931304.11,284.284,51.74,initial entry
2021-12-21,002594.SZ,,BUY_ADD,700,700,1400,931304.11,-189588.63,741715.48,270.77049999999997,49.28,level 2
2021-12-21,300750.SZ,,BUY,0,300,300,741715.48,-182029.12,559686.37,606.6059999999999,47.32,initial entry
2021-12-27,300750.SZ,,BUY_ADD,300,300,600,559686.37,-172477.09,387209.28,574.7742,44.83,level 2
2022-02-07,601012.SH,,BUY_ADD,4700,2700,7400,387209.28,-193563.63,193645.64,71.67159999999998,50.31,level 3
2022-02-07,002594.SZ,,BUY_ADD,1400,800,2200,193645.64,-192874.77,770.88,241.03078999999997,50.13,level 3
2022-03-01,601012.SH,,SELL,7400,-7400,0,770.88,594354.47,595125.34,80.4195,749.83,TAKE_PROFIT_DYN
2022-03-04,000858.SZ,,BUY,0,1100,1100,595125.34,-198227.5,396897.84,180.15997999999996,51.53,initial entry
2022-03-08,002594.SZ,,BUY_ADD,2200,900,3100,396897.84,-199222.76,197675.08,221.30107999999998,51.78,level 4
2022-03-08,300750.SZ,,BUY_ADD,600,400,1000,197675.08,-185825.89,11849.19,464.44397999999995,48.3,level 3
