date,event_type,shares_before,shares_change,shares_after,cash_before,cash_change,cash_after,price,fee,reason
2020-05-26,BUY,0,7100,7100,203746.76,-199121.63,4625.13,28.03801,51.76,initial entry
2020-05-29,DIVIDEND,7100,0,7100,4625.13,3976.0,8601.13,,0.0,cash_div=7.0/10 pretax=4970.0
2020-06-18,SELL,7100,-7100,0,428990.63,213368.96,642359.59,30.08988,269.18,TAKE_PROFIT_DYN
2022-05-09,BUY,0,5800,5800,771322.26,-197448.52,573873.74,34.034,51.32,initial entry
2022-05-11,BUY_ADD,5800,5800,11600,573873.74,-199771.45,374102.29,34.4344,51.93,level 2
2022-05-16,BUY_ADD,11600,6200,17800,205081.24,-199146.66,5934.58,32.11207999999999,51.76,level 3
2022-05-26,DIVIDEND,17800,0,17800,5031.98,12816.0,17847.98,,0.0,cash_div=9.0/10 pretax=16020.0
2022-06-06,SELL,17800,-17800,0,447390.53,617508.05,1064898.58,34.73523,779.04,TAKE_PROFIT_DYN
