提前退出X,A全期,B全期,C全期,A_dev,B_dev,C_dev,A_2025,B_2025,C_2025
0.0,95.37,86.19,101.02,53.9,74.13,83.32,26.21,8.59,9.22
0.5,148.52,191.01,180.0,127.64,131.1,121.32,8.26,23.63,25.49
0.75,185.4,176.0,178.5,121.3,116.0,113.48,25.2,23.77,26.92
1.0,172.17,179.83,169.57,138.63,117.91,136.46,13.97,25.9,14.03
1.5,239.96,249.3,245.14,172.87,177.77,178.16,18.65,19.25,17.35
