股票,代码,入场,基线退出,基线PnL,基线持仓天数,0.5退出,0.5PnL,0.5持仓天数,0.75退出,X0.75PnL,X0.75持仓天数,1.0退出,1.0PnL,1.0持仓天数,1.5退出,1.5PnL,1.5持仓天数,被改变阈值
,300750.SZ,2020-03-02,2020-04-15,-17564.68,31,2020-04-15,-17564.68,31.0,2020-04-15,-17564.68,31.0,2020-04-15,-17564.68,31.0,2020-04-15,-5868.63,31.0,
,601318.SH,2020-03-02,2020-04-17,-17726.73,33,2020-04-17,-20564.31,33.0,2020-04-15,-23007.78,31.0,2020-04-15,-24426.57,31.0,2020-03-05,9537.83,3.0,0.75+10+15
,000725.SZ,2020-03-17,2020-05-11,27619.94,35,2020-05-11,26478.52,35.0,2020-05-11,25907.82,35.0,2020-05-11,25337.11,35.0,2020-05-11,21556.67,35.0,
,002714.SZ,2020-05-12,2020-06-18,13641.8,27,2020-06-02,15269.91,15.0,2020-06-02,14744.1,15.0,2020-06-02,14201.33,15.0,2020-06-02,13132.75,15.0,05+0.75+10+15
,000063.SZ,2020-05-26,2020-06-18,16543.12,17,2020-06-18,15432.63,17.0,2020-06-17,14427.9,16.0,2020-06-17,14427.9,16.0,2020-06-16,13264.54,15.0,0.75+10+15
,002415.SZ,2020-05-26,2020-06-18,18223.33,17,2020-06-18,17160.74,17.0,2020-06-18,16664.86,17.0,2020-06-18,16098.15,17.0,2020-06-18,15035.55,17.0,
,600030.SH,2020-09-08,2020-10-12,6613.85,18,2020-10-12,5560.24,18.0,2020-10-12,5560.24,18.0,2020-10-12,5560.24,18.0,2020-10-12,5560.24,18.0,
,002456.SZ,2020-09-02,2020-10-28,2172.69,34,2020-10-28,-1380.17,34.0,2020-10-13,-22490.7,23.0,2020-10-12,-22813.84,22.0,2020-10-12,-24873.98,22.0,0.75+10+15
,300136.SZ,2020-10-13,2020-11-09,3092.14,19,2020-11-09,2317.64,19.0,2020-11-09,11753.77,19.0,2020-11-09,10742.06,19.0,2020-11-09,8640.82,19.0,
,600745.SH,2020-09-09,2020-12-07,-12521.76,57,2020-12-07,-12695.68,57.0,2020-12-07,14039.17,57.0,2020-12-07,14039.17,57.0,2020-12-07,14039.17,57.0,
,601012.SH,2020-11-16,2020-12-09,44963.39,17,2020-12-08,43609.46,16.0,N/A,,,N/A,,,N/A,,,05
,300122.SZ,2020-11-12,2020-12-21,82452.35,27,2020-12-07,52999.02,17.0,2020-12-07,51891.53,17.0,2020-12-07,50813.97,17.0,2020-12-07,48628.92,17.0,05+0.75+10+15
,002475.SZ,2020-12-15,2020-12-23,16941.61,6,2020-12-22,15584.69,5.0,2020-12-22,15025.95,5.0,2020-12-22,14507.13,5.0,2020-12-16,12511.64,1.0,05+0.75+10+15
,000651.SZ,2020-12-10,2021-01-05,18683.31,17,2021-01-05,16671.87,17.0,2021-01-05,15603.29,17.0,2021-01-05,14597.56,17.0,2021-01-05,12523.26,17.0,
,601318.SH,2021-01-29,2021-02-25,55426.92,14,2021-02-25,52252.11,14.0,2021-02-25,50627.79,14.0,2021-02-25,49003.46,14.0,2021-02-25,45828.65,14.0,
,300059.SZ,2021-02-26,2021-04-02,-10814.74,25,N/A,,,N/A,,,N/A,,,N/A,,,
,300750.SZ,2021-02-01,2021-04-14,9928.49,46,2021-02-09,30179.17,6.0,2021-02-09,29660.34,6.0,2021-02-09,29136.53,6.0,2021-02-09,28413.17,6.0,05+0.75+10+15
,002475.SZ,2021-01-29,2021-04-19,-140584.51,50,2021-04-19,-143817.2,50.0,2021-04-19,-145433.54,50.0,2021-04-19,-147049.88,50.0,2021-04-19,-150282.56,50.0,
,601166.SH,2021-04-16,2021-05-12,20247.21,15,2021-05-12,19109.78,15.0,2021-05-12,18541.07,15.0,2021-05-12,18067.14,15.0,2021-05-12,16929.72,15.0,
,002352.SZ,2021-04-13,2021-05-18,8872.92,22,2021-05-18,6837.53,22.0,2021-05-18,5879.69,22.0,2021-05-18,4862.0,22.0,2021-05-17,1988.5,21.0,15
,600031.SH,2021-05-14,2021-06-01,27818.87,12,2021-06-01,26669.48,12.0,2021-06-01,26094.78,12.0,2021-06-01,25520.08,12.0,2021-06-01,24370.68,12.0,
,002594.SZ,2021-05-06,2021-06-08,131567.65,23,2021-05-26,83052.48,14.0,2021-05-26,81905.08,14.0,2021-05-26,80732.73,14.0,2021-05-26,78437.93,14.0,05+0.75+10+15
,002340.SZ,2021-06-08,2021-07-06,32393.33,19,2021-07-06,32393.33,19.0,2021-07-06,32393.33,19.0,2021-07-05,22320.13,18.0,2021-07-05,19172.26,18.0,10+15
,000661.SZ,2021-05-25,2021-07-19,13031.3,38,2021-07-19,15609.2,38.0,2021-07-19,-551.42,38.0,2021-07-19,12937.25,38.0,2021-07-19,10265.3,38.0,
