date,event_type,shares_before,shares_change,shares_after,cash_before,cash_change,cash_after,price,fee,reason
2022-07-14,BUY,0,5300,5300,679621.64,-197249.27,482372.37,37.20717,51.27,initial entry
2022-07-15,DIVIDEND,5300,0,5300,482372.37,6453.28,488825.65,,0.0,cash_div=15.22/10 pretax=8066.6
2022-07-18,BUY_ADD,5300,5600,10900,488825.65,-197088.07,291737.58,35.18514999999999,51.23,level 2
2022-08-04,BUY_ADD,10900,5900,16800,203758.43,-196894.83,6863.6,33.36333,51.18,level 3
2022-08-31,SELL,16800,-16800,0,5082.45,581978.49,587060.94,34.68528,734.22,TAKE_PROFIT_DYN
