date,event_type,shares_before,shares_change,shares_after,cash_before,cash_change,cash_after,price,fee,reason
2023-05-23,BUY,0,900,900,373000.22,-199150.67,173849.55,221.221,51.77,initial entry
2023-05-25,BUY_ADD,900,900,1800,200529.97,-193626.71,6903.25,215.08486999999997,50.33,level 2
2023-06-26,DIVIDEND,1800,0,1800,5037.25,5378.4,10415.65,,0.0,cash_div=33.2/10 pretax=5976.0
2023-06-27,BUY_ADD,1800,1000,2800,203644.06,-195736.37,7907.7,195.68549,50.88,level 3
2023-07-25,SELL,2800,-2800,0,3601.4,627431.59,631032.99,224.36541,791.56,TAKE_PROFIT_DYN
