ts_code,buy_date,dividend_date,sell_date,gross,old_holding_days,old_rate,new_rate,old_tax,new_tax,changed
002714.SZ,2020-05-12,2020-06-04,2020-06-18,935.0,23,0.2,0.1,187.0,93.5,True
002415.SZ,2020-05-26,2020-05-29,2020-06-18,4970.0,3,0.2,0.2,994.0,994.0,False
002352.SZ,2021-04-13,2021-04-20,2021-05-18,990.0,7,0.2,0.1,198.0,99.0,True
002352.SZ,2021-04-15,2021-04-20,2021-05-18,990.0,5,0.2,0.1,198.0,99.0,True
002340.SZ,2021-06-08,2021-06-18,2021-07-06,306.0,10,0.2,0.2,61.2,61.2,False
002340.SZ,2021-06-10,2021-06-18,2021-07-06,315.0,8,0.2,0.2,63.0,63.0,False
002340.SZ,2021-06-16,2021-06-18,2021-07-06,325.5,2,0.2,0.2,65.1,65.1,False
600031.SH,2021-06-15,2021-06-16,2021-08-03,4200.0,1,0.2,0.1,840.0,420.0,True
002415.SZ,2022-05-09,2022-05-26,2022-06-06,5220.0,17,0.2,0.2,1044.0,1044.0,False
002415.SZ,2022-05-11,2022-05-26,2022-06-06,5220.0,15,0.2,0.2,1044.0,1044.0,False
002415.SZ,2022-05-16,2022-05-26,2022-06-06,5580.0,10,0.2,0.2,1116.0,1116.0,False
600036.SH,2022-07-14,2022-07-15,2022-08-31,8066.6,1,0.2,0.1,1613.32,806.66,True
002594.SZ,2022-07-13,2022-07-29,2022-11-04,63.0,16,0.2,0.1,12.6,6.3,True
600809.SH,2023-05-23,2023-06-26,2023-07-25,2988.0,34,0.1,0.1,298.8,298.8,False
600809.SH,2023-05-25,2023-06-26,2023-07-25,2988.0,32,0.1,0.1,298.8,298.8,False
300014.SZ,2023-02-21,2023-06-19,2023-11-06,416.0,118,0.1,0.1,41.6,41.6,False
300014.SZ,2023-02-23,2023-06-19,2023-11-06,432.0,116,0.1,0.1,43.2,43.2,False
300014.SZ,2023-03-20,2023-06-19,2023-11-06,512.0,91,0.1,0.1,51.2,51.2,False
300014.SZ,2023-04-21,2023-06-19,2023-11-06,480.0,59,0.1,0.1,48.0,48.0,False
300014.SZ,2023-04-25,2023-06-19,2023-11-06,512.0,55,0.1,0.1,51.2,51.2,False
000977.SZ,2024-05-29,2024-06-21,2024-07-09,702.0,23,0.2,0.1,140.4,70.2,True
000625.SZ,2024-05-07,2024-05-24,2024-07-10,4561.9,17,0.2,0.1,912.38,456.19,True
603019.SH,2024-03-28,2024-06-06,2024-07-17,714.0,70,0.1,0.1,71.4,71.4,False
603019.SH,2024-05-27,2024-06-06,2024-07-17,816.0,10,0.2,0.1,163.2,81.6,True
601138.SH,2024-07-19,2024-08-15,2024-09-24,4640.0,27,0.2,0.1,928.0,464.0,True
601138.SH,2024-07-26,2024-08-15,2024-09-24,4988.0,20,0.2,0.1,997.6,498.8,True
601899.SH,2024-07-24,2024-08-09,2024-09-25,1210.0,16,0.2,0.1,242.0,121.0,True
601899.SH,2024-07-26,2024-08-09,2024-09-25,1280.0,14,0.2,0.1,256.0,128.0,True
000063.SZ,2025-03-04,2025-04-16,2025-05-07,3393.5,43,0.1,0.1,339.35,339.35,False
000063.SZ,2025-04-09,2025-04-16,2025-05-07,4133.9,7,0.2,0.2,826.78,826.78,False
600519.SH,2025-06-16,2025-06-26,2025-07-10,2767.3,10,0.2,0.2,553.46,553.46,False
002475.SZ,2026-01-09,2026-02-12,2026-04-08,575.69,34,0.1,0.1,57.57,57.57,False
002475.SZ,2026-01-14,2026-02-12,2026-04-08,575.69,29,0.2,0.1,115.14,57.57,True
002475.SZ,2026-01-30,2026-02-12,2026-04-08,607.68,13,0.2,0.1,121.54,60.77,True
