ts_code,name,buy_date,sell_date,shares_sold,dividend_date,dividend_gross,holding_days,tax_rate,tax_due,cash_before,cash_after
002714.SZ,,2020-05-12,2020-06-18,2890,2020-06-04,935.0,36,0.1,93.5,5040.88,4947.38
002415.SZ,,2020-05-26,2020-06-18,7100,2020-05-29,4970.0,22,0.2,994.0,427611.53,426617.53
002352.SZ,,2021-04-13,2021-05-18,3000,2021-04-20,990.0,34,0.1,99.0,5106.15,5007.15
002352.SZ,,2021-04-15,2021-05-18,3000,2021-04-20,990.0,32,0.1,99.0,5106.15,4908.15
002340.SZ,,2021-06-08,2021-07-06,20400,2021-06-18,306.0,27,0.2,61.2,24444.84,24383.64
002340.SZ,,2021-06-10,2021-07-06,21000,2021-06-18,315.0,25,0.2,63.0,24444.84,24320.64
002340.SZ,,2021-06-16,2021-07-06,21700,2021-06-18,325.5,19,0.2,65.1,24444.84,24255.54
600031.SH,,2021-06-15,2021-08-03,7000,2021-06-16,4200.0,48,0.1,420.0,5214.68,4794.68
600036.SH,,2022-07-14,2022-08-31,5300,2022-07-15,8066.6,47,0.1,806.66,539062.4,538255.74
002594.SZ,,2022-07-13,2022-11-04,600,2022-07-29,63.0,113,0.1,6.3,296.23,289.93
600809.SH,,2023-05-23,2023-07-25,900,2023-06-26,2988.0,62,0.1,298.8,2758.25,2459.45
600809.SH,,2023-05-25,2023-07-25,900,2023-06-26,2988.0,60,0.1,298.8,2758.25,2160.65
300014.SZ,,2023-02-21,2023-08-04,2600,2023-06-19,416.0,163,0.1,41.6,5070.2,5028.6
300014.SZ,,2023-02-23,2023-08-04,2700,2023-06-19,432.0,161,0.1,43.2,5070.2,4985.4
300014.SZ,,2023-03-20,2023-08-04,3200,2023-06-19,512.0,136,0.1,51.2,5070.2,4934.2
300014.SZ,,2023-04-21,2023-08-04,3000,2023-06-19,480.0,104,0.1,48.0,5070.2,4886.2
300014.SZ,,2023-04-25,2023-08-04,3200,2023-06-19,512.0,100,0.1,51.2,5070.2,4835.0
603019.SH,,2024-03-28,2024-06-19,4200,2024-06-06,714.0,82,0.1,71.4,4715.83,4644.43
603019.SH,,2024-05-27,2024-06-19,4800,2024-06-06,816.0,22,0.2,163.2,4715.83,4481.23
000977.SZ,,2024-05-29,2024-07-09,5400,2024-06-21,702.0,40,0.1,70.2,4099.2,4029.0
000625.SZ,,2024-05-07,2024-07-10,13300,2024-05-24,4561.9,63,0.1,456.19,211994.5,211538.31
601138.SH,,2024-07-19,2024-09-24,8000,2024-08-15,4640.0,66,0.1,464.0,461090.22,460626.22
601138.SH,,2024-07-26,2024-09-24,8600,2024-08-15,4988.0,59,0.1,498.8,461090.22,460127.42
000063.SZ,,2025-03-04,2025-05-07,5500,2025-04-16,3393.5,63,0.1,339.35,5029.59,4690.24
000063.SZ,,2025-04-09,2025-05-07,5600,2025-04-16,3455.2,27,0.2,691.04,5029.59,3999.2
600519.SH,,2025-06-16,2025-07-09,100,2025-06-26,2767.3,22,0.2,553.46,1553981.29,1553427.83
002475.SZ,,2026-01-09,2026-04-08,3600,2026-02-12,575.69,88,0.1,57.57,5117.05,5059.48
002475.SZ,,2026-01-14,2026-04-08,3600,2026-02-12,575.69,83,0.1,57.57,5117.05,5001.91
002475.SZ,,2026-01-30,2026-04-08,3800,2026-02-12,607.68,67,0.1,60.77,5117.05,4941.14
