,2020,2021,2022,2023,2024,平均(2020-24)
基线,33.38223061779437,29.188873626217205,3.2988635613165895,-14.254915224948927,15.457749283555899,13.414560372787028
0.5%,39.898178559743116,23.500890540725837,-3.676493095968736,20.50836307718744,16.108902191804187,19.267968254698367
0.75%,28.805402972260573,24.3983003808516,5.354386200817096,18.495689301843775,9.21826579016276,17.25440892918716
1.0%,27.590019105230603,32.98164189969055,3.7659415984155897,15.096862771114793,8.800964562187508,17.64708598732781
1.5%,31.716041387435602,31.961670055432755,12.212610648838918,21.506163719896886,17.768354601354996,23.032968082591832
