版本,改变笔数,A救单锁利,A金额,B早卖小损,B金额,C截断赢家,C金额,单笔净效果,新增交易,新增ΣPnL
0.5%,22,9,588570.39,11,-107592.92,2,-15342.39,465635.08,18,215215.3
0.75%,30,8,622605.33,16,-138137.73,6,-75942.97,408524.63,26,369851.75
1.0%,37,8,615556.51,21,-186999.56,8,-139859.88,288697.07,31,541997.17
1.5%,47,11,680576.0,22,-201547.23,14,-313615.36,165413.4,47,813736.27
