null,p_value,med_pnl_wan,p5_pnl_wan,p95_pnl_wan,note
随机选股(保持时间),0.084,-8.3,-111.3,147.6,边缘显著
随机择时(保持股票),0.13,27.6,-88.4,169.6,边缘显著
