ts_code,entry,exit,cls,comp_i,exit_i
300750.SZ,2020-03-02,2020-04-15,SAME_DAY,67,67
601318.SH,2020-03-02,2020-04-17,SAME_DAY,69,69
000725.SZ,2020-03-17,2020-05-11,SAME_DAY,82,82
000063.SZ,2020-05-26,2020-06-18,SAME_DAY,110,110
002415.SZ,2020-05-26,2020-06-18,SAME_DAY,110,110
002714.SZ,2020-05-12,2020-07-06,COMP_EARLIER,98,120
600030.SH,2020-09-08,2020-10-12,SAME_DAY,184,184
002456.SZ,2020-09-02,2020-10-28,SAME_DAY,196,196
300136.SZ,2020-10-13,2020-11-09,SAME_DAY,204,204
600745.SH,2020-09-09,2020-12-07,SAME_DAY,224,224
601012.SH,2020-11-16,2020-12-09,SAME_DAY,226,226
300122.SZ,2020-11-12,2020-12-21,COMP_EARLIER,224,234
002475.SZ,2020-12-15,2020-12-23,COMP_EARLIER,235,236
000651.SZ,2020-12-10,2021-01-05,SAME_DAY,244,244
601318.SH,2021-01-29,2021-02-25,SAME_DAY,276,276
300059.SZ,2021-02-26,2021-04-02,SAME_DAY,302,302
300750.SZ,2021-02-01,2021-04-14,COMP_EARLIER,271,309
002475.SZ,2021-01-29,2021-04-19,SAME_DAY,312,312
601166.SH,2021-04-16,2021-05-12,SAME_DAY,326,326
002352.SZ,2021-04-13,2021-05-18,SAME_DAY,330,330
600031.SH,2021-05-14,2021-06-01,SAME_DAY,340,340
002594.SZ,2021-05-06,2021-06-08,COMP_EARLIER,336,345
002340.SZ,2021-06-08,2021-07-06,SAME_DAY,364,364
000661.SZ,2021-05-25,2021-07-19,SAME_DAY,373,373
600031.SH,2021-06-15,2021-08-03,SAME_DAY,384,384
002241.SZ,2021-07-23,2021-08-05,SAME_DAY,386,386
002460.SZ,2021-08-17,2021-08-30,COMP_EARLIER,402,403
300750.SZ,2021-08-17,2021-09-14,SAME_DAY,414,414
000858.SZ,2021-07-09,2021-09-27,SAME_DAY,421,421
600111.SH,2021-09-30,2021-10-25,SAME_DAY,436,436
002466.SZ,2021-09-23,2021-11-09,SAME_DAY,447,447
601919.SH,2021-09-29,2021-11-30,SAME_DAY,462,462
600030.SH,2021-11-17,2021-12-06,SAME_DAY,466,466
000651.SZ,2021-10-28,2021-12-09,SAME_DAY,469,469
601012.SH,2021-12-02,2022-03-01,SAME_DAY,521,521
002594.SZ,2021-12-17,2022-05-05,COMP_EARLIER,521,563
000858.SZ,2022-03-04,2022-05-30,COMP_EARLIER,551,580
300750.SZ,2021-12-21,2022-06-02,COMP_EARLIER,505,583
002415.SZ,2022-05-09,2022-06-08,COMP_EARLIER,584,586
002241.SZ,2022-06-24,2022-08-05,COMP_EARLIER,624,628
600036.SH,2022-07-14,2022-08-31,SAME_DAY,646,646
601888.SH,2022-08-09,2022-09-26,SAME_DAY,663,663
300274.SZ,2022-09-01,2022-10-12,SAME_DAY,670,670
601899.SH,2022-09-27,2022-10-27,SAME_DAY,681,681
002594.SZ,2022-07-13,2022-11-04,SAME_DAY,687,687
000858.SZ,2022-10-28,2022-11-30,SAME_DAY,705,705
600519.SH,2022-10-13,2022-12-01,SAME_DAY,706,706
300274.SZ,2022-12-07,2023-01-03,SAME_DAY,728,728
002241.SZ,2022-11-14,2023-01-05,SAME_DAY,730,730
601012.SH,2022-12-23,2023-01-18,SAME_DAY,739,739
300014.SZ,2023-01-12,2023-02-01,SAME_DAY,744,744
300750.SZ,2023-02-20,2023-03-31,SAME_DAY,786,786
300059.SZ,2023-03-08,2023-04-03,SAME_DAY,787,787
000858.SZ,2023-04-11,2023-05-22,SAME_DAY,818,818
600519.SH,2023-04-13,2023-06-16,SAME_DAY,837,837
600809.SH,2023-05-23,2023-07-25,SAME_DAY,862,862
