scenario,delta_combo,delta_stock_only,delta_etf_amplification,delta_stock_realized_gross,delta_stock_cost,delta_etf_realized_gross,delta_etf_cost
S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S11.0,-85661.48602463002,-15909.804504230618,-69751.6815203994,-15964.08299998939,54.2784957699987,-70029.81010000035,278.1285796000011
S1-1.0,22603.383823820855,2563.9950058162212,20039.388818004634,2717.4930000007153,-153.49799418000475,20163.11140000075,-123.72258200000033
S21.0,47901.36391564552,22967.243433617055,24934.120482028462,23186.940999999642,-219.697566380004,25377.734400000423,-443.61391797500073
S2-1.0,-271113.7137364899,-21030.013997137547,-250083.69973935233,-21305.223000012338,275.2090028599996,-250219.86339999735,136.16366064999966
S31.0,-236862.49139109952,5861.282628044486,-242723.774019144,6067.11400000006,-205.83137195000018,-243222.7984999977,499.02448084999924
S3-1.0,79403.55933964485,20155.045108914375,59248.51423073048,20353.799000002444,-198.75389108000672,59215.47160000354,33.04263072499816
