target,feature,importance,is_noise
Y_RETURN,bb_z,9.2534841277685e-05,False
Y_RETURN,distance_to_lower_band,0.00014808699043509222,False
Y_RETURN,distance_ma5,0.0011980746758268306,False
Y_RETURN,distance_ma10,0.0021769976617466336,False
Y_RETURN,distance_ma20,0.005693049199413515,False
Y_RETURN,distance_ma60,0.0040696448942437475,False
Y_RETURN,ret_1d,0.0005829771136266551,False
Y_RETURN,ret_3d,0.0009102912258817841,False
Y_RETURN,ret_5d,0.011225499853653622,False
Y_RETURN,ret_10d,0.00496933512834589,False
Y_RETURN,ret_20d,0.001539311260600183,False
Y_RETURN,ret_60d,0.0015672694836235286,False
Y_RETURN,drawdown_20,0.002660356431813126,False
Y_RETURN,drawdown_60,0.003367239710873993,False
Y_RETURN,distance_52w_high,0.0006073525563224554,False
Y_RETURN,atr14_pct,0.0009144519294394359,False
Y_RETURN,realized_vol_10,0.0014348128782678195,False
Y_RETURN,realized_vol_20,0.0002235070600487708,False
Y_RETURN,bb_width,6.366294348835198e-05,False
Y_RETURN,daily_range_pct,0.0006159978136559466,False
Y_RETURN,gap_pct,0.00034677788826005133,False
Y_RETURN,log_amount,0.00013470335618457675,False
Y_RETURN,amount_percentile,0.16937221809231648,False
Y_RETURN,volume_ratio_5_20,0.00014618299777871557,False
Y_RETURN,amount_ratio_5_20,0.0001855558731215867,False
Y_RETURN,turnover_rank,7.238830306416244e-05,False
Y_RETURN,signal_role,6.320831030449316e-05,False
Y_RETURN,level_no,8.50993452719979e-05,False
Y_RETURN,days_since_first_signal,0.0008561214851745606,False
Y_RETURN,signal_count_last_20d,5.2366862036203636e-05,False
Y_RETURN,daily_bb_signal_count,0.022210401731837654,False
Y_RETURN,daily_bb_up_ratio,0.21583633510845252,False
Y_RETURN,daily_bb_down_ratio,0.034339434254110304,False
Y_RETURN,market_up_ratio,0.0219746707602382,False
Y_RETURN,market_down_ratio,0.028854124544756252,False
Y_RETURN,csi300_ret_1,0.004563058850696607,False
Y_RETURN,csi300_ret_5,0.036996890732843284,False
Y_RETURN,csi300_ret_20,0.034772987464670536,False
Y_RETURN,csi500_ret_1,0.009517217860030146,False
Y_RETURN,csi500_ret_5,0.027985512273416377,False
Y_RETURN,csi500_ret_20,0.12103769795796442,False
Y_RETURN,csi1000_ret_1,0.005432297120175222,False
Y_RETURN,csi1000_ret_5,0.06773093574075263,False
Y_RETURN,csi1000_ret_20,0.1529862212099122,False
Y_RETURN,noise_0,0.00012249825989347192,True
Y_RETURN,noise_1,6.066082719026959e-05,True
Y_RETURN,noise_2,4.2561754748243085e-05,True
Y_RETURN,noise_3,5.044392339160038e-05,True
Y_RETURN,noise_4,0.00011097345882223289,True
