request_index,generator,formula,canonical_expression,expression_hash,family,expected_direction,lookback,status,eval_status,coverage,disc_ic,disc_days,q5q1_disc,ic_2020,ic_2021,ic_2022,n_same_sign,disc_pval,pass_discovery,fdr_pass,val_ic,val_q5q1,test_ic,test_q5q1
30,HUMAN,"diff(ret_1d, ret_5d)","diff(ret_1d,ret_5d)",44cecbf2898e7fb9,INTERACTION,负向（超跌越深/广度越大，D20 越高）,NA,PROPOSED,OK,1.0,-0.02131333448752303,608,-0.0015065225158856818,-0.04565767025717817,-0.027611043258443373,0.0037562396333115215,2,0.03196311023839593,True,True,-0.03721073219922116,-0.004048637117630711,-0.026003616796115295,-0.001992835340868157
36,TEMPLATE,"ratio(bb_z,ret_5d)","ratio(bb_z,ret_5d)",71e700ef12c0028b,BB_CONDITIONAL,NA,NA,PROPOSED,OK,0.9999611230261837,0.04148764755329649,608,0.006883052259521852,0.05778553109380823,0.05362574699840265,0.016453724701782968,3,2.124850059015415e-05,True,True,0.05464294748798184,0.008058561806368788,0.04020596170347505,-0.0024626715469451455
37,TEMPLATE,"diff(bb_z,ret_5d)","diff(bb_z,ret_5d)",4abf792fc2c89b6c,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.03981770620416565,608,-0.005284946387962229,-0.0564673345790521,-0.05609602504719382,-0.01020439403651298,3,5.67521133101323e-05,True,True,-0.05110006575266097,-0.006112488248115306,-0.04485260909571441,-0.0018372910719348828
38,TEMPLATE,"interaction(bb_z,ret_5d)","interaction(bb_z,ret_5d)",5ab64b856e63c733,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.037519301624348925,608,-0.0055812218257556175,-0.054020375863583346,-0.05297505078998967,-0.008875630836752229,3,0.00016728994802139852,True,True,-0.0388255768068496,-0.0044122258390536725,-0.0493447408508113,-0.007500673434245331
39,TEMPLATE,"min(bb_z,ret_5d)","min(bb_z,ret_5d)",1beeee70a44f02f6,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.03822070079033315,608,0.006516233927852388,0.05357913005621381,0.052798059319961795,0.011360683018137826,3,0.00011391767677948472,True,True,0.04360360606062824,0.006536751821751765,0.048402995256515216,0.0033863644493557633
46,TEMPLATE,"ratio(bb_z,atr14_pct)","ratio(bb_z,atr14_pct)",0ca98ffebec894a8,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.042623852529860014,608,-0.003157047465774337,-0.02704325097664699,-0.08029637015091863,-0.015235881441937887,3,4.120123207607129e-05,True,True,-0.046288291550662955,-0.009616249927776953,-0.06072194524349553,-0.006794808357384859
47,TEMPLATE,"diff(bb_z,atr14_pct)","diff(bb_z,atr14_pct)",b590911b886ee9b0,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.04388870047027166,608,0.00611730674742107,0.02998433974042433,0.08322209371527313,0.013496408521213915,3,3.096864552909473e-05,True,True,0.030833722502908615,0.007265203337160804,0.06692666338426513,0.008691430759501495
48,TEMPLATE,"interaction(bb_z,atr14_pct)","interaction(atr14_pct,bb_z)",6e9024020df09b51,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.04129345588779829,608,0.0061935220448846385,0.02807174831267888,0.07740687281761696,0.013735619591741532,3,8.489957241919477e-05,True,True,0.029958319508441494,0.007196343311635024,0.06540047484830515,0.010934875896244384
50,TEMPLATE,"max(bb_z,atr14_pct)","max(atr14_pct,bb_z)",1e5d8fd920d14130,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,-0.04479156667277601,608,-0.005461569710345564,-0.03401395000794111,-0.0797381591630437,-0.01659053831746387,3,1.733100844214519e-05,True,True,-0.03857458128270553,-0.008502226316848072,-0.06369659422202115,-0.008054947383707916
56,TEMPLATE,"ratio(bb_z,drawdown_20)","ratio(bb_z,drawdown_20)",67fe959681ac6d98,BB_CONDITIONAL,NA,NA,PROPOSED,OK,1.0,0.03491631899587621,608,0.0052990039546694494,0.04592729368059562,0.06442627846187221,-0.004189955945569851,2,0.00047690416072487807,True,True,0.051180444098609036,0.008121020285897508,0.045132698844658786,0.0027267241058389425
