target,model,val_ic,test_ic
Y_RETURN,baseline_linear,0.05378847271919621,-0.01726161874233997
Y_RETURN,full_ml,0.003959264094475419,-0.025909822428848636
Y_RISK,baseline_linear,0.23277558425914838,0.26250605813072214
Y_RISK,full_ml,0.21979581505932896,0.2327066161748077
