perm,val_ic
0,-0.037566679764553065
1,-0.0034134503166776456
2,-0.0019165498591055018
3,-0.019060671428344254
4,0.05964693606176861
5,0.02737837369629035
6,0.011891060345648723
7,0.0021464671288012743
8,-0.026006806995814508
9,-0.030283414117571884
10,0.050355728709082316
11,-0.00736329690620251
12,-0.017793533748722633
13,0.03521519962432233
14,-0.03641431147685881
15,-0.03894440270149911
16,0.017849849147316244
17,-0.015429029364405293
18,0.041573249896781135
19,-0.019940556206639124
20,-0.0039019611674612348
21,-0.004673861617396363
22,0.033268884437258096
23,0.04197429340484827
24,0.007322744460980992
25,-0.02536943150979158
26,-0.07301938011956836
27,0.02892446350022474
28,-0.027776580275943992
29,-0.00036527800323024856
30,0.021728960606877405
31,0.027413666135571245
32,-0.04210542548769327
33,0.02276895148528621
34,-0.04758572978057947
35,0.02094409272271823
36,-0.044768982044207546
37,0.021178700094980858
38,-0.018623126918125538
39,-0.038563113994137525
40,0.03934597598279461
41,-0.023103937147614675
42,0.012242563831223156
43,0.02851445400463829
44,-0.02391738918968897
45,-0.0036270503322314543
46,0.030611663885423683
47,-0.03249164203258064
48,-0.028295228187466378
49,0.059314561950019926
50,0.028173839573751292
51,0.01073164930597326
52,0.0631117033996286
53,0.030581576503732368
54,0.04875999118591562
55,0.03664520233667527
56,-0.0027640676729873514
57,0.02324606104003419
58,0.02808252791017297
59,0.026641426857901447
60,0.04293447748681871
61,-0.010843913353484209
62,-0.004655705329745593
63,0.09176960873163725
64,-0.009166720803938991
65,0.07020960894710933
66,-0.027467366485479375
67,-0.010436608906019348
68,0.026506396188120084
69,-0.005150024221350267
70,0.03559827846767354
71,0.047811444229897165
72,0.025372868826371447
73,0.009672058934874397
74,0.05057523645332081
75,-0.020793399974787602
76,0.005272686672882225
77,0.05495864199169892
78,0.04391280418808778
79,-0.00240958779638578
80,0.013413279307362951
81,-0.05045658252138302
82,0.010806520713704266
83,0.023568151598863437
84,0.0024848088705008275
85,0.0008813157196356084
86,0.03913016123674823
87,0.007971449093831389
88,0.03578806903431623
89,0.0038973188989799156
90,0.00023688389072131318
91,-0.04376991700112395
92,-0.0038593784752659305
93,0.026076463371165776
94,-0.031106045466251776
95,0.0355064995633521
96,-0.004229337299076872
97,0.021857512597409656
98,0.02039983677000282
99,0.0127314898681785
100,-0.026761547822398115
101,0.01766665342068533
102,0.017156118630272634
103,0.04743686014121298
104,0.026624377357218086
105,-0.05209911710188088
106,-0.0009989560174209135
107,-0.009967735237662211
108,0.012751075668093493
109,0.00867401752221981
110,0.08958295696773229
111,-0.061227389066589546
112,-0.00037177465917523226
113,0.016181058432469704
114,0.02175967928226928
115,-0.02076755922575167
116,0.02645171222922959
117,0.017487221560880978
118,0.06824127626072363
119,-0.033902358951969074
120,0.018729154466643794
121,0.04431188384638749
122,-0.01466625033865082
123,0.018384064671881754
124,0.002686038049405663
125,0.038304494993661065
126,0.04398721737898767
127,0.017406842175659153
128,0.0019415308308394041
129,0.04412644686585662
130,0.02020509619593149
131,0.019814877458036284
132,-0.01755838411484525
133,-0.031380312182912394
134,-0.017961314030869396
135,-0.011866536650179045
136,0.04335495258072959
137,0.017720197216969078
138,0.05639406462379497
139,-0.04127750125309144
140,-0.0538024105920013
141,-0.06773017958764455
142,0.04424668863800496
143,0.02623589788922787
144,-0.0386404204720926
145,0.016472907038535402
146,-0.0037184893713349213
147,-0.01395045277347771
148,0.015636674867383297
149,0.007504590420935445
150,0.04661649615367221
151,0.03544149110877131
152,0.0343034163346808
153,0.0019217806439018163
154,0.0015562677784439255
155,-0.027179110393027152
156,-0.011658880187138534
157,0.036301324530599616
158,0.026252807373844087
159,-0.008060931095683678
160,-0.034772086231516106
161,-0.03325672264888902
162,0.043094709457291415
163,-0.028897421230095914
164,-0.06622847920395163
165,0.043445174622641566
166,0.01045342687257212
167,0.04257866522159283
168,0.02067458561087751
169,-0.02812164097023364
170,-0.005900050482327604
171,-0.020685072490043303
172,0.003848393250331161
173,-0.031445549587276876
174,-0.004367575267924252
175,-0.003630364470762877
176,0.017856731824186945
177,-0.00016518064338041653
178,-0.0033212259428858693
179,0.029553826315659937
180,-0.01038470376955611
181,0.055978205507547944
182,0.01825416083353022
183,0.007990138058157807
184,0.0030723197044119927
185,-0.05160103039388005
186,0.020185407133452633
187,-0.07519476296157518
188,0.004333290647211899
189,-0.005067900541078565
190,0.020430092420151598
191,-0.016778923466192384
192,0.0028819975624102237
193,-0.05720414922407072
194,0.03977253703606161
195,0.005425178297661604
196,-0.04991246402606447
197,0.047647613363603875
198,-0.02773268086758153
199,0.0012687733769070953
