factor_id,factor_name,formula,failure_stage,failure_reason,discovery_metric,validation_metric,test_metric,date_killed
AFS_000071,SYMBOLIC_TEMPLATE_71,"ratio(bb_z,amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0157,nan,nan,2026-09-11
AFS_000072,SYMBOLIC_TEMPLATE_72,"diff(bb_z,amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,-0.0056,nan,nan,2026-09-11
AFS_000073,SYMBOLIC_TEMPLATE_73,"interaction(bb_z,amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,-0.0092,nan,nan,2026-09-11
AFS_000074,SYMBOLIC_TEMPLATE_74,"min(bb_z,amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,2026-09-11
AFS_000075,SYMBOLIC_TEMPLATE_75,"max(bb_z,amount_ratio_5_20)",DISCOVERY_FAIL,NO_SIGNAL,0.0106,nan,nan,2026-09-11
AFS_000076,SYMBOLIC_TEMPLATE_76,"ratio(bb_z,turnover_rank)",VALIDATION_FAIL,OOS_FAIL,-0.0444,-0.1125,0.0375,2026-09-11
AFS_000077,SYMBOLIC_TEMPLATE_77,"diff(bb_z,turnover_rank)",TEST_FAIL,OOS_FAIL,0.0418,0.0694,-0.0153,2026-09-11
AFS_000078,SYMBOLIC_TEMPLATE_78,"min(bb_z,turnover_rank)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,2026-09-11
AFS_000079,SYMBOLIC_TEMPLATE_79,"max(bb_z,turnover_rank)",VALIDATION_FAIL,OOS_FAIL,-0.0479,-0.1048,0.0379,2026-09-11
AFS_000080,SYMBOLIC_TEMPLATE_80,"ratio(bb_z,daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,2026-09-11
AFS_000081,SYMBOLIC_TEMPLATE_81,"diff(bb_z,daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,2026-09-11
AFS_000082,SYMBOLIC_TEMPLATE_82,"min(bb_z,daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,0.0093,nan,nan,2026-09-11
AFS_000083,SYMBOLIC_TEMPLATE_83,"max(bb_z,daily_bb_signal_count)",DISCOVERY_FAIL,NO_SIGNAL,nan,nan,nan,2026-09-11
