year,n,mean_return,win_rate,sum_norm_pnl,family
2020,8963,4.3948262721549,76.07943768827403,393.90827877324375,B20
2021,10532,5.81185021383857,81.65590581086214,612.1040645214782,B20
2022,15514,5.8302520727112235,80.61106097718191,904.5053065604193,B20
2023,15487,3.1786299289850137,74.72073351843481,492.27441710190897,B20
2024,13289,5.193608481513235,67.46181051997893,690.1786311082938,B20
2020,3677,2.9655161265067695,68.91487625781888,109.04202797165391,B25
2021,4832,5.379337559172358,78.00082781456953,259.92959085920836,B25
2022,8379,5.463522224999733,75.06862394080439,457.78852723272763,B25
2023,7492,3.1415279797244566,72.47730912973839,235.36327624095628,B25
2024,7453,6.134916809882909,65.7319200322018,457.2353498405732,B25
2020,720,1.4520240981821657,61.52777777777778,10.45457350691159,B30
2021,1108,4.921026718320452,75.63176895306859,54.52497603899061,B30
2022,2212,4.346325319147343,70.61482820976492,96.14071605953923,B30
2023,1697,1.2004611363456619,64.99705362404242,20.371825483785884,B30
2024,2036,4.5218591055321,61.8860510805501,92.06505138863356,B30
2020,7258,4.406140869317219,76.32956737393222,319.79770429504373,B20_ONLY
2021,8113,5.748237231155104,81.69604338715641,466.35448656361365,B20_ONLY
2022,11530,5.745312500918814,80.65915004336513,662.4345313559393,B20_ONLY
2023,12041,3.180553699367803,74.71970766547629,382.970470940877,B20_ONLY
2024,10267,4.911413259628165,67.0302912243109,504.2547993660237,B20_ONLY
2020,3173,2.98381408281161,69.2089505200126,94.6764208476124,B25_ONLY
2021,4055,5.334312903776671,77.731196054254,216.306388248144,B25_ONLY
2022,6969,5.285761393684156,74.53006170182236,368.36471152584886,B25_ONLY
2023,6307,3.1916884736977,72.76042492468684,201.29979203611398,B25_ONLY
2024,6272,6.22058638350557,65.84821428571429,390.15517797346945,B25_ONLY
2020,547,4.395243480438955,76.59963436928702,24.041981838001078,R30
2021,719,7.815812308335145,86.92628650904032,56.19569049692969,R30
2022,1038,9.183214555705147,83.8150289017341,95.32176708821942,R30
2023,807,2.683836346212916,70.38413878562577,21.65855931393823,R30
2024,1160,11.352698776104466,84.13793103448276,131.6913058028118,R30
2020,97,5.729262773052493,79.38144329896907,5.557384889860918,R25
2021,122,8.407318577862616,83.60655737704919,10.256928664992394,R25
2022,156,13.42697437624724,84.61538461538461,20.946080026945694,R25
2023,130,2.2184819499962174,66.92307692307692,2.8840265349950833,R25
2024,230,13.704316404808102,83.04347826086956,31.51992773105863,R25
