episode_id,ts_code,pnl,signal_date,entry_date,exit_date,exit_type,levels_used,total_cost,simple_return_pct,hold_days,MAE_close_pct,MAE_intraday_pct,MFE_close_pct,MFE_intraday_pct,final_price_path_return_pct,time_to_MAE_days,time_to_break_even_days,max_underwater_duration_days,n_path_days,turnover_rank,entry_k,bb_z_signal,rsi14_signal,macd_dif_signal,macd_dea_signal,macd_hist_signal
1,600015.SH,6692.225151599996,2020-02-28,2020-03-02,2020-03-05,TAKE_PROFIT_DYN,1,199466.0626959,3.3550695597790803,3,1.1863672807878922,-0.09990009990008542,3.615983444309623,4.1876578357265215,3.5123674608653177,0,0.0,0,4,1142,2.5,-2.702517344995984,29.348724365234375,-0.4422309100627899,-0.4725602865219116,0.030329382047057152
2,000710.SZ,27228.850449840043,2020-02-28,2020-03-02,2020-03-06,TAKE_PROFIT_DYN,1,196877.80492379997,13.83033016869462,4,1.2733896830931846,-0.09990009990008542,14.27925174555902,15.706396029846182,14.003570553435797,0,0.0,0,5,1494,2.5,-2.602396339300396,39.45845031738281,-1.0357658863067627,0.23001709580421448,-1.2657829523086548
3,000835.SZ,30908.466824580042,2020-02-28,2020-03-02,2020-03-06,TAKE_PROFIT_DYN,1,200015.75457864,15.453016133500519,4,2.0484891452633436,-0.36844875554552514,15.207373271889413,21.92108966302515,15.628726112597091,0,0.0,0,5,2866,2.5,-2.593658177654373,33.35240173339844,-1.2751697301864624,-1.3078497648239136,0.03267993777990341
4,002678.SZ,27067.55875632004,2020-02-28,2020-03-02,2020-03-06,TAKE_PROFIT_DYN,1,199619.25551567995,13.559593079533302,4,3.457795765488081,-0.09990009990008542,8.7231856462626,14.557806865499213,13.732421424729147,0,0.0,0,5,3543,2.5,-2.592153931954289,31.241960525512695,-0.49255189299583435,-0.5099789500236511,0.017427079379558563
5,600738.SH,22894.16728500006,2020-02-28,2020-03-02,2020-03-06,TAKE_PROFIT_DYN,1,199857.55545755994,11.455242326258551,4,2.9775911292499124,-0.3366301944500716,20.022157936849915,20.022157936849915,11.624868022972311,1,0.0,0,5,3048,2.5,-2.6322151123931867,34.41218566894531,-1.2238705158233643,-1.2594950199127197,0.035624511539936066
6,002871.SZ,27322.490958840004,2020-02-28,2020-03-02,2020-03-17,TAKE_PROFIT_DYN,1,198623.00155698,13.755955123355571,11,3.7354966569123738,-0.09990009990008542,15.06190270437422,16.500176488178898,13.929082315405061,9,0.0,0,12,3289,2.5,-2.6642815602526353,30.52674102783203,-0.6086832880973816,-0.5636879801750183,-0.04499528929591179
7,603600.SH,41323.03251120003,2020-03-13,2020-03-16,2020-03-20,TAKE_PROFIT_DYN,1,199691.34625439998,20.693451812656864,4,2.8754638862942272,-1.7228259105515176,23.342361609509645,23.342361609509645,20.877137303130098,0,0.0,0,5,2035,2.5,-2.774568400413137,35.61043930053711,-0.5537090301513672,-0.27244317531585693,-0.28126585483551025
8,600800.SH,7113.073244580068,2020-03-16,2020-03-18,2020-03-20,TAKE_PROFIT_DYN,1,199806.49118429996,3.559981060885066,2,-4.954858225886238,-6.261962336728677,4.568328867394311,4.568328867394311,3.7175908203946006,1,0.0,1,3,2583,2.5,-2.932978065157854,32.61893844604492,-0.7975372672080994,-0.4502916634082794,-0.34724560379981995
9,002059.SZ,29064.989357100014,2020-03-17,2020-03-18,2020-03-23,TAKE_PROFIT_DYN,1,199916.62981289998,14.538555088839612,3,-1.2481771102460626,-1.7074879143844424,13.909079426320826,19.420809075981516,14.712873333563014,0,2.0,2,4,3256,2.5,-2.5207694432131302,36.19701385498047,-0.1498080939054489,-0.0877334475517273,-0.06207464635372162
10,300167.SZ,47572.03920384002,2020-03-18,2020-03-19,2020-03-24,TAKE_PROFIT_DYN,1,199931.6487168,23.794151405826224,3,2.9739491277952945,-1.0604779835548972,16.037808345500657,27.564742949358333,23.98255590563285,0,0.0,0,4,1909,2.5,-2.6300367094366086,38.09407424926758,-0.04969233646988869,0.5324135422706604,-0.5821058750152588
