pair,point,hac_ci_lo,hac_ci_hi,hac_n,boot_ci_lo,boot_ci_hi,boot_p_nonpos
B25-B20,-1.956965711248839,-2.3787724333185,-1.5351589891791781,981,-2.413004502181833,-1.5633845391492693,1.0
B30-B20,-3.421621934830841,-4.200638433080497,-2.642605436581185,678,-4.2677538221411595,-2.648106185908277,1.0
B25-B20_ONLY,-2.119676807461433,-2.6023818163416994,-1.6369717985811665,965,-2.6377359355028376,-1.6740688848295668,1.0
B30-B25_ONLY,-1.9067938386262107,-2.594549359995926,-1.2190383172564954,655,-2.5587747279650186,-1.217305415271334,1.0
R30-B20,-0.01994525942711578,-0.7783100933303697,0.7384195744761382,606,-0.838244551035709,0.758336157777666,0.5345
R25-B20,-0.4550581687317904,-1.9282720051608917,1.0181556676973107,270,-2.0723339866507673,1.0111760840047168,0.728
