horizon,horizon_day,N,missing_N,mean,P5,P10,P25,P50,P75,P90,P95
D1,1,157469,0,-0.02218857095507655,-0.06790900972644605,-0.05018964347295505,-0.02978293440290447,-0.015341711970925376,-0.006993006993006867,-0.002461581539968844,-0.0009990009990009652
D2,2,157469,0,-0.03143637759010476,-0.09318578581528478,-0.07022847164652457,-0.041805395814472956,-0.022175980701326314,-0.010112506221977569,-0.003882120765237618,-0.0009990009990009652
D3,3,157469,0,-0.0377844623464511,-0.10966756285427172,-0.08250460883599424,-0.049668280437511036,-0.026923030630166545,-0.012301884364547488,-0.004726616666915184,-0.0016641148465381672
D4,4,157469,0,-0.04262114251946674,-0.12094294644912708,-0.09069328339428724,-0.05560911391815182,-0.030782881714558785,-0.014192358090931667,-0.0054616017871990065,-0.0022778860064390093
D5,5,157469,0,-0.04638176452688006,-0.12975912975912962,-0.09865999960934169,-0.06111942220267186,-0.03375313211378783,-0.015516726688388882,-0.005969155222886435,-0.0025623828440729524
D6,6,157469,0,-0.04994850381155315,-0.13959648914321468,-0.10622628730358312,-0.06648442213295758,-0.036639611719484044,-0.016743220410442627,-0.006399006399006368,-0.002805512751263173
D7,7,157469,0,-0.05329777967826312,-0.1490788742575583,-0.11378943637008154,-0.0715137663140678,-0.0394221163451931,-0.018075941152863928,-0.006824079710377129,-0.0030436223738043535
D8,8,157469,0,-0.05690601334834991,-0.16242697699651332,-0.12243819307931099,-0.07611185806674525,-0.04205383657438433,-0.019353350062011443,-0.007255792224477031,-0.0032749754071992937
D9,9,157469,0,-0.06075933761815586,-0.17880804714158285,-0.13149976530258217,-0.08018810457834824,-0.04457958149233299,-0.020587255881373556,-0.0077080583359983605,-0.0034965034965034336
D10,10,157469,0,-0.06530889698041062,-0.19792107382364435,-0.1425423548917777,-0.08487417019840215,-0.047249047249047216,-0.021957063915105768,-0.008162975965236243,-0.0037435092380145195
D11,11,157469,0,-0.06930327168645448,-0.21276377774564212,-0.15036039536325074,-0.08896135311229647,-0.04971127992710711,-0.023323045669414233,-0.008666211519892853,-0.003999003999003992
D12,12,157469,0,-0.07271718580412195,-0.22692375852704444,-0.1574193304772362,-0.09262711810482505,-0.05204284766328571,-0.024585467845178344,-0.00915368995989647,-0.0042878931767821316
D13,13,157469,0,-0.07517714851935609,-0.23485026843451842,-0.1622874191411569,-0.09538314446289897,-0.05371010898649076,-0.025439392411869433,-0.009454368677423703,-0.00443908708371521
D14,14,157469,0,-0.07719034721293963,-0.23892456302511636,-0.16595032874102633,-0.0981012397816351,-0.05534734474723235,-0.026319302816998347,-0.009800771915309259,-0.00460550280044858
D15,15,157469,0,-0.07907031914595218,-0.24258549174675315,-0.16965300197853156,-0.10067954023997971,-0.057083267609583266,-0.027315483011685515,-0.010227647641042625,-0.004807136954531943
D16,16,157469,0,-0.08112606068845625,-0.24603613473657981,-0.17373812546723205,-0.10370003827947738,-0.059193233950515345,-0.028510216117789033,-0.010665426314965868,-0.00501686222904653
D17,17,157469,0,-0.08316243285479132,-0.251766051944067,-0.17822723454723358,-0.10668676411749467,-0.06103141850445393,-0.02954188668474378,-0.01098339236659242,-0.0051615051615049755
D18,18,157469,0,-0.08547537401377762,-0.25736644387504287,-0.18271751729793806,-0.11057863525870804,-0.06302306964558613,-0.030381383322559574,-0.011297980370145178,-0.005268236037466623
D19,19,157469,0,-0.0875288925413315,-0.2627474475627622,-0.18747267022367656,-0.11369476586867888,-0.06476502221183067,-0.031240428394374242,-0.011597678103585715,-0.005429160639803476
D20,20,157469,0,-0.08962560806295214,-0.2677502233721568,-0.19231152915748428,-0.11736143620201578,-0.06629955410443222,-0.03186700939509923,-0.011799011799011772,-0.005519367510317674
