anchor,MFE_bucket,N,D20_mean,D20_median,D20_P10,D20_P90,D20_positive_pct,D20_ge_5pct,D20_le_minus_5pct,D20_le_minus_10pct
MFE_D3,<0,7279,-0.03127829987246002,-0.03450846847073252,-0.16089535466728466,0.09452536858224776,33.89736477115118,17.780859916782248,42.31622746185853,23.19001386962552
MFE_D3,"[0,3)",84250,-0.010387114908243034,-0.014363562858546008,-0.1289132719459871,0.10748071284349234,42.8280551212595,22.52966343065605,32.90186525106352,15.97280296694906
MFE_D3,"[3,5)",29104,0.02155032025701697,0.014070224363037509,-0.10840891825430643,0.1523959911056687,56.01491854614545,35.36469511980578,24.34467471236058,11.537243587488124
MFE_D3,"[5,8)",20868,0.0457222820836895,0.03728750728513508,-0.10020981646369864,0.19255622068733616,63.626598964944826,45.264134361878725,20.632750707938676,10.077140904208573
MFE_D3,"[8,10)",6525,0.07557812905220704,0.0680853216284919,-0.09786467376626712,0.24937029904178454,70.55711173358232,55.74229691876751,17.58481170245876,9.663865546218489
MFE_D3,"[10,15)",6342,0.11641769252398354,0.10241161725770809,-0.06915258590996842,0.30373666737303107,77.43072240909818,64.71247797533238,13.214800576645844,6.807624539484222
MFE_D3,>=15%,3101,0.2018608299915624,0.1768471425575049,-0.028440592639988264,0.4462805817091268,85.86456278763971,76.92307692307693,7.593688362919132,4.142011834319527
MFE_D5,<0,5507,-0.04936023372349886,-0.045891618045002525,-0.17355485994133776,0.06473493866394739,27.5045871559633,12.788990825688074,47.88990825688074,26.605504587155966
MFE_D5,"[0,3)",68823,-0.023153330573782265,-0.023423011921154202,-0.13614237221664272,0.08613261214998612,37.584690360156905,17.7508023297278,36.37228099370022,17.813205753001306
MFE_D5,"[3,5)",29104,0.008500634041894746,0.005866985248428547,-0.11184752783454008,0.1245920911631352,52.6256392170693,30.107564803385646,25.854346676071238,12.22359372244754
MFE_D5,"[5,8)",25592,0.03305666824782853,0.027826997168746592,-0.10304604059817654,0.16385991016359122,61.41851306734556,41.34213771430845,21.73913043478261,10.469787978837662
MFE_D5,"[8,10)",9745,0.05735704990950165,0.05311806286887566,-0.09339125559241701,0.2009389170253519,68.86115444617785,51.11804472178887,17.576703068122725,9.06916276651066
MFE_D5,"[10,15)",11181,0.0946577168849198,0.08899772763802793,-0.06931381968020213,0.25564963919385664,76.58938598080059,62.37094729215722,13.222242347400833,6.439050896576708
MFE_D5,>=15%,7517,0.19541184879333215,0.17067591499409684,-0.021212499165284348,0.4254495492432304,87.21055465805063,77.8002154011847,6.637049003769521,3.3117932148626816
MFE_D10,<0,3612,-0.08449265968664356,-0.07174216742188883,-0.19784939833351667,0.009470439661742103,13.188976377952756,4.21822272215973,62.23284589426322,36.473565804274465
MFE_D10,"[0,3)",50462,-0.047615643564886914,-0.040782226622934514,-0.15199304512281597,0.04396152694725686,26.464889559666332,8.72509228855214,44.681935918092634,22.416430421570027
MFE_D10,"[3,5)",26502,-0.015147335443000795,-0.010638767184472098,-0.1188571647649274,0.07887318867082453,44.02921295936601,18.87576722865356,29.7723564602595,13.841193380467717
MFE_D10,"[5,8)",28093,0.011277156936209178,0.014788782645925425,-0.10515965420518866,0.112331156979482,57.15992613780369,32.731090915673995,23.223143488178426,10.858466997356892
MFE_D10,"[8,10)",12527,0.03541391939837351,0.03969691023262456,-0.08960251602573635,0.14339704980064008,66.4407326716695,45.662874203179214,17.7680948922779,8.545146453643186
MFE_D10,"[10,15)",17561,0.07053562988349452,0.07318746353347394,-0.06382157988619669,0.1894564039128059,76.3539151431528,59.14683224100264,12.331838565022421,5.737610670346097
MFE_D10,>=15%,18712,0.17962768920851083,0.15826202782724552,-0.0038150714683484743,0.3776517058934999,89.4289708570814,80.01397999784923,5.285514571459297,2.46800731261426
