threshold,threshold_label,hit_count,hit_pct,median_hit_day,P25_hit_day,P75_hit_day,D1_hit_pct,D3_cumulative_pct,D5_cumulative_pct,D10_cumulative_pct,D20_cumulative_pct,not_hit_count
0.03,+3%,118315,75.13542348017705,3.0,2.0,6.0,18.347738284995778,41.87490871219097,52.797058468650974,65.6605427099937,75.13542348017705,39154
0.05,+5%,96720,61.42161314290432,5.0,2.0,9.0,6.709892105747799,23.39254075405318,34.31469051051318,48.83056347598575,61.42161314290432,60749
0.08,+8%,70814,44.970121103201265,7.0,4.0,12.0,1.9508601693031642,10.140408588357074,18.06260279801104,30.99022664778464,44.970121103201265,86655
0.1,+10%,57641,36.6046650451835,8.0,5.0,13.0,0.7468136585613677,5.996735865471934,11.874083152874535,23.035010065473205,36.6046650451835,99828
0.15,+15%,35665,22.648902323631955,10.0,6.0,15.0,0.12764417123370314,1.9692764925159874,4.773637985889287,11.882973791666931,22.648902323631955,121804
0.2,+20%,22812,14.486660866583264,11.0,7.0,15.0,0.019051368840851214,0.7671351186582755,2.213134013678883,6.741644387149217,14.486660866583264,134657
