horizon,horizon_day,threshold,count,total_N,pct
D1,1,-0.01,102292,157469,64.96008738227842
D1,1,-0.02,62471,157469,39.67193542856054
D1,1,-0.03,38962,157469,24.7426477592415
D1,1,-0.04,24547,157469,15.588465031212491
D1,1,-0.05,15872,157469,10.07944420806635
D1,1,-0.06,10642,157469,6.758155573477954
D1,1,-0.08,4881,157469,3.099657710406493
D1,1,-0.1,1750,157469,1.1113298490496542
D1,1,-0.12,781,157469,0.49597063549015996
D1,1,-0.15,357,157469,0.22671128920612946
D1,1,-0.2,23,157469,0.014606049444652599
D1,1,-0.25,0,157469,0.0
D1,1,-0.3,0,157469,0.0
D1,1,-0.4,0,157469,0.0
D2,2,-0.01,118499,157469,75.25227187573427
D2,2,-0.02,84900,157469,53.91537381960894
D2,2,-0.03,59930,157469,38.058284487740444
D2,2,-0.04,42050,157469,26.70366865859312
D2,2,-0.05,29696,157469,18.85831496993059
D2,2,-0.06,21387,157469,13.581720846642831
D2,2,-0.08,11785,157469,7.484012726314386
D2,2,-0.1,6286,157469,3.991896817786358
D2,2,-0.12,3405,157469,2.162330363436613
D2,2,-0.15,1734,157469,1.1011691190012003
D2,2,-0.2,427,157469,0.27116448316811564
D2,2,-0.25,165,157469,0.1047825286246817
D2,2,-0.3,44,157469,0.02794200763324845
D2,2,-0.4,2,157469,0.0012700912560567477
D3,3,-0.01,125087,157469,79.4359524731852
D3,3,-0.02,96102,157469,61.02915494478278
D3,3,-0.03,71845,157469,45.624853145698516
D3,3,-0.04,52755,157469,33.50183210663686
D3,3,-0.05,38997,157469,24.764874356222492
D3,3,-0.06,28987,157469,18.40806761965847
D3,3,-0.08,16828,157469,10.686547828461475
D3,3,-0.1,9924,157469,6.302192812553582
D3,3,-0.12,6310,157469,4.007137912859039
D3,3,-0.15,3628,157469,2.3039455384869405
D3,3,-0.2,1399,157469,0.8884288336116951
D3,3,-0.25,507,157469,0.32196813341038555
D3,3,-0.3,119,157469,0.07557042973537648
D3,3,-0.4,7,157469,0.004445319396198617
D4,4,-0.01,129226,157469,82.06440632759464
D4,4,-0.02,103269,157469,65.58052696086214
D4,4,-0.03,80406,157469,51.061478767249426
D4,4,-0.04,60874,157469,38.657767560599225
D4,4,-0.05,46066,157469,29.254011900755067
D4,4,-0.06,34856,157469,22.135150410556996
D4,4,-0.08,20643,157469,13.10924689938972
D4,4,-0.1,12480,157469,7.925369437794105
D4,4,-0.12,8034,157469,5.101956575579955
D4,4,-0.15,4765,157469,3.0259924175552015
D4,4,-0.2,2383,157469,1.513313731591615
D4,4,-0.25,1196,157469,0.7595145711219351
D4,4,-0.3,489,157469,0.31053731210587476
D4,4,-0.4,23,157469,0.014606049444652599
D5,5,-0.01,131510,157469,83.51485054201144
D5,5,-0.02,107752,157469,68.42743651131333
D5,5,-0.03,86347,157469,54.834284843366
D5,5,-0.04,67381,157469,42.79000946217985
D5,5,-0.05,52124,157469,33.10111831535096
