bucket,rank_min,rank_max,N,D10_mean,D10_median,D10_P10,D10_P90,D20_mean,D20_median,D20_P10,D20_P90,MFE_D10_median,MAE_D10_median
1,1,1.0,21,0.010708109392206741,0.018619246065243678,-0.061504219574103236,0.060382403665985684,0.022478132398148717,0.021533269730779292,-0.09710481825866424,0.12977099236641232,0.06011037308747236,-0.04775617009277522
2-3,2,3.0,34,-0.017195068235358497,-0.00690151305439396,-0.12284189281243887,0.0571509052792666,-0.017465123511024194,-0.013979550889661851,-0.13287643991786333,0.10034600953274195,0.0450255505858389,-0.06423789734057461
4-5,4,5.0,37,-0.010118234745442363,-0.03067754526640465,-0.10946810897017786,0.08230247856591953,0.008976300121965083,-0.004178845027651312,-0.15413828659702541,0.14255100795832779,0.04691471597946428,-0.07784523169138557
6-10,6,10.0,85,-0.007104432210218671,-0.005994005994005902,-0.09647282256703897,0.0823441896966178,-0.020452367315889692,-0.022254341403277533,-0.13440361981319715,0.11793663057708016,0.050455860951487796,-0.058699499228133445
11-20,11,20.0,143,0.0017723026905249195,-0.014835579932532705,-0.09725172826302872,0.10967817469100614,0.00022757360541298348,-0.018905622679207368,-0.12861896377811238,0.11666338892151366,0.04545175840898108,-0.049309353260720945
21-50,21,50.0,433,0.005886937836923704,-0.0011581282686730088,-0.10046579148065884,0.11739043862374855,0.004911953745069528,-0.009910797177480668,-0.13578278523385912,0.14797255486514513,0.05023181946258881,-0.05414564623721729
>50,51,,63134,0.005510412213630844,-0.0017471504507436952,-0.0889973325761712,0.10921222045088441,0.0098650653563686,-0.0033775748061461996,-0.12004220449752874,0.15097111727875276,0.04617768431227687,-0.04656975511407263
