horizon,horizon_day,threshold,count,total_N,pct
D10,10,0.03,103395,157469,65.6605427099937
D10,10,0.04,89276,157469,56.6943334878611
D10,10,0.05,76893,157469,48.83056347598575
D10,10,0.06,66200,157469,42.04002057547835
D10,10,0.08,48800,157469,30.99022664778464
D10,10,0.1,36273,157469,23.035010065473205
D10,10,0.12,27525,157469,17.47963091148099
D10,10,0.15,18712,157469,11.882973791666931
D10,10,0.2,10616,157469,6.741644387149217
D10,10,0.25,6631,157469,4.210987559456147
D10,10,0.3,4424,157469,2.809441858397526
D11,11,0.01,138372,157469,87.87253364154215
D11,11,0.02,120933,157469,76.79797293435533
D11,11,0.03,105590,157469,67.054467863516
D11,11,0.04,91832,157469,58.31751011310162
D11,11,0.05,79705,157469,50.61631178200153
D11,11,0.06,69144,157469,43.90959490439388
D11,11,0.08,51815,157469,32.90488921629019
D11,11,0.1,39111,157469,24.837269557817727
D11,11,0.12,30067,157469,19.093916897929116
D11,11,0.15,20787,157469,13.200693469825808
D11,11,0.2,12016,157469,7.63070826638894
D11,11,0.25,7558,157469,4.7996748566384495
D11,11,0.3,5076,157469,3.2234916078720257
D12,12,0.01,139179,157469,88.38501546336104
D12,12,0.02,122427,157469,77.74673110262972
D12,12,0.03,107558,157469,68.30423765947583
D12,12,0.04,94190,157469,59.81494770399253
D12,12,0.05,82312,157469,52.27187573427151
D12,12,0.06,71913,157469,45.66803624840445
D12,12,0.08,54634,157469,34.695082841702174
D12,12,0.1,41754,157469,26.515695152696722
D12,12,0.12,32534,157469,20.660574462275115
D12,12,0.15,22922,157469,14.556515885666386
D12,12,0.2,13408,157469,8.514691780604435
D12,12,0.25,8499,157469,5.397252792613149
D12,12,0.3,5695,157469,3.616584851621589
D13,13,0.01,139867,157469,88.82192685544456
D13,13,0.02,123681,157469,78.5430783201773
D13,13,0.03,109329,157469,69.42890346671409
D13,13,0.04,96305,157469,61.15806920727255
D13,13,0.05,84604,157469,53.727400313712536
D13,13,0.06,74383,157469,47.23659894963453
D13,13,0.08,57141,157469,36.28714223116931
D13,13,0.1,44170,157469,28.04996539001327
D13,13,0.12,34737,157469,22.059579980821624
D13,13,0.15,24702,157469,15.686897103556891
D13,13,0.2,14681,157469,9.323104865084558
D13,13,0.25,9326,157469,5.922435526992614
D13,13,0.3,6276,157469,3.9855463615060738
D14,14,0.01,140544,157469,89.25185274561977
D14,14,0.02,124955,157469,79.35212645028545
D14,14,0.03,111057,157469,70.52626231194712
D14,14,0.04,98321,157469,62.438321193377746
D14,14,0.05,86774,157469,55.10544932653411
D14,14,0.06,76618,157469,48.65592592827795
D14,14,0.08,59510,157469,37.79156532396853
D14,14,0.1,46512,157469,29.537242250855723
D14,14,0.12,36867,157469,23.412227168522058
D14,14,0.15,26507,157469,16.833154462148105
D14,14,0.2,15918,157469,10.108656306955655
D14,14,0.25,10195,157469,6.474290177749271
D14,14,0.3,6908,157469,4.386895198420007
D15,15,0.01,141123,157469,89.6195441642482
D15,15,0.02,126072,157469,80.06147241679315
D15,15,0.03,112606,157469,71.50994798976306
D15,15,0.04,100151,157469,63.60045469266967
D15,15,0.05,88809,157469,56.39776717957186
D15,15,0.06,78715,157469,49.98761661025345
D15,15,0.08,61698,157469,39.181045158094605
D15,15,0.1,48546,157469,30.828925058265437
D15,15,0.12,38791,157469,24.63405495684865
D15,15,0.15,28126,157469,17.861293333926042
D15,15,0.2,17162,157469,10.898653068222952
D15,15,0.25,11004,157469,6.988042090824226
D15,15,0.3,7515,157469,4.77236789463323
D16,16,0.01,141657,157469,89.95865852961535
D16,16,0.02,127063,157469,80.69080263416927
D16,16,0.03,113969,157469,72.37551518076573
D16,16,0.04,101794,157469,64.64383465952028
D16,16,0.05,90667,157469,57.577681956448565
D16,16,0.06,80727,157469,51.26532841384653
D16,16,0.08,63733,157469,40.47336301113235
D16,16,0.1,50452,157469,32.03932202528751
D16,16,0.12,40536,157469,25.742209577758164
D16,16,0.15,29676,157469,18.84561405737002
D16,16,0.2,18275,157469,11.605458852218533
D16,16,0.25,11870,157469,7.537991604696797
D16,16,0.3,8100,157469,5.143869587029829
D17,17,0.01,142104,157469,90.24252392534403
D17,17,0.02,127930,157469,81.24138719366987
D17,17,0.03,115195,157469,73.15408112072852
D17,17,0.04,103282,157469,65.58878255402651
D17,17,0.05,92331,157469,58.634397881487786
D17,17,0.06,82516,157469,52.40142504238929
D17,17,0.08,65642,157469,41.68566511503852
D17,17,0.1,52371,157469,33.25797458547397
D17,17,0.12,42336,157469,26.885291708209238
D17,17,0.15,31211,157469,19.820409096393576
D17,17,0.2,19421,157469,12.333221141939047
D17,17,0.25,12694,157469,8.061269202192177
D17,17,0.3,8719,157469,5.536962830779391
D18,18,0.01,142522,157469,90.5079729978599
D18,18,0.02,128759,157469,81.76784001930538
D18,18,0.03,116295,157469,73.85263131155973
D18,18,0.04,104635,157469,66.44799928874889
D18,18,0.05,93858,157469,59.60411255548711
D18,18,0.06,84116,157469,53.41749804723469
D18,18,0.08,67459,157469,42.83954302116607
D18,18,0.1,54133,157469,34.37692498205996
D18,18,0.12,44086,157469,27.996621557258887
D18,18,0.15,32745,157469,20.7945690897891
D18,18,0.2,20589,157469,13.074954435476188
D18,18,0.25,13573,157469,8.619474309229117
D18,18,0.3,9358,157469,5.942756987089522
D19,19,0.01,142912,157469,90.75564079279096
D19,19,0.02,129519,157469,82.25047469660696
D19,19,0.03,117357,157469,74.52704976852587
D19,19,0.04,105938,157469,67.27546374206986
D19,19,0.05,95307,157469,60.52429367050023
D19,19,0.06,85656,157469,54.395468314398386
D19,19,0.08,69131,157469,43.901339311229506
D19,19,0.1,55886,157469,35.4901599679937
D19,19,0.12,45681,157469,29.009519333964146
D19,19,0.15,34140,157469,21.680457740888684
D19,19,0.2,21638,157469,13.741117299277953
D19,19,0.25,14447,157469,9.174504188125916
D19,19,0.3,10019,157469,6.362522147216278
D20,20,0.01,143308,157469,91.0071188614902
D20,20,0.02,130216,157469,82.69310149934273
D20,20,0.03,118315,157469,75.13542348017705
D20,20,0.04,107165,157469,68.05466472766068
D20,20,0.05,96720,157469,61.42161314290432
D20,20,0.06,87256,157469,55.41154131924378
D20,20,0.08,70814,157469,44.970121103201265
D20,20,0.1,57641,157469,36.6046650451835
D20,20,0.12,47407,157469,30.105608087941114
D20,20,0.15,35665,157469,22.648902323631955
D20,20,0.2,22812,157469,14.486660866583264
D20,20,0.25,15292,157469,9.711117743809892
D20,20,0.3,10630,157469,6.7505350259416135
