episode_levels,episode_count,new_entry_signal_count,last_add_signal_count,new_entry_D20_median,last_add_D20_median,new_entry_D10_MFE_median,last_add_D10_MFE_median,new_entry_D10_MAE_median,last_add_D10_MAE_median
1,21782,21782,0,0.06327205240708855,,0.0867331372599276,,-0.02333391632129511,
2,16453,16453,16453,0.005499527084388056,0.062429633858205325,0.038727354516828294,0.07455569640443604,-0.05351918774737541,-0.02516838000708954
3,9824,9824,9824,-0.037813869479019546,0.06930779642780815,0.029805304570023616,0.08174819825897772,-0.06802301523557724,-0.025567249345698928
4,5831,5831,5831,-0.06008837809820322,0.07881466070547316,0.03105127318202383,0.09220922618051852,-0.06640610778967782,-0.02762482719838777
5,9997,9997,9997,-0.05990815081724177,0.017713368084859682,0.02668415921427969,0.05830424555524161,-0.06162105909261406,-0.055700936231909526
