horizon,variable,total_N,N,missing_N,mean,median,variance,std,min,max,range,IQR,skew,kurtosis,P1,P5,P10,P20,P25,P30,P40,P50,P60,P70,P75,P80,P90,P95,P99
D1,open_ret,157469,157469,0,-0.0009990009990009045,-0.0009990009990008542,5.898747008062857e-33,7.680330076281133e-17,-0.0009990009990011872,-0.000999000999000521,6.661338147750939e-16,1.1102230246251565e-16,-0.12606272891835926,0.7637185234233548,-0.0009990009990010762,-0.0009990009990010762,-0.0009990009990009652,-0.0009990009990009652,-0.0009990009990009652,-0.0009990009990009652,-0.0009990009990009652,-0.0009990009990008542,-0.0009990009990008542,-0.0009990009990008542,-0.0009990009990008542,-0.0009990009990008542,-0.0009990009990008542,-0.0009990009990008542,-0.0009990009990007431
D1,high_ret,157469,157469,0,0.01849781407842178,0.013136138710953205,0.0003934847008098149,0.01983644879533166,-0.0009990009990011872,0.3095099522756375,0.3105089532746387,0.018816140337073017,2.558617468368649,11.158724767279013,-0.0009990009990009652,-0.0009990009990008542,0.0009408067660494623,0.004268139593271325,0.005734756336585933,0.00713808613695317,0.010009274472084329,0.013136138710953205,0.016803250771770542,0.021508183642887677,0.02455089667365895,0.028450008041845054,0.04160545337015931,0.05648102712681985,0.09557111370015815
D1,low_ret,157469,157469,0,-0.02218857095507655,-0.015341711970925376,0.0005059757285090793,0.02249390425224308,-0.23181657052624793,-0.000999000999000632,0.2308175695272473,0.022789927409897603,-2.2375703649324348,7.576226790321655,-0.10103817861431189,-0.06790900972644605,-0.05018964347295505,-0.034522524455410264,-0.02978293440290447,-0.025849772118428826,-0.019831771028274443,-0.015341711970925376,-0.011649331478755798,-0.00848215454957002,-0.006993006993006867,-0.005535536736492913,-0.002461581539968844,-0.0009990009990009652,-0.0009990009990008542
D1,close_ret,157469,157469,0,-0.0021769104934628645,-0.0004424544814515263,0.0008937811065219386,0.029896172104835403,-0.23181657052624793,0.29404274481994697,0.5258593153461949,0.02850002850002853,-0.22929367819484375,4.196131590336237,-0.09200526586852754,-0.05221728613212693,-0.03551887602658819,-0.0206643749950836,-0.015999015999015986,-0.012071545324575505,-0.0056197900710062984,-0.0004424544814515263,0.00431483410206801,0.009445197916113798,0.012501012501012543,0.016293331077395532,0.02854631505278471,0.04194791331567158,0.08105761474104801
D1,MFE,157469,157469,0,0.01849781407842178,0.013136138710953205,0.0003934847008098149,0.01983644879533166,-0.0009990009990011872,0.3095099522756375,0.3105089532746387,0.018816140337073017,2.558617468368649,11.158724767279013,-0.0009990009990009652,-0.0009990009990008542,0.0009408067660494623,0.004268139593271325,0.005734756336585933,0.00713808613695317,0.010009274472084329,0.013136138710953205,0.016803250771770542,0.021508183642887677,0.02455089667365895,0.028450008041845054,0.04160545337015931,0.05648102712681985,0.09557111370015815
D1,MAE,157469,157469,0,-0.02218857095507655,-0.015341711970925376,0.0005059757285090793,0.02249390425224308,-0.23181657052624793,-0.000999000999000632,0.2308175695272473,0.022789927409897603,-2.2375703649324348,7.576226790321655,-0.10103817861431189,-0.06790900972644605,-0.05018964347295505,-0.034522524455410264,-0.02978293440290447,-0.025849772118428826,-0.019831771028274443,-0.015341711970925376,-0.011649331478755798,-0.00848215454957002,-0.006993006993006867,-0.005535536736492913,-0.002461581539968844,-0.0009990009990009652,-0.0009990009990008542
D2,open_ret,157469,157418,51,-0.0018481701924300256,-0.0005754262506864061,0.0010956030518278655,0.03309989504255059,-0.4469850584958499,0.41469268986047525,0.8616777483563252,0.029541080634113676,-0.49321370944491316,7.895858335648304,-0.10573297670071846,-0.05331155331155324,-0.03592138761048714,-0.02077632505317688,-0.015962482407522988,-0.012026901555837067,-0.005576441694610022,-0.0005754262506864061,0.004638184539428323,0.01022572932685284,0.013578598226590688,0.01774900702514661,0.03092440234008116,0.04546616174523166,0.08705360530475034
D2,high_ret,157469,157418,51,0.018607876551155228,0.013911461672655667,0.001384012731858505,0.037202321592321425,-0.42717208904259274,0.4996823507461805,0.9268544397887732,0.035093711908700365,1.0855247466168472,7.742757692313294,-0.06545067835390402,-0.029185579438750137,-0.016938627302733454,-0.005250069079856257,-0.0009990009990009652,0.0020282747555477876,0.007940605256041566,0.013911461672655667,0.020659557244923077,0.028991712221525745,0.0340947109096994,0.04039787369405345,0.06014078300452441,0.08182716257635858,0.14121091567332572
D2,low_ret,157469,157418,51,-0.021336887896423982,-0.016089650530738075,0.0015010422646734261,0.03874328670458182,-0.46971169992752726,0.349657054355041,0.8193687542825683,0.037056731583567704,-1.1660104047680655,6.181535840933826,-0.15421491408040502,-0.09038330090961655,-0.06565251032891939,-0.04361815121941779,-0.037045428798005986,-0.031752913750435575,-0.023199023199023006,-0.016089650530738075,-0.009642851677120253,-0.003355267812584236,1.1302785561717599e-05,0.0039588203359917085,0.015829499749867137,0.02829018938005578,0.06348934790683558
D2,close_ret,157469,157418,51,-0.0004800381233423657,-0.0009990009990008542,0.001689609456860959,0.04110485928525919,-0.43766130816490534,0.4996823507461805,0.9373436589110858,0.041436382331414556,0.16847196429011854,5.227735779755676,-0.11347924101396198,-0.06422691232817812,-0.04479226550175957,-0.026947078895130705,-0.021259551680768318,-0.016463412748242368,-0.008238138672921336,-0.0009990009990008542,0.006843443251407776,0.0152127684421911,0.020176830650646238,0.02599943119730488,0.043839463947183965,0.062358807370312505,0.11637479243810749
