bucket,N,D5_median,D10_median,D20_median,D20_mean,D20_P10,D20_P90,MFE_D10_median,MAE_D10_median
>= -2.0,0,,,,,,,,
"[-2.25,-2.0)",82476,0.0001673749484607523,0.00029882426764538117,-0.0009990009990008542,0.012784167635478277,-0.12287365007970363,0.15960909452124403,0.04695506615668332,-0.047930123712517425
"[-2.5,-2.25)",41785,0.0022738642345321303,0.0015958067906118867,0.002128998452527786,0.014378781200485047,-0.12140743871513092,0.15938646974822618,0.04830791526070488,-0.0468144830560937
"[-2.75,-2.5)",19329,0.004877475465710823,0.002701002701002597,0.0066616979997027315,0.01837443863977522,-0.11494696889815534,0.16183194240499385,0.05074541164766755,-0.045540446814332114
"[-3.0,-2.75)",8612,0.008474692685219054,0.003934337267670784,0.011385308905970115,0.022501332419761114,-0.10896186758255708,0.1612129577631569,0.054160563363017555,-0.045817520548594226
"[-3.5,-3.0)",4812,0.010913689019836914,0.005703988744570232,0.016441179957502716,0.024731221973231143,-0.10390617004089459,0.15860446742799683,0.05663567202028752,-0.047031092776261274
< -3.5,455,0.003257241845190828,0.007792207792207906,0.019622628048061475,0.031911564134757424,-0.08151140991981151,0.16195700195276647,0.046975623246809706,-0.0413256468302341
