ts_code,trade_date,name,market,close,pre_close,pct_change,old_is_limit_down,correct_is_limit_down
000004.SZ,2020-08-26,国华退,主板,23.8,26.36,-9.711684370257966,1,0
000004.SZ,2022-04-28,国华退,主板,13.01,14.45,-9.965397923875429,1,0
000004.SZ,2023-07-19,国华退,主板,20.08,22.26,-9.79335130278528,1,0
000004.SZ,2023-08-10,国华退,主板,18.69,20.68,-9.622823984526107,1,0
000004.SZ,2024-10-09,国华退,主板,16.15,17.93,-9.92749581706638,1,0
000004.SZ,2024-12-17,国华退,主板,18.55,20.56,-9.776264591439677,1,0
000004.SZ,2024-12-24,国华退,主板,16.25,18.05,-9.972299168975074,1,0
000004.SZ,2024-12-25,国华退,主板,14.63,16.25,-9.969230769230764,1,0
000004.SZ,2025-01-03,国华退,主板,12.8,14.18,-9.732016925246823,1,0
000004.SZ,2025-03-24,国华退,主板,10.5,11.65,-9.871244635193133,1,0
000005.SZ,2020-07-14,ST星源(退),主板,3.1,3.31,-6.344410876132933,0,1
000005.SZ,2020-09-10,ST星源(退),主板,2.87,3.02,-4.966887417218535,0,1
000005.SZ,2021-02-01,ST星源(退),主板,1.94,2.14,-9.345794392523377,0,1
000005.SZ,2021-02-04,ST星源(退),主板,1.82,1.94,-6.185567010309267,0,1
000005.SZ,2021-03-29,ST星源(退),主板,2.55,2.75,-7.272727272727275,0,1
000005.SZ,2021-03-30,ST星源(退),主板,2.42,2.55,-5.098039215686267,0,1
000005.SZ,2021-05-06,ST星源(退),主板,2.11,2.22,-4.954954954954971,0,1
000005.SZ,2021-05-07,ST星源(退),主板,2.0,2.11,-5.213270142180093,0,1
000005.SZ,2021-05-10,ST星源(退),主板,1.9,2.0,-5.000000000000004,0,1
000005.SZ,2021-05-17,ST星源(退),主板,1.88,1.98,-5.05050505050505,0,1
000005.SZ,2021-05-20,ST星源(退),主板,1.73,1.82,-4.94505494505495,0,1
000005.SZ,2021-09-27,ST星源(退),主板,2.15,2.26,-4.867256637168138,0,1
000005.SZ,2022-01-18,ST星源(退),主板,2.2,2.32,-5.172413793103436,0,1
000005.SZ,2022-04-25,ST星源(退),主板,2.19,2.31,-5.1948051948051965,0,1
000005.SZ,2022-04-27,ST星源(退),主板,2.02,2.13,-5.164319248826288,0,1
000005.SZ,2022-04-28,ST星源(退),主板,1.92,2.02,-4.950495049504955,0,1
000005.SZ,2022-05-24,ST星源(退),主板,1.85,1.95,-5.128205128205121,0,1
000005.SZ,2022-07-04,ST星源(退),主板,1.74,1.83,-4.918032786885251,0,1
000005.SZ,2022-08-02,ST星源(退),主板,1.72,1.81,-4.972375690607745,0,1
000005.SZ,2022-09-26,ST星源(退),主板,1.69,1.78,-5.0561797752809,0,1
