ts_code,name,list_date,delist_date,required_fields
000018.SZ,神城A退(退),19920616,2020-01-07,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
000587.SZ,*ST金洲(退),19960425,2023-04-03,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
000939.SZ,凯迪退(退),19990923,2020-12-17,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
002260.SZ,德奥退(退),20080716,2022-06-17,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
002450.SZ,康得退(退),20100716,2021-05-31,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
002604.SZ,龙力退(退),20110728,2020-07-15,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
300028.SZ,金亚退(退),20091030,2020-08-03,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
300104.SZ,乐视退(退),20100812,2020-07-21,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
300216.SZ,千山退(退),20110511,2020-09-16,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
600074.SH,退保千(退),19970623,2020-06-02,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
600240.SH,退华业(退),20000628,2020-02-05,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
600385.SH,退金泰(退),20010723,2022-07-07,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
832317.BJ,观典防务(退),20200727,2022-04-26,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
833874.BJ,泰祥股份(退),20200727,2022-07-18,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
833994.BJ,翰博高新(退),20200727,2022-07-25,"ts_code,trade_date,open,high,low,close,pre_close,vol,amount,adj_factor"
