arch,total_return,cagr,maxdd,sharpe,stock_pnl,n_episodes,n_initial,n_adds,avg_layers,blocked_k,cash_idle_pct,median_hold,no_new_budget,no_add_budget,new_pool_util_pct,add_pool_util_pct
A0,30.295093786122408,5.65643037176935,-30.78972881784398,0.3467648252149691,302950.9378612245,76,76,82,2.0789473684210527,336,59.619452142386734,28.5,0,0,,
A1,11.044534509180327,2.2020980659239298,-32.37497590048132,0.20887194648189655,110445.3450918036,75,75,65,1.8666666666666667,336,54.198844909349965,28.0,0,85,2415.9782617370392,2470.906373420475
A2,10.265208123460322,2.052546685198653,-25.557295915556892,0.2024882802275598,102652.08123460306,75,75,52,1.6933333333333334,336,46.768116628850585,28.0,0,114,1821.3267061039044,2828.3324330285795
A3,-7.756955260396703,-1.6648074534186152,-38.032448290325874,0.060548938510930767,-77569.55260396688,71,71,78,2.0985915492957745,338,63.76512013177079,29.0,13,79,2025.661743032423,2997.549537383636
