date,new_pool,add_pool,new_deployed,add_deployed
2020-01-02,600000.0,400000.0,0.0,0.0
2020-01-03,600000.0,400000.0,0.0,0.0
2020-01-06,600000.0,400000.0,0.0,0.0
2020-01-07,600000.0,400000.0,0.0,0.0
2020-01-08,600000.0,400000.0,0.0,0.0
2020-01-09,600000.0,400000.0,0.0,0.0
2020-01-10,600000.0,400000.0,0.0,0.0
2020-01-13,600000.0,400000.0,0.0,0.0
2020-01-14,600000.0,400000.0,0.0,0.0
2020-01-15,600000.0,400000.0,0.0,0.0
2020-01-16,600000.0,400000.0,0.0,0.0
2020-01-17,600000.0,400000.0,0.0,0.0
2020-01-20,600000.0,400000.0,0.0,0.0
2020-01-21,600000.0,400000.0,0.0,0.0
2020-01-22,600000.0,400000.0,0.0,0.0
2020-01-23,600000.0,400000.0,0.0,0.0
2020-02-03,600000.0,400000.0,0.0,0.0
2020-02-04,600000.0,400000.0,0.0,0.0
2020-02-05,600000.0,400000.0,0.0,0.0
2020-02-06,600000.0,400000.0,0.0,0.0
2020-02-07,600000.0,400000.0,0.0,0.0
2020-02-10,600000.0,400000.0,0.0,0.0
2020-02-11,600000.0,400000.0,0.0,0.0
2020-02-12,600000.0,400000.0,0.0,0.0
2020-02-13,600000.0,400000.0,0.0,0.0
2020-02-14,600000.0,400000.0,0.0,0.0
2020-02-17,600000.0,400000.0,0.0,0.0
2020-02-18,600000.0,400000.0,0.0,0.0
2020-02-19,600000.0,400000.0,0.0,0.0
2020-02-20,600000.0,400000.0,0.0,0.0
2020-02-21,600000.0,400000.0,0.0,0.0
2020-02-24,600000.0,400000.0,0.0,0.0
2020-02-25,600000.0,400000.0,0.0,0.0
2020-02-26,600000.0,400000.0,0.0,0.0
2020-02-27,600000.0,400000.0,0.0,0.0
2020-02-28,600000.0,400000.0,0.0,0.0
2020-03-02,209388.34736880005,400000.0,390611.6526311999,0.0
2020-03-03,209388.34736880005,400000.0,390611.6526311999,0.0
2020-03-04,209388.34736880005,400000.0,390611.6526311999,0.0
2020-03-05,209388.34736880005,400000.0,390611.6526311999,0.0
2020-03-06,209388.34736880005,400000.0,390611.6526311999,0.0
2020-03-09,209388.34736880005,400000.0,390611.6526311999,0.0
2020-03-10,209388.34736880005,212710.26332596003,390611.6526311999,187289.73667403997
2020-03-11,209388.34736880005,212710.26332596003,390611.6526311999,187289.73667403997
2020-03-12,209388.34736880005,212710.26332596003,390611.6526311999,187289.73667403997
2020-03-13,209388.34736880005,17686.79240368007,390611.6526311999,382313.20759631996
2020-03-16,209388.34736880005,17686.79240368007,390611.6526311999,382313.20759631996
2020-03-17,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-03-18,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-03-19,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-03-20,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-03-23,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-03-24,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-03-25,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-03-26,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-03-27,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-03-30,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-03-31,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-04-01,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-04-02,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-04-03,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-04-07,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-04-08,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
2020-04-09,9692.99607336006,3337.3189603800693,590307.0039266399,396662.68103961996
