arch,layer,a0_adds,ax_adds,preserved,lost
A1,2,49,45,42,7
A1,3,25,15,14,11
A1,4,5,4,3,2
A1,5,3,1,1,2
A2,2,49,40,39,10
A2,3,25,9,9,16
A2,4,5,2,2,3
A2,5,3,1,1,2
A3,2,49,46,40,9
A3,3,25,21,18,7
A3,4,5,8,3,2
A3,5,3,3,1,2
