year,return_pct,maxdd_pct,stock_pnl,new_entries,adds,arch
2020,8.122530222525072,-15.740777024233077,82026.4728233108,14,12,A0
2021,31.86078229645195,-22.526220436604667,342402.5190340813,23,23,A0
2022,1.9288075567292617,-15.83900836619559,-16194.796018379246,13,16,A0
2023,-10.650345784627424,-23.95696604472998,-57948.306093079125,14,17,A0
2024,0.34746251081820834,-20.434055048633912,-47334.9518847093,12,14,A0
2020,6.691155680246053,-15.839925139034422,67712.7274005204,14,9,A1
2021,31.0204792061765,-20.894899209702782,330184.39285494137,23,21,A1
2022,-2.3492069106540114,-14.56192506151841,-77840.59594951925,13,12,A1
2023,-12.657651415801908,-20.43735460181815,-34227.824001089495,13,14,A1
2024,-6.861563240320335,-22.822435012427764,-175383.3552130494,12,9,A1
2020,3.3040067596440625,-15.30675154771057,36520.39650350048,14,7,A2
2021,22.690852884189596,-16.147555229665002,231932.490436381,23,18,A2
2022,-0.1376399431268771,-11.947172717871503,-46812.95539789938,13,11,A2
2023,-6.978400799632867,-13.917325489942334,16814.372475430428,13,9,A2
2024,-6.3466056279127265,-20.673004437007663,-135802.22278280946,12,7,A2
2020,7.827378871801027,-16.416737514125217,78385.31392651041,14,14,A3
2021,11.041914635577598,-20.543092593611597,115791.02427955088,19,25,A3
2022,-2.6027409558853076,-17.266777942934443,-69953.69582685927,13,15,A3
2023,-15.271975280366835,-25.078736239955497,-43046.430808489386,13,14,A3
2024,-6.643658710070088,-26.961296597755897,-158745.76417467944,12,10,A3
