etf_code,etf_name,exchange,list_date,delist_date,found_date,fund_manager,fund_type,invest_type,status,index_code,index_name,index_publisher,publisher_confidence,index_category,passive_index_flag,domestic_a_share_flag,cross_mixed_flag,is_csi_publisher,asset_class,eligible,exclusion_reason,match_level,match_status,bench_idx_name,benchmark,data_source,retrieval_date
515660.SH,国联安沪深300ETF,SH,20191224,,20191125,国联安基金管理有限公司,股票型,被动指数型,L,000300.SH,沪深300,中证指数有限公司、上海证券交易所,INDEX_BASIC,规模指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,沪深300,沪深300指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159982.SZ,鹏华中证500ETF,SZ,20200220,,20191121,鹏华基金管理有限公司,股票型,被动指数型,L,000905.SH,中证500,中证指数有限公司,INDEX_BASIC,规模指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,中证500,中证500指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515550.SH,国联中证500ETF,SH,20191225,,20191115,国联基金管理有限公司,股票型,被动指数型,L,000905.SH,中证500,中证指数有限公司,INDEX_BASIC,规模指数,True,True,False,True,EQUITY,True,,L1_EX_EXACT,OK,中证500,中证500指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515750.SH,富国中证科技50策略ETF,SH,20191206,,20191115,富国基金管理有限公司,股票型,被动指数型,L,,中证科技50策略,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证科技50策略,中证科技50策略指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515590.SH,前海开源中证500等权重ETF,SH,20200120,,20191114,前海开源基金管理有限公司,股票型,被动指数型,L,,中证500等权重,中证指数有限公司,RULE_BASED,,True,True,False,True,EQUITY,True,,L5_RULE,RULE,中证500等权重,中证500等权重指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159975.SZ,招商深证100ETF,SZ,20200102,,20191107,招商基金管理有限公司,股票型,被动指数型,L,399330.SZ,深证100,深圳证券信息有限公司、深圳证券交易所,INDEX_BASIC,规模指数,True,True,False,False,EQUITY,True,,L1_EX_EXACT,OK,深证100,深证100指数(价格)收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515110.SH,易方达中证国企一带一路ETF,SH,20200115,,20191106,易方达基金管理有限公司,股票型,被动指数型,L,000859.CSI,中证国企一带一路,中证指数有限公司,INDEX_BASIC,主题指数,True,True,False,True,EQUITY,True,,L4_NORM_EX,OK_NORM,中证国企一带一路,中证国企一带一路指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515150.SH,富国中证国企一带一路ETF,SH,20200115,,20191106,富国基金管理有限公司,股票型,被动指数型,L,000859.CSI,中证国企一带一路,中证指数有限公司,INDEX_BASIC,主题指数,True,True,False,True,EQUITY,True,,L4_NORM_EX,OK_NORM,中证国企一带一路,中证国企一带一路指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515990.SH,汇添富中证国企一带一路ETF,SH,20200115,,20191106,汇添富基金管理股份有限公司,股票型,被动指数型,L,000859.CSI,中证国企一带一路,中证指数有限公司,INDEX_BASIC,主题指数,True,True,False,True,EQUITY,True,,L4_NORM_EX,OK_NORM,中证国企一带一路,中证国企一带一路指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159976.SZ,工银瑞信粤港澳大湾区创新100ETF,SZ,20200117,,20191101,工银瑞信基金管理有限公司,股票型,被动指数型,L,,粤港澳大湾区创新100,UNKNOWN,RULE_BASED,,True,True,False,False,EQUITY,True,,L5_RULE,RULE,粤港澳大湾区创新100,粤港澳大湾区创新100指数收益率×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
159987.SZ,银华中证研发创新100ETF,SZ,20191118,20240903,20191101,银华基金管理股份有限公司,股票型,被动指数型,D,931159.CSI,中证研发创新100,中证指数有限公司,INDEX_BASIC,主题指数,True,True,False,True,EQUITY,True,,L2B_EX_REVSUB,OK,中证研发创新100,中证研发创新100指数×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
515200.SH,申万菱信中证研发创新100ETF,SH,20191115,,20191025,申万菱信基金管理有限公司,股票型,被动指数型,L,931159.CSI,中证研发创新100,中证指数有限公司,INDEX_BASIC,主题指数,True,True,False,True,EQUITY,True,,L2B_EX_REVSUB,OK,中证研发创新100,中证研发创新100指数×100%,Tushare fund_basic.benchmark + index_basic,2026-09-04 10:05:42
