date,action,index_key,etf,shares,price,amount,fee,cash_after,level,pnl,holding_days
2006-08-01,ENTRY,399330.SZ,159901.SZ,155700,1.284,199918.80000000002,49.97970000000001,800031.2202999999,1,,
2006-08-03,ADD,399330.SZ,159901.SZ,158400,1.262,199900.8,49.9752,600080.4450999999,2,,
2006-08-07,ADD,399330.SZ,159901.SZ,162800,1.228,199918.4,49.9796,400112.0654999999,3,,
2006-08-28,EXIT_PSTAR,399330.SZ,159901.SZ,476900,1.295,617585.5,154.396375,1017543.1691249999,3,17543.16912500001,27.0
2007-07-06,ENTRY,399330.SZ,159901.SZ,52400,3.814,199853.6,49.9634,817639.6057249999,1,,
2007-07-23,EXIT_PSTAR,399330.SZ,159901.SZ,52400,4.243,222333.2,55.5833,1039917.2224249999,1,22374.053300000014,17.0
2007-10-26,ENTRY,399330.SZ,159901.SZ,37000,5.402,199874.0,49.9685,839993.253925,1,,
2007-11-09,ADD,399330.SZ,159901.SZ,38300,5.221,199964.30000000002,49.991075,639978.96285,2,,
2007-11-13,ADD,399330.SZ,159901.SZ,39100,5.111,199840.09999999998,49.960024999999995,440088.902825,3,,
2007-12-24,EXIT_PSTAR,399330.SZ,159901.SZ,114400,5.312,607692.8,151.9232,1047629.7796250001,3,7712.557199999992,59.0
2008-01-23,ENTRY,399330.SZ,159901.SZ,39900,5.005,199699.5,49.924875,847880.35475,1,,
2008-03-13,ADD,399330.SZ,159901.SZ,44100,4.525,199552.50000000003,49.88812500000001,648277.966625,2,,
2008-03-17,ADD,399330.SZ,159901.SZ,45800,4.364,199871.19999999998,49.9678,448356.798825,3,,
2008-03-19,ADD,399330.SZ,159901.SZ,50400,3.9650000000000003,199836.00000000003,49.95900000000001,248470.83982499997,4,,
2008-04-18,ADD,399330.SZ,159901.SZ,55800,3.584,199987.2,49.99680000000001,48433.64302499997,5,,
2008-07-10,EXIT_PSTAR,399330.SZ,159901.SZ,236000,3.262,769832.0,192.458,818073.185025,5,-229556.59460000004,169.0
2008-08-06,ENTRY,399330.SZ,159901.SZ,69600,2.873,199960.80000000002,49.99020000000001,618062.394825,1,,
2008-08-11,ADD,399330.SZ,159901.SZ,74800,2.673,199940.4,49.9851,418072.009725,2,,
2008-08-13,ADD,399330.SZ,159901.SZ,80400,2.486,199874.40000000002,49.96860000000001,218147.641125,3,,
2008-09-09,ADD,399330.SZ,159901.SZ,94200,2.122,199892.4,49.9731,18205.268024999998,4,,
