horizon,count,mean,median,p25,p75,win_rate
1,3285,-0.004,0.118,-1.006,1.078,52.5
3,3285,0.137,0.0,-1.677,1.809,50.0
5,3285,0.267,0.109,-2.276,2.438,50.6
10,3285,0.319,-0.097,-3.059,3.385,48.2
20,3285,1.084,0.446,-3.807,5.163,52.3
