model,signal_date,horizon_days,group,n_signals,mean_fwd_return_pct,median_fwd_return_pct
Model1,2025-06-10,5,selected_Top10,10,-2.553,-3.158
Model1,2025-06-10,10,selected_Top10,10,-2.03,-2.957
Model1,2025-06-10,20,selected_Top10,10,-1.76,-2.748
Model1,2026-06-24,1,selected_Top10,10,-1.024,-1.191
Model1,2026-06-24,1,non_selected,62,-0.478,-0.556
Model1,2026-06-24,3,selected_Top10,10,-1.646,-1.409
Model1,2026-06-24,3,non_selected,62,-0.762,-0.909
Model1,2026-06-24,5,selected_Top10,10,-1.895,-1.935
Model1,2026-06-24,5,non_selected,62,-0.58,-1.031
Model1,2026-06-24,10,selected_Top10,10,0.713,0.901
Model1,2026-06-24,10,non_selected,62,0.648,0.591
Model1,2026-06-24,20,selected_Top10,10,5.545,5.903
Model1,2026-06-24,20,non_selected,62,4.6,5.609
Model1,2022-04-12,1,selected_Top10,10,-1.995,-2.43
Model1,2022-04-12,1,non_selected,26,-1.254,-1.521
Model1,2022-04-12,3,selected_Top10,10,-2.03,-2.263
Model1,2022-04-12,3,non_selected,26,-1.876,-2.018
Model1,2022-04-12,5,selected_Top10,10,0.135,0.178
Model1,2022-04-12,5,non_selected,26,-1.266,-1.466
Model1,2022-04-12,10,selected_Top10,10,-15.866,-16.452
Model1,2022-04-12,10,non_selected,26,-16.105,-16.321
Model1,2022-04-12,20,selected_Top10,10,0.627,0.351
Model1,2022-04-12,20,non_selected,26,-2.669,-2.238
Model1,2022-10-10,1,selected_Top10,10,-0.156,-0.421
Model1,2022-10-10,1,non_selected,140,0.37,0.0
Model1,2022-10-10,3,selected_Top10,10,2.347,2.985
Model1,2022-10-10,3,non_selected,140,2.816,3.122
Model1,2022-10-10,5,selected_Top10,10,5.965,6.773
Model1,2022-10-10,5,non_selected,140,5.915,6.562
Model1,2022-10-10,10,selected_Top10,10,5.4,7.7
Model1,2022-10-10,10,non_selected,140,2.829,2.786
Model1,2022-10-10,20,selected_Top10,10,11.134,13.225
Model1,2022-10-10,20,non_selected,140,8.668,10.715
Model1,2012-11-27,1,selected_Top10,9,-1.629,-1.452
Model1,2012-11-27,3,selected_Top10,9,-1.199,-1.926
Model1,2012-11-27,5,selected_Top10,9,-1.795,-2.293
Model1,2012-11-27,10,selected_Top10,9,3.906,3.785
Model1,2012-11-27,20,selected_Top10,9,10.959,11.142
Model1,2019-01-02,1,selected_Top10,10,0.311,0.045
Model1,2019-01-02,1,non_selected,1,4.734,4.734
Model1,2019-01-02,3,selected_Top10,10,2.122,2.21
Model1,2019-01-02,3,non_selected,1,5.194,5.194
Model1,2019-01-02,5,selected_Top10,10,2.663,2.975
Model1,2019-01-02,5,non_selected,1,8.35,8.35
Model1,2019-01-02,10,selected_Top10,10,3.942,3.824
Model1,2019-01-02,10,non_selected,1,14.267,14.267
Model1,2019-01-02,20,selected_Top10,10,5.178,4.381
Model1,2019-01-02,20,non_selected,1,27.745,27.745
Model1,2021-02-25,1,selected_Top10,10,-2.263,-2.195
Model1,2021-02-25,1,non_selected,13,-1.77,-2.045
Model1,2021-02-25,3,selected_Top10,10,0.193,-0.503
Model1,2021-02-25,3,non_selected,13,-0.238,-0.508
Model1,2021-02-25,5,selected_Top10,10,-4.052,-4.127
Model1,2021-02-25,5,non_selected,13,-4.097,-4.092
Model1,2021-02-25,10,selected_Top10,10,-6.52,-7.813
Model1,2021-02-25,10,non_selected,13,-7.825,-7.975
Model1,2021-02-25,20,selected_Top10,10,-10.689,-10.89
Model1,2021-02-25,20,non_selected,13,-10.871,-10.912
Model1,2018-05-29,1,selected_Top10,10,-2.876,-2.719
Model1,2018-05-29,1,non_selected,15,-2.376,-2.529
Model1,2018-05-29,3,selected_Top10,10,-3.193,-3.439
Model1,2018-05-29,3,non_selected,15,-2.178,-2.76
Model1,2018-05-29,5,selected_Top10,10,-2.001,-1.927
Model1,2018-05-29,5,non_selected,15,-1.032,-1.478
Model1,2018-05-29,10,selected_Top10,10,-4.11,-3.74
Model1,2018-05-29,10,non_selected,15,-2.686,-2.846
Model1,2018-05-29,20,selected_Top10,10,-13.179,-13.249
Model1,2018-05-29,20,non_selected,15,-11.489,-12.971
Model1,2021-08-17,1,selected_Top10,10,0.131,0.055
Model1,2021-08-17,1,non_selected,38,0.293,0.306
Model1,2021-08-17,3,selected_Top10,10,-0.782,-1.618
Model1,2021-08-17,3,non_selected,38,-0.017,0.227
Model1,2021-08-17,5,selected_Top10,10,3.201,2.867
Model1,2021-08-17,5,non_selected,38,3.057,3.231
Model1,2021-08-17,10,selected_Top10,10,-3.357,-3.335
Model1,2021-08-17,10,non_selected,38,-1.664,-1.471
Model1,2021-08-17,20,selected_Top10,10,-4.375,-4.336
Model1,2021-08-17,20,non_selected,38,-1.856,-2.096
Model1,2025-04-01,1,selected_Top10,10,0.096,0.079
Model1,2025-04-01,1,non_selected,24,0.045,0.125
Model1,2025-04-01,3,selected_Top10,10,-10.417,-11.074
Model1,2025-04-01,3,non_selected,24,-10.749,-11.002
Model1,2025-04-01,5,selected_Top10,10,-9.738,-11.497
Model1,2025-04-01,5,non_selected,24,-10.42,-11.375
Model1,2025-04-01,10,selected_Top10,10,-7.39,-9.124
Model1,2025-04-01,10,non_selected,24,-8.072,-8.91
Model1,2025-04-01,20,selected_Top10,10,-5.828,-5.924
Model1,2025-04-01,20,non_selected,24,-6.087,-5.768
Model1,2024-12-31,1,selected_Top10,10,-3.905,-3.884
Model1,2024-12-31,1,non_selected,109,-3.739,-3.682
Model1,2024-12-31,3,selected_Top10,10,-6.909,-6.007
Model1,2024-12-31,3,non_selected,109,-6.365,-6.066
Model1,2024-12-31,5,selected_Top10,10,-6.419,-6.344
Model1,2024-12-31,5,non_selected,109,-5.906,-5.371
Model1,2024-12-31,10,selected_Top10,10,-4.444,-4.716
Model1,2024-12-31,10,non_selected,109,-4.105,-4.193
