model,signal_date,horizon_days,group,n_signals,mean_fwd_return_pct,median_fwd_return_pct
Model1,2025-08-01,1,selected_Top10,10,0.381,0.365
Model1,2025-08-01,1,non_selected,5,0.287,0.306
Model1,2025-08-01,3,selected_Top10,10,1.256,1.406
Model1,2025-08-01,3,non_selected,5,0.814,0.676
Model1,2025-08-01,5,selected_Top10,10,1.668,1.734
Model1,2025-08-01,5,non_selected,5,1.378,1.449
Model1,2025-08-01,10,selected_Top10,10,0.953,0.89
Model1,2025-08-01,10,non_selected,5,0.928,0.817
Model1,2025-08-01,20,selected_Top10,10,1.392,1.481
Model1,2025-08-01,20,non_selected,5,1.915,2.029
Model1,2023-02-06,1,selected_Top10,10,0.719,0.46
Model1,2023-02-06,1,non_selected,3,0.47,0.435
Model1,2023-02-06,3,selected_Top10,10,1.196,0.747
Model1,2023-02-06,3,non_selected,3,0.672,0.72
Model1,2023-02-06,5,selected_Top10,10,0.716,-0.045
Model1,2023-02-06,5,non_selected,3,-0.219,-0.109
Model1,2023-02-06,10,selected_Top10,10,1.209,0.835
Model1,2023-02-06,10,non_selected,3,0.999,0.89
Model1,2023-02-06,20,selected_Top10,10,0.377,0.24
Model1,2023-02-06,20,non_selected,3,0.205,0.218
Model1,2021-03-09,1,selected_Top10,10,0.235,0.074
Model1,2021-03-09,1,non_selected,177,0.52,0.412
Model1,2021-03-09,3,selected_Top10,10,2.491,1.983
Model1,2021-03-09,3,non_selected,177,2.704,3.011
Model1,2021-03-09,5,selected_Top10,10,0.198,0.333
Model1,2021-03-09,5,non_selected,177,0.772,1.285
Model1,2021-03-09,10,selected_Top10,10,0.897,0.931
Model1,2021-03-09,10,non_selected,177,0.739,0.952
Model1,2021-03-09,20,selected_Top10,10,3.852,4.162
Model1,2021-03-09,20,non_selected,177,3.771,3.396
Model1,2024-11-18,1,selected_Top10,10,1.916,1.689
Model1,2024-11-18,3,selected_Top10,10,2.223,2.403
Model1,2024-11-18,5,selected_Top10,10,-2.139,-2.129
Model1,2024-11-18,10,selected_Top10,10,1.442,1.51
Model1,2024-11-18,20,selected_Top10,10,1.031,1.049
Model1,2021-01-28,1,selected_Top10,10,-0.794,-0.729
Model1,2021-01-28,1,non_selected,14,-0.646,-0.682
Model1,2021-01-28,3,selected_Top10,10,-0.375,-0.347
Model1,2021-01-28,3,non_selected,14,0.218,-0.091
Model1,2021-01-28,5,selected_Top10,10,-2.97,-3.355
Model1,2021-01-28,5,non_selected,14,-1.711,-1.422
Model1,2021-01-28,10,selected_Top10,10,0.827,0.02
Model1,2021-01-28,10,non_selected,14,2.627,3.978
Model1,2021-01-28,20,selected_Top10,10,-0.443,-2.144
Model1,2021-01-28,20,non_selected,14,3.508,4.273
Model1,2026-07-16,1,selected_Top10,10,-6.115,-5.975
Model1,2026-07-16,1,non_selected,223,-6.55,-7.019
Model1,2026-07-16,3,selected_Top10,10,-3.321,-3.541
Model1,2026-07-16,3,non_selected,223,-2.029,-1.888
Model1,2026-07-16,5,selected_Top10,10,-4.515,-5.16
Model1,2026-07-16,5,non_selected,223,-4.541,-4.332
Model1,2026-07-16,10,selected_Top10,10,-10.508,-9.47
Model1,2026-07-16,10,non_selected,223,-11.835,-13.561
Model1,2026-07-16,20,selected_Top10,10,-0.873,0.909
Model1,2026-07-16,20,non_selected,223,-2.342,-2.538
Model1,2023-05-08,1,selected_Top10,6,-0.692,-0.622
Model1,2023-05-08,3,selected_Top10,6,-0.055,-0.119
Model1,2023-05-08,5,selected_Top10,6,0.909,0.932
Model1,2023-05-08,10,selected_Top10,6,3.515,3.846
Model1,2023-05-08,20,selected_Top10,6,1.513,1.946
Model1,2017-07-17,1,selected_Top10,10,0.41,0.455
Model1,2017-07-17,1,non_selected,24,0.408,0.21
Model1,2017-07-17,3,selected_Top10,10,2.114,1.695
Model1,2017-07-17,3,non_selected,24,2.094,1.966
Model1,2017-07-17,5,selected_Top10,10,2.857,2.958
Model1,2017-07-17,5,non_selected,24,2.851,3.008
Model1,2017-07-17,10,selected_Top10,10,4.695,4.98
Model1,2017-07-17,10,non_selected,24,4.135,4.006
Model1,2017-07-17,20,selected_Top10,10,6.909,6.98
Model1,2017-07-17,20,non_selected,24,5.348,4.806
Model1,2024-08-05,1,selected_Top10,10,1.261,1.248
Model1,2024-08-05,1,non_selected,107,0.547,0.457
Model1,2024-08-05,3,selected_Top10,10,0.36,0.543
Model1,2024-08-05,3,non_selected,107,0.194,0.152
Model1,2024-08-05,5,selected_Top10,10,-0.187,-0.504
Model1,2024-08-05,5,non_selected,107,-0.528,-0.595
Model1,2024-08-05,10,selected_Top10,10,1.154,1.156
Model1,2024-08-05,10,non_selected,107,0.529,0.082
Model1,2024-08-05,20,selected_Top10,10,-3.374,-3.375
Model1,2024-08-05,20,non_selected,107,-2.473,-2.374
Model1,2024-05-29,1,selected_Top10,9,0.204,0.0
Model1,2024-05-29,3,selected_Top10,9,0.534,0.095
Model1,2024-05-29,5,selected_Top10,9,0.146,0.0
Model1,2024-05-29,10,selected_Top10,9,-0.77,-2.448
Model1,2024-05-29,20,selected_Top10,9,-2.611,-5.838
Model1,2024-09-13,1,selected_Top10,10,-0.528,-0.656
Model1,2024-09-13,1,non_selected,36,-0.3,-0.361
Model1,2024-09-13,3,selected_Top10,10,0.953,0.962
Model1,2024-09-13,3,non_selected,36,0.655,0.836
Model1,2024-09-13,5,selected_Top10,10,5.361,4.414
Model1,2024-09-13,5,non_selected,36,5.084,5.424
Model1,2024-09-13,10,selected_Top10,10,37.748,37.044
Model1,2024-09-13,10,non_selected,36,39.133,37.006
Model1,2024-09-13,20,selected_Top10,10,23.018,22.764
Model1,2024-09-13,20,non_selected,36,25.975,23.909
Model1,2021-07-02,1,selected_Top10,10,-0.054,0.122
Model1,2021-07-02,1,non_selected,15,-0.049,-0.086
Model1,2021-07-02,3,selected_Top10,10,1.324,1.061
Model1,2021-07-02,3,non_selected,15,1.294,1.114
Model1,2021-07-02,5,selected_Top10,10,1.977,1.218
Model1,2021-07-02,5,non_selected,15,1.297,1.013
Model1,2021-07-02,10,selected_Top10,10,4.29,3.263
Model1,2021-07-02,10,non_selected,15,3.044,2.985
Model1,2021-07-02,20,selected_Top10,10,0.265,-1.583
Model1,2021-07-02,20,non_selected,15,-1.228,-1.824
Model1,2021-12-17,1,selected_Top10,10,-3.34,-3.969
Model1,2021-12-17,1,non_selected,20,-2.627,-2.59
Model1,2021-12-17,3,selected_Top10,10,-1.888,-2.676
Model1,2021-12-17,3,non_selected,20,-1.356,-1.149
Model1,2021-12-17,5,selected_Top10,10,-5.334,-7.504
Model1,2021-12-17,5,non_selected,20,-3.856,-3.941
Model1,2021-12-17,10,selected_Top10,10,-3.1,-4.491
Model1,2021-12-17,10,non_selected,20,-1.943,-2.031
Model1,2021-12-17,20,selected_Top10,10,-7.116,-7.277
Model1,2021-12-17,20,non_selected,20,-6.102,-5.637
Model1,2024-06-06,1,selected_Top10,10,-0.088,0.12
Model1,2024-06-06,1,non_selected,70,0.233,0.236
Model1,2024-06-06,3,selected_Top10,10,0.793,1.255
Model1,2024-06-06,3,non_selected,70,1.351,1.362
Model1,2024-06-06,5,selected_Top10,10,0.316,0.833
Model1,2024-06-06,5,non_selected,70,0.957,1.267
Model1,2024-06-06,10,selected_Top10,10,-2.301,-1.419
Model1,2024-06-06,10,non_selected,70,-1.641,-1.617
Model1,2024-06-06,20,selected_Top10,10,-7.141,-6.044
Model1,2024-06-06,20,non_selected,70,-6.181,-5.69
Model1,2022-02-22,1,selected_Top10,2,0.881,0.881
Model1,2022-02-22,3,selected_Top10,2,-2.042,-2.042
Model1,2022-02-22,5,selected_Top10,2,-2.593,-2.593
Model1,2022-02-22,10,selected_Top10,2,-11.052,-11.052
Model1,2022-02-22,20,selected_Top10,2,-9.191,-9.191
Model1,2026-04-01,1,selected_Top10,10,-3.28,-3.277
Model1,2026-04-01,1,non_selected,5,-3.058,-3.048
Model1,2026-04-01,3,selected_Top10,10,-5.516,-5.508
Model1,2026-04-01,3,non_selected,5,-5.379,-5.37
Model1,2026-04-01,5,selected_Top10,10,-2.43,-2.366
Model1,2026-04-01,5,non_selected,5,-2.28,-2.309
Model1,2026-04-01,10,selected_Top10,10,2.692,2.792
Model1,2026-04-01,10,non_selected,5,2.922,3.041
Model1,2026-04-01,20,selected_Top10,10,2.119,2.14
Model1,2026-04-01,20,non_selected,5,2.197,2.222
Model1,2022-05-26,1,selected_Top10,6,0.659,0.722
Model1,2022-05-26,3,selected_Top10,6,3.083,3.03
Model1,2022-05-26,5,selected_Top10,6,1.895,1.754
Model1,2022-05-26,10,selected_Top10,6,6.264,6.138
Model1,2022-05-26,20,selected_Top10,6,12.65,12.705
Model1,2019-06-06,1,selected_Top10,10,0.982,0.957
Model1,2019-06-06,1,non_selected,43,0.934,1.011
Model1,2019-06-06,3,selected_Top10,10,3.614,3.857
Model1,2019-06-06,3,non_selected,43,3.572,3.632
Model1,2019-06-06,5,selected_Top10,10,2.515,2.564
Model1,2019-06-06,5,non_selected,43,2.5,2.486
Model1,2019-06-06,10,selected_Top10,10,7.261,7.311
Model1,2019-06-06,10,non_selected,43,7.089,7.186
Model1,2019-06-06,20,selected_Top10,10,8.944,8.234
Model1,2019-06-06,20,non_selected,43,9.257,8.816
Model1,2011-05-23,1,selected_Top10,10,-0.233,-0.184
Model1,2011-05-23,1,non_selected,6,-0.487,-0.435
Model1,2011-05-23,3,selected_Top10,10,-1.556,-1.338
Model1,2011-05-23,3,non_selected,6,-1.38,-1.42
Model1,2011-05-23,5,selected_Top10,10,-2.868,-2.209
Model1,2011-05-23,5,non_selected,6,-3.327,-2.929
Model1,2011-05-23,10,selected_Top10,10,-0.997,-0.941
Model1,2011-05-23,10,non_selected,6,-1.258,-1.552
Model1,2011-05-23,20,selected_Top10,10,-4.133,-3.707
Model1,2011-05-23,20,non_selected,6,-4.44,-4.204
Model1,2022-04-07,1,selected_Top10,10,-0.639,-0.877
Model1,2022-04-07,1,non_selected,50,-0.74,-0.64
Model1,2022-04-07,3,selected_Top10,10,-4.379,-4.096
Model1,2022-04-07,3,non_selected,50,-4.264,-4.155
Model1,2022-04-07,5,selected_Top10,10,-6.072,-6.147
Model1,2022-04-07,5,non_selected,50,-5.513,-5.202
Model1,2022-04-07,10,selected_Top10,10,-8.76,-7.881
Model1,2022-04-07,10,non_selected,50,-8.495,-7.719
Model1,2022-04-07,20,selected_Top10,10,-6.642,-6.498
Model1,2022-04-07,20,non_selected,50,-8.95,-8.488
Model1,2026-08-21,1,selected_Top10,10,0.277,0.743
Model1,2026-08-21,1,non_selected,10,0.17,0.504
Model1,2026-08-21,3,selected_Top10,10,2.097,2.355
Model1,2026-08-21,3,non_selected,10,2.11,2.296
Model1,2026-08-21,5,selected_Top10,10,2.006,1.87
Model1,2026-08-21,5,non_selected,10,2.13,1.869
Model1,2025-10-15,1,selected_Top10,10,0.388,0.401
Model1,2025-10-15,3,selected_Top10,10,1.266,1.591
Model1,2025-10-15,5,selected_Top10,10,5.855,7.02
Model1,2025-10-15,10,selected_Top10,10,14.288,17.049
Model1,2025-10-15,20,selected_Top10,10,5.186,6.609
Model1,2024-11-15,1,selected_Top10,7,0.979,1.015
Model1,2024-11-15,3,selected_Top10,7,1.277,1.261
Model1,2024-11-15,5,selected_Top10,7,-0.935,-0.867
Model1,2024-11-15,10,selected_Top10,7,-1.706,-1.732
Model1,2024-11-15,20,selected_Top10,7,0.809,0.768
Model1,2025-09-23,1,selected_Top10,10,0.641,0.5
Model1,2025-09-23,1,non_selected,29,1.048,1.043
Model1,2025-09-23,3,selected_Top10,10,-0.263,-0.288
Model1,2025-09-23,3,non_selected,29,0.235,0.298
Model1,2025-09-23,5,selected_Top10,10,0.671,0.241
Model1,2025-09-23,5,non_selected,29,1.3,1.341
Model1,2025-09-23,10,selected_Top10,10,1.314,1.257
Model1,2025-09-23,10,non_selected,29,1.558,1.449
Model1,2025-09-23,20,selected_Top10,10,-0.565,-1.505
Model1,2025-09-23,20,non_selected,29,1.033,-0.227
Model1,2016-09-14,1,selected_Top10,10,0.667,0.594
Model1,2016-09-14,1,non_selected,37,0.92,0.753
Model1,2016-09-14,3,selected_Top10,10,0.832,0.862
Model1,2016-09-14,3,non_selected,37,0.907,0.905
Model1,2016-09-14,5,selected_Top10,10,1.122,1.332
Model1,2016-09-14,5,non_selected,37,1.275,1.203
Model1,2016-09-14,10,selected_Top10,10,0.423,0.563
Model1,2016-09-14,10,non_selected,37,0.825,0.906
Model1,2016-09-14,20,selected_Top10,10,2.879,3.039
Model1,2016-09-14,20,non_selected,37,3.032,2.669
Model1,2022-08-24,1,selected_Top10,10,0.645,0.983
Model1,2022-08-24,1,non_selected,54,0.368,0.701
Model1,2022-08-24,3,selected_Top10,10,0.376,0.348
Model1,2022-08-24,3,non_selected,54,-0.231,0.166
Model1,2022-08-24,5,selected_Top10,10,0.024,1.579
Model1,2022-08-24,5,non_selected,54,-0.336,0.793
Model1,2022-08-24,10,selected_Top10,10,-2.071,-2.239
Model1,2022-08-24,10,non_selected,54,-1.67,-1.999
Model1,2022-08-24,20,selected_Top10,10,-7.787,-8.225
Model1,2022-08-24,20,non_selected,54,-8.563,-9.143
Model1,2011-04-27,1,selected_Top10,8,-1.941,-2.022
Model1,2011-04-27,3,selected_Top10,8,0.32,0.213
Model1,2011-04-27,5,selected_Top10,8,-1.813,-1.81
Model1,2011-04-27,10,selected_Top10,8,-1.606,-1.955
Model1,2011-04-27,20,selected_Top10,8,-6.145,-6.794
Model1,2009-11-27,1,selected_Top10,1,3.173,3.173
Model1,2009-11-27,3,selected_Top10,1,5.052,5.052
Model1,2009-11-27,5,selected_Top10,1,8.309,8.309
Model1,2009-11-27,10,selected_Top10,1,4.927,4.927
Model1,2009-11-27,20,selected_Top10,1,0.543,0.543
Model1,2023-09-19,1,selected_Top10,10,-0.372,-0.441
Model1,2023-09-19,1,non_selected,1,2.098,2.098
Model1,2023-09-19,3,selected_Top10,10,3.182,2.912
Model1,2023-09-19,3,non_selected,1,1.199,1.199
Model1,2023-09-19,5,selected_Top10,10,2.439,1.971
Model1,2023-09-19,5,non_selected,1,0.779,0.779
Model1,2023-09-19,10,selected_Top10,10,5.063,4.669
Model1,2023-09-19,10,non_selected,1,-0.899,-0.899
Model1,2023-09-19,20,selected_Top10,10,-4.464,-6.589
Model1,2023-09-19,20,non_selected,1,-2.758,-2.758
Model1,2018-09-12,1,selected_Top10,10,0.634,0.563
Model1,2018-09-12,1,non_selected,4,0.906,0.548
Model1,2018-09-12,3,selected_Top10,10,-0.957,-1.416
Model1,2018-09-12,3,non_selected,4,0.915,-0.806
Model1,2018-09-12,5,selected_Top10,10,1.831,1.444
Model1,2018-09-12,5,non_selected,4,0.554,0.807
Model1,2018-09-12,10,selected_Top10,10,3.483,3.026
Model1,2018-09-12,10,non_selected,4,5.784,5.665
Model1,2018-09-12,20,selected_Top10,10,-10.701,-11.367
Model1,2018-09-12,20,non_selected,4,-3.333,-9.249
Model1,2023-07-17,1,selected_Top10,2,-0.253,-0.253
Model1,2023-07-17,3,selected_Top10,2,-0.839,-0.839
Model1,2023-07-17,5,selected_Top10,2,0.255,0.255
Model1,2023-07-17,10,selected_Top10,2,0.756,0.756
Model1,2023-07-17,20,selected_Top10,2,-5.467,-5.467
Model1,2020-03-17,1,selected_Top10,10,-2.101,-1.896
Model1,2020-03-17,1,non_selected,165,-1.33,-1.509
Model1,2020-03-17,3,selected_Top10,10,-0.521,-0.434
Model1,2020-03-17,3,non_selected,165,-0.755,-0.892
Model1,2020-03-17,5,selected_Top10,10,-2.654,-2.568
Model1,2020-03-17,5,non_selected,165,-2.119,-2.238
Model1,2020-03-17,10,selected_Top10,10,-2.831,-3.254
Model1,2020-03-17,10,non_selected,165,-1.061,-1.089
Model1,2020-03-17,20,selected_Top10,10,1.001,1.674
Model1,2020-03-17,20,non_selected,165,2.272,1.846
Model1,2026-07-30,1,selected_Top10,10,5.484,5.337
Model1,2026-07-30,1,non_selected,32,6.353,6.712
Model1,2026-07-30,3,selected_Top10,10,12.626,13.347
Model1,2026-07-30,3,non_selected,32,11.248,10.897
Model1,2026-07-30,5,selected_Top10,10,14.432,16.287
Model1,2026-07-30,5,non_selected,32,12.734,12.755
Model1,2026-07-30,10,selected_Top10,10,17.443,18.776
Model1,2026-07-30,10,non_selected,32,12.945,11.864
Model1,2026-07-30,20,selected_Top10,10,15.745,17.774
Model1,2026-07-30,20,non_selected,32,8.963,7.042
Model1,2008-03-18,1,selected_Top10,5,4.074,3.953
Model1,2008-03-18,3,selected_Top10,5,8.458,9.873
Model1,2008-03-18,5,selected_Top10,5,5.431,7.141
Model1,2008-03-18,10,selected_Top10,5,-4.402,-4.873
Model1,2008-03-18,20,selected_Top10,5,-6.302,-7.346
Model1,2025-02-21,1,selected_Top10,2,0.081,0.081
Model1,2025-02-21,3,selected_Top10,2,0.017,0.017
Model1,2025-02-21,5,selected_Top10,2,0.265,0.265
Model1,2025-02-21,10,selected_Top10,2,0.492,0.492
Model1,2025-02-21,20,selected_Top10,2,2.544,2.544
Model1,2012-06-26,1,selected_Top10,10,0.03,-0.044
Model1,2012-06-26,3,selected_Top10,10,0.068,0.022
Model1,2012-06-26,5,selected_Top10,10,0.302,0.04
Model1,2012-06-26,10,selected_Top10,10,-1.992,-1.893
Model1,2012-06-26,20,selected_Top10,10,-2.749,-2.531
Model1,2021-08-31,1,selected_Top10,10,0.305,-0.608
Model1,2021-08-31,3,selected_Top10,10,-0.669,-1.903
Model1,2021-08-31,5,selected_Top10,10,1.687,0.271
Model1,2021-08-31,10,selected_Top10,10,-0.427,-2.176
Model1,2021-08-31,20,selected_Top10,10,-2.477,-4.478
Model1,2021-01-26,1,selected_Top10,4,-0.113,-0.057
Model1,2021-01-26,3,selected_Top10,4,-1.75,-1.836
Model1,2021-01-26,5,selected_Top10,4,-1.35,-1.185
Model1,2021-01-26,10,selected_Top10,4,-1.604,-1.231
Model1,2021-01-26,20,selected_Top10,4,1.632,3.59
Model1,2018-10-10,1,selected_Top10,6,-5.66,-6.163
Model1,2018-10-10,3,selected_Top10,6,-5.873,-6.297
Model1,2018-10-10,5,selected_Top10,6,-7.648,-7.781
Model1,2018-10-10,10,selected_Top10,6,-3.994,-4.929
Model1,2018-10-10,20,selected_Top10,6,-2.765,-3.067
Model1,2026-06-08,1,selected_Top10,10,2.206,2.039
Model1,2026-06-08,1,non_selected,465,2.362,2.304
Model1,2026-06-08,3,selected_Top10,10,0.944,0.604
Model1,2026-06-08,3,non_selected,465,0.631,0.362
Model1,2026-06-08,5,selected_Top10,10,5.139,4.338
Model1,2026-06-08,5,non_selected,465,4.593,4.032
Model1,2026-06-08,10,selected_Top10,10,7.537,5.797
Model1,2026-06-08,10,non_selected,465,6.581,5.364
Model1,2026-06-08,20,selected_Top10,10,5.837,3.196
Model1,2026-06-08,20,non_selected,465,4.003,2.158
Model1,2024-12-16,1,selected_Top10,10,-0.139,-0.306
Model1,2024-12-16,1,non_selected,44,-0.098,-0.037
Model1,2024-12-16,3,selected_Top10,10,0.095,0.051
Model1,2024-12-16,3,non_selected,44,-0.234,-0.158
Model1,2024-12-16,5,selected_Top10,10,-0.349,-1.32
Model1,2024-12-16,5,non_selected,44,-1.129,-1.354
Model1,2024-12-16,10,selected_Top10,10,-0.042,-0.297
Model1,2024-12-16,10,non_selected,44,-0.836,-0.781
Model1,2024-12-16,20,selected_Top10,10,-4.416,-3.236
Model1,2024-12-16,20,non_selected,44,-4.838,-4.346
Model1,2021-04-30,1,selected_Top10,8,0.611,1.023
Model1,2021-04-30,3,selected_Top10,8,-2.126,-1.667
Model1,2021-04-30,5,selected_Top10,8,-0.102,0.405
Model1,2021-04-30,10,selected_Top10,8,5.673,7.225
Model1,2021-04-30,20,selected_Top10,8,9.921,11.084
Model1,2011-01-20,1,selected_Top10,9,1.032,1.232
Model1,2011-01-20,3,selected_Top10,9,-0.239,0.162
Model1,2011-01-20,5,selected_Top10,9,2.258,2.512
Model1,2011-01-20,10,selected_Top10,9,4.551,4.839
Model1,2011-01-20,20,selected_Top10,9,7.155,6.967
Model1,2013-11-14,1,selected_Top10,7,2.609,2.288
Model1,2013-11-14,3,selected_Top10,7,6.263,6.427
Model1,2013-11-14,5,selected_Top10,7,5.802,5.556
Model1,2013-11-14,10,selected_Top10,7,6.604,6.21
Model1,2013-11-14,20,selected_Top10,7,4.704,4.575
Model2,2024-06-11,1,selected_Top10,10,0.048,0.0
Model2,2024-06-11,1,non_selected,55,0.022,0.0
Model2,2024-06-11,3,selected_Top10,10,-0.502,-0.551
Model2,2024-06-11,3,non_selected,55,-0.269,-0.176
Model2,2024-06-11,5,selected_Top10,10,-1.246,-1.033
Model2,2024-06-11,5,non_selected,55,-0.727,-0.447
Model2,2024-06-11,10,selected_Top10,10,-3.634,-3.315
Model2,2024-06-11,10,non_selected,55,-3.438,-3.263
Model2,2024-06-11,20,selected_Top10,10,-5.599,-5.163
Model2,2024-06-11,20,non_selected,55,-5.525,-5.594
Model2,2009-08-12,1,selected_Top10,3,1.571,1.564
Model2,2009-08-12,3,selected_Top10,3,-6.997,-7.248
Model2,2009-08-12,5,selected_Top10,3,-11.023,-11.141
Model2,2009-08-12,10,selected_Top10,3,-6.127,-6.443
Model2,2009-08-12,20,selected_Top10,3,-5.682,-6.04
Model2,2021-04-13,1,selected_Top10,10,1.082,1.121
Model2,2021-04-13,1,non_selected,13,0.779,0.553
Model2,2021-04-13,3,selected_Top10,10,0.924,0.909
Model2,2021-04-13,3,non_selected,13,0.829,0.804
Model2,2021-04-13,5,selected_Top10,10,2.295,2.555
Model2,2021-04-13,5,non_selected,13,2.401,2.412
Model2,2021-04-13,10,selected_Top10,10,-0.024,0.049
Model2,2021-04-13,10,non_selected,13,1.114,0.402
Model2,2021-04-13,20,selected_Top10,10,5.245,6.536
Model2,2021-04-13,20,non_selected,13,3.255,2.208
Model2,2018-10-16,1,selected_Top10,10,0.826,0.84
Model2,2018-10-16,1,non_selected,45,0.896,0.925
Model2,2018-10-16,3,selected_Top10,10,1.311,1.894
Model2,2018-10-16,3,non_selected,45,1.272,0.784
Model2,2018-10-16,5,selected_Top10,10,6.13,4.922
Model2,2018-10-16,5,non_selected,45,4.2,4.049
Model2,2018-10-16,10,selected_Top10,10,5.932,2.958
Model2,2018-10-16,10,non_selected,45,2.998,2.682
Model2,2018-10-16,20,selected_Top10,10,14.131,12.729
Model2,2018-10-16,20,non_selected,45,10.697,11.392
Model2,2018-10-08,1,selected_Top10,9,-1.213,-0.962
Model2,2018-10-08,3,selected_Top10,9,-7.279,-7.465
Model2,2018-10-08,5,selected_Top10,9,-7.516,-8.128
Model2,2018-10-08,10,selected_Top10,9,-5.438,-5.505
Model2,2018-10-08,20,selected_Top10,9,-3.9,-3.976
Model2,2017-05-09,1,selected_Top10,10,-0.061,-0.12
Model2,2017-05-09,1,non_selected,5,0.416,0.628
Model2,2017-05-09,3,selected_Top10,10,0.244,0.006
Model2,2017-05-09,3,non_selected,5,0.871,0.503
Model2,2017-05-09,5,selected_Top10,10,2.395,1.946
Model2,2017-05-09,5,non_selected,5,1.651,1.786
Model2,2017-05-09,10,selected_Top10,10,2.415,2.469
Model2,2017-05-09,10,non_selected,5,1.508,1.5
Model2,2017-05-09,20,selected_Top10,10,5.141,5.708
Model2,2017-05-09,20,non_selected,5,4.275,4.429
Model2,2009-12-22,1,selected_Top10,4,0.635,0.645
Model2,2009-12-22,3,selected_Top10,4,3.14,3.072
Model2,2009-12-22,5,selected_Top10,4,5.526,5.393
Model2,2009-12-22,10,selected_Top10,4,6.674,6.697
Model2,2009-12-22,20,selected_Top10,4,1.521,1.342
Model2,2019-10-23,1,selected_Top10,2,-0.838,-0.838
Model2,2019-10-23,3,selected_Top10,2,2.23,2.23
Model2,2019-10-23,5,selected_Top10,2,2.633,2.633
Model2,2019-10-23,10,selected_Top10,2,2.11,2.11
Model2,2019-10-23,20,selected_Top10,2,3.159,3.159
Model2,2025-11-20,1,selected_Top10,10,-3.005,-3.387
Model2,2025-11-20,1,non_selected,101,-2.921,-3.105
Model2,2025-11-20,3,selected_Top10,10,-1.347,-1.445
Model2,2025-11-20,3,non_selected,101,-0.766,-0.965
Model2,2025-11-20,5,selected_Top10,10,-1.255,-1.332
Model2,2025-11-20,5,non_selected,101,-0.776,-0.921
Model2,2025-11-20,10,selected_Top10,10,-1.272,-0.957
Model2,2025-11-20,10,non_selected,101,-0.702,-0.762
Model2,2025-11-20,20,selected_Top10,10,-0.632,-0.2
Model2,2025-11-20,20,non_selected,101,0.358,0.503
Model2,2018-05-29,1,selected_Top10,10,-2.876,-2.719
Model2,2018-05-29,1,non_selected,15,-2.376,-2.529
Model2,2018-05-29,3,selected_Top10,10,-3.193,-3.439
Model2,2018-05-29,3,non_selected,15,-2.178,-2.76
Model2,2018-05-29,5,selected_Top10,10,-2.001,-1.927
Model2,2018-05-29,5,non_selected,15,-1.032,-1.478
Model2,2018-05-29,10,selected_Top10,10,-4.11,-3.74
Model2,2018-05-29,10,non_selected,15,-2.686,-2.846
Model2,2018-05-29,20,selected_Top10,10,-13.179,-13.249
Model2,2018-05-29,20,non_selected,15,-11.489,-12.971
Model2,2020-09-09,1,selected_Top10,10,-0.894,-1.151
Model2,2020-09-09,1,non_selected,118,-0.976,-0.944
Model2,2020-09-09,3,selected_Top10,10,1.84,1.84
Model2,2020-09-09,3,non_selected,118,1.024,1.02
Model2,2020-09-09,5,selected_Top10,10,1.484,1.583
Model2,2020-09-09,5,non_selected,118,0.941,0.93
Model2,2020-09-09,10,selected_Top10,10,2.586,2.301
Model2,2020-09-09,10,non_selected,118,1.839,1.628
Model2,2020-09-09,20,selected_Top10,10,5.774,5.224
Model2,2020-09-09,20,non_selected,118,5.271,4.916
Model2,2024-11-22,1,selected_Top10,10,-0.434,-0.339
Model2,2024-11-22,1,non_selected,32,-0.574,-0.64
Model2,2024-11-22,3,selected_Top10,10,1.076,1.429
Model2,2024-11-22,3,non_selected,32,0.517,0.721
Model2,2024-11-22,5,selected_Top10,10,1.565,1.958
Model2,2024-11-22,5,non_selected,32,0.718,0.862
Model2,2024-11-22,10,selected_Top10,10,2.16,1.962
Model2,2024-11-22,10,non_selected,32,2.536,2.504
Model2,2024-11-22,20,selected_Top10,10,-0.932,-1.502
Model2,2024-11-22,20,non_selected,32,0.984,1.733
Model2,2021-02-25,1,selected_Top10,10,-2.263,-2.195
Model2,2021-02-25,1,non_selected,13,-1.77,-2.045
Model2,2021-02-25,3,selected_Top10,10,0.193,-0.503
Model2,2021-02-25,3,non_selected,13,-0.238,-0.508
Model2,2021-02-25,5,selected_Top10,10,-4.052,-4.127
Model2,2021-02-25,5,non_selected,13,-4.097,-4.092
Model2,2021-02-25,10,selected_Top10,10,-6.52,-7.813
Model2,2021-02-25,10,non_selected,13,-7.825,-7.975
Model2,2021-02-25,20,selected_Top10,10,-10.689,-10.89
Model2,2021-02-25,20,non_selected,13,-10.871,-10.912
Model2,2026-07-28,1,selected_Top10,10,0.838,1.005
Model2,2026-07-28,1,non_selected,2,1.048,1.048
Model2,2026-07-28,3,selected_Top10,10,1.033,1.999
Model2,2026-07-28,3,non_selected,2,0.301,0.301
Model2,2026-07-28,5,selected_Top10,10,9.232,10.74
Model2,2026-07-28,5,non_selected,2,4.089,4.089
Model2,2026-07-28,10,selected_Top10,10,9.045,10.751
Model2,2026-07-28,10,non_selected,2,3.225,3.225
Model2,2026-07-28,20,selected_Top10,10,6.39,8.003
Model2,2026-07-28,20,non_selected,2,2.945,2.945
Model2,2011-05-27,1,selected_Top10,9,-0.75,-0.671
Model2,2011-05-27,3,selected_Top10,9,1.189,1.033
Model2,2011-05-27,5,selected_Top10,9,1.18,1.342
