horizon,n,ic_amount_pooled,ic_bbz_pooled,ic_amount_daily_mean,ic_bbz_daily_mean,ic_amount_hit_rate,ic_bbz_hit_rate
1d,1962,-0.0256,-0.0409,0.0166,-0.0325,50.6,49.0
3d,1942,-0.0093,-0.0036,0.0257,0.0084,51.4,49.4
5d,1941,-0.0048,-0.0005,-0.0038,0.0165,51.0,51.0
10d,1936,-0.0318,-0.0029,-0.0545,-0.0304,45.6,47.2
20d,1917,0.0041,0.0137,-0.0619,0.0122,46.6,50.6
