date,action,index_key,etf,shares,price,amount,fee,cash_after,level,pnl,holding_days
2021-10-14,EXIT_MIDLINE,000827.SH,512580.SH,115200,1.784,205516.80000000002,51.379200000000004,696114.8069999989,1,5428.223999999999,2.0
2021-10-19,ENTRY,399441.SZ,512290.SH,119700,1.67,199899.0,49.97475,496165.8322499989,1,,
2021-10-26,EXIT_MIDLINE,399995.SZ,516970.SH,173300,1.173,203280.9,50.820225,699395.9120249988,1,3191.882725000037,14.0
2021-10-28,ADD,399441.SZ,512290.SH,121800,1.6420000000000001,199995.6,49.9989,499350.3131249988,2,,
2021-11-01,ENTRY,上海证券交易所上证红利,510880.SH,70300,2.841,199722.30000000002,49.930575000000005,299578.08254999877,1,,
2021-11-02,ADD,399441.SZ,512290.SH,122600,1.631,199960.6,49.99015,99567.49239999877,3,,
2021-11-03,ADD,上海证券交易所上证红利,510880.SH,35500,2.801,99435.5,24.858875,107.13352499876055,2,,
2021-11-15,EXIT_MIDLINE,399441.SZ,512290.SH,364100,1.645,598944.5,149.73612500000002,598901.8973999987,3,-1210.3999250000088,27.0
2021-11-17,ENTRY,中证新能源汽车,515030.SH,79100,2.5260000000000002,199806.6,49.95165,399045.3457499987,1,,
2021-11-19,EXIT_MIDLINE,上海证券交易所上证红利,510880.SH,105800,2.829,299308.2,74.82705,698278.7186999987,2,0.7834999999817427,18.0
2021-11-22,EXIT_MIDLINE,中证新能源汽车,515030.SH,79100,2.603,205897.30000000002,51.47432500000001,904124.5443749987,1,5989.274025000005,5.0
2021-11-26,ENTRY,000949.CSI,159825.SZ,204200,0.979,199911.8,49.97795,704162.7664249986,1,,
2021-11-29,ENTRY,中证上海国企,510810.SH,233100,0.858,199999.8,49.99995,504112.9664749986,1,,
2021-12-01,ADD,中证上海国企,510810.SH,234700,0.852,199964.4,49.9911,304098.5753749986,2,,
2021-12-02,EXIT_MIDLINE,中证上海国企,510810.SH,467800,0.865,404647.0,101.16175,708644.4136249986,2,4481.647200000051,3.0
2021-12-07,ENTRY,399989.SZ,512170.SH,290600,0.6880000000000001,199932.80000000002,49.983200000000004,508661.63042499864,1,,
