year,start,end,avg_exp,return_pct,avg_exp_pct
2006,1000000.0,1000000.0,0.0,0.0,0.0
2007,1000000.0,1000000.0,0.0,0.0,0.0
2008,1000000.0,1000000.0,0.0,0.0,0.0
2009,1000000.0,1000000.0,0.0,0.0,0.0
2010,1000000.0,1000000.0,0.0,0.0,0.0
2011,1000000.0,1000000.0,0.0,0.0,0.0
2012,1000000.0,1000000.0,0.0,0.0,0.0
2013,1000000.0,1000000.0,0.0,0.0,0.0
2014,1000000.0,1000000.0,0.0,0.0,0.0
2015,1000000.0,1070056.49185,0.1514926897057491,7.005649185000018,15.14926897057491
2016,1070056.49185,1070056.49185,0.1868422573693673,0.0,18.684225736936728
2017,1070056.49185,1070056.49185,0.1868422573693673,0.0,18.684225736936728
2018,1070056.49185,1012544.523925,0.3736456356811651,-5.374666511818338,37.36456356811651
2019,1009381.923925,1053459.5904,0.3076946527339239,4.366797683834411,30.769465273392388
2020,1053459.5904,1113765.860225,0.34579200568316476,5.724592606547119,34.57920056831647
2021,1114861.224475,1145692.939225,0.4673323795710006,2.7655204139438005,46.73323795710006
2022,1140012.139225,928737.3776,0.6194624453319559,-18.53267648260555,61.946244533195596
2023,936773.2742,965590.6075749998,0.5569300616003937,3.0762335101425453,55.693006160039374
2024,965590.6075749998,965590.6075749998,0.9746560115288307,0.0,97.46560115288307
2025,965590.6075749998,965590.6075749998,0.9998814208898664,0.0,99.98814208898665
2026,965590.6075749998,965590.6075749998,0.9998814208898664,0.0,99.98814208898665
