ts_code,y2020,y2021,y2022,y2023,y2024
000004.SZ,243,243,241,241,242
000005.SZ,243,242,242,242,40
000007.SZ,243,242,241,241,241
000010.SZ,242,243,242,242,242
000016.SZ,243,234,242,242,240
000017.SZ,242,242,242,242,242
000023.SZ,243,243,242,241,134
000029.SZ,39,243,242,242,242
000032.SZ,233,242,242,242,242
000038.SZ,243,243,241,93,0
000039.SZ,238,243,242,242,242
000040.SZ,243,243,242,242,197
000045.SZ,243,243,232,239,242
000046.SZ,243,243,242,239,0
000049.SZ,243,243,242,236,242
000063.SZ,243,242,242,242,242
000065.SZ,243,243,236,242,242
000070.SZ,243,243,242,242,241
000088.SZ,237,243,232,242,242
000100.SZ,242,243,242,242,242
000150.SZ,243,242,241,77,0
000153.SZ,243,243,233,241,242
000155.SZ,233,243,232,242,242
000156.SZ,242,243,242,242,242
000301.SZ,243,232,242,242,242
000401.SZ,243,221,242,242,242
000403.SZ,232,243,242,242,242
000408.SZ,242,242,242,242,242
000409.SZ,243,242,242,242,242
000410.SZ,243,242,241,231,242
000411.SZ,243,243,232,241,242
000413.SZ,243,243,242,242,105
000416.SZ,243,243,242,241,74
000420.SZ,243,243,225,242,242
000421.SZ,243,243,242,242,239
000422.SZ,243,242,242,242,242
000425.SZ,243,233,229,242,242
000498.SZ,242,243,242,242,242
000502.SZ,233,242,92,0,0
000504.SZ,242,242,242,242,242
000505.SZ,242,243,242,242,242
000506.SZ,243,243,237,242,236
000507.SZ,240,243,242,242,242
000509.SZ,242,243,241,242,242
000510.SZ,243,243,232,242,242
000516.SZ,243,243,240,242,242
000523.SZ,243,241,241,242,242
000525.SZ,243,242,242,242,216
000528.SZ,243,232,232,242,242
000536.SZ,242,242,242,242,242
